key,name,group,language,source,confidence,note
antq_indo_aryan,Indo-Aryan Prakrit,antq_indian_group,persian_language,P10;CAH-XI,secure,Northern Indian regional Prakrits
antq_tamil,Tamil,antq_indian_group,tamil_language,P10;CAH-XI,secure,Tamilakam culture
antq_gandhari,Gandhari,antq_indian_group,persian_language,P8.4;P10;CAH-XI,contested,Northwestern South Asian regional proxy centered on the Gandharan cultural horizon
antq_kalingan,Kalingan,antq_indian_group,persian_language,P8.4;P10;CAH-XI,contested,Kalinga regional proxy without projecting a later linguistic boundary
antq_deccan_prakrit,Deccan Prakrit,antq_indian_group,persian_language,P8.4;P10;CAH-XI,contested,Satavahana Deccan regional Prakrit proxy
antq_proto_telugu_kannada,Proto-Telugu-Kannada,antq_indian_group,persian_language,P8.4;P10;CAH-XI,contested,Eastern and southern Deccan Dravidian regional proxy before later standard languages
antq_sinhala,Sinhala,antq_indian_group,persian_language,P8.4;P10;CAH-XI,contested,Anuradhapura Lankan regional proxy
antq_han,Han,antq_sinitic_group,classical_chinese_language,P10;BHR,secure,Han Chinese population base
antq_tibeto_burman,Tibeto-Burman,antq_tibetan_group,mongolian_language,P10;CAH-XI,contested,Highland and frontier communities
antq_mon,Mon,antq_southeast_asian_group,mon_language,P10;CAH-XI,contested,Mainland Southeast Asian communities
antq_khmer,Proto-Khmer,antq_southeast_asian_group,khmer_language,P10;CAH-XI,contested,Khmer regional communities
antq_pyu,Pyu,antq_southeast_asian_group,mon_language,P8.9;P10;CAH-XI,contested,Pyu city-network regional proxy
antq_vietic,Vietic,antq_southeast_asian_group,mon_language,P8.3;P10;CAH-XI,contested,Red River regional proxy before later Vietnamese standardization
antq_sa_huynh,Sa Huynh,antq_austronesian_group,malay_language,P8.9;P10;CAM-SAH;VASS-SAH,contested,Sa Huynh archaeological central-Vietnam proxy; technical Malay language fallback is not a language claim
antq_austronesian,Austronesian,antq_austronesian_group,malay_language,P10;CAH-XI,contested,Island Southeast Asian communities
antq_malay,Early Malay,antq_austronesian_group,malay_language,P8.9;P10;CAH-XI,contested,Malay Peninsula and Sumatra regional proxy before later state identities
antq_javanese,Early Javanese,antq_austronesian_group,malay_language,P8.9;P10;CAH-XI,contested,Java and Lesser Sunda regional proxy before later court traditions
antq_philippine,Philippine,antq_austronesian_group,malay_language,P8.9;P10;CAH-XI,contested,Philippine societies regional proxy rather than a single identity
antq_bornean,Bornean,antq_austronesian_group,malay_language,P8.9;P10;CAH-XI,contested,Bornean societies regional proxy rather than a single identity
antq_korean,Korean,antq_korean_group,korean_language,P10;CAH-XI,secure,Korean peninsula communities
antq_buyeo_goguryeoic,Buyeo-Goguryeoic,antq_korean_group,korean_language,P8.3;P10;CAH-XI,contested,Buyeo and Goguryeo regional proxy before later Korean consolidation
antq_samhan,Samhan,antq_korean_group,korean_language,P8.3;P10;CAH-XI,contested,Samhan confederacy regional proxy before later peninsular states
antq_wa,Wa,antq_japonic_group,korean_language,P10;CAH-XI,contested,Yayoi Japanese communities
antq_xiongnu,Xiongnu,antq_steppe_group,mongolian_language,P10;CAH-XI,contested,Xiongnu confederation communities
antq_wusun,Wusun,antq_steppe_group,mongolian_language,P8.8;P10;CAH-XI,contested,Zhetysu Wusun regional proxy without resolving ethnolinguistic affiliation
antq_wuhuan,Wuhuan,antq_steppe_group,mongolian_language,P8.8;P10;CAH-XI,contested,Liaodong Wuhuan regional proxy without resolving ethnolinguistic affiliation
antq_xianbei,Xianbei,antq_steppe_group,mongolian_language,P8.8;P10;CAH-XI,contested,Eastern-steppe Xianbei regional proxy before later confederation formations
antq_dingling,Dingling,antq_steppe_group,mongolian_language,P8.8;P10;CAH-XI,contested,Upper-Yenisei Dingling regional proxy without resolving later Tiele identities
antq_tungusic,Tungusic,antq_steppe_group,mongolian_language,P10;CAH-XI,contested,Yilou and Manchurian communities
antq_uralic,Uralic,antq_uralic_group,sami_language,P10;CAH-XI,contested,Finnic-Ugric-Samoyedic communities
antq_sargat,Sargat,antq_uralic_group,sami_language,P8.8;P10;RAS-SAR;HUM-SAR,contested,Omsk-Irtysh Sargat archaeological proxy; technical Sami fallback is not a language claim
antq_kulay,Kulay,antq_uralic_group,sami_language,P8.8;P10;TOM-KUL,contested,Surgut-Narym Ob archaeological proxy; technical Sami fallback does not assert a language
antq_permic,Permic,antq_uralic_group,sami_language,P8.7;P10;PAR-PER,contested,Early Permic Vyatka-Kama archaeological-linguistic proxy; technical Sami fallback is not a language claim
antq_baltic,Baltic,antq_baltic_group,baltic_language,P10;CAH-XI,contested,Baltic communities
antq_venedi,Venedi,antq_slavic_group,west_slavic_language,P10;CAH-XI,contested,Proto-Slavic Venedi communities
antq_dacian,Dacian,antq_balkan_group,greek_language,P10;CAH-XI,contested,Dacian communities
antq_getic,Getic,antq_balkan_group,greek_language,P8.7;P10;PER-DAC;JBRI-DAC,contested,Lower-Danube Getic regional proxy without resolving the Dacian-Getae identity debate
antq_illyrian,Illyrian,antq_balkan_group,greek_language,P10;CAH-XI,contested,Illyrian communities
antq_iberian,Iberian,antq_iberian_group,latin_language,P10;CAH-XI,contested,Non-Indo-European Iberian communities
antq_artabrian,Artabrian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northwestern Iberian ethnographic frame around Cape Nerium
antq_limican,Limican,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northwestern Iberian ethnographic frame in the upper Mino hinterland
antq_bracaran,Bracaran,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northwestern Iberian ethnographic frame around Bracara
antq_cynetan,Cynetan,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Southern Portuguese ethnographic frame without projecting a later Algarve identity
antq_celtician,Celtician,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Southwestern Iberian Celtici frame
antq_turdulian,Turdulian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Western Baetican Turduli frame
antq_vettonian,Vettonian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Western Meseta Vettones frame
antq_bastetan,Bastetan,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Southeastern Iberian Bastetani frame
antq_bastulian,Bastulian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Southern coastal Bastuli frame
antq_oretan,Oretan,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Upper Baetis Oretani frame
antq_edetan,Edetan,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Ebro-south eastern-coast Edetani frame
antq_contestanian,Contestanian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Southeastern Mediterranean Contestani frame
antq_ilercavonian,Ilercavonian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Lower-Ebro Ilercavones frame
antq_ilergetian,Ilergetian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Middle-Ebro Ilergetes frame
antq_lacetanian,Lacetanian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Central Catalan Lacetani frame
antq_ausetanian,Ausetanian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Central Catalan Ausetani frame
antq_indigetan,Indigetan,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northeastern coastal Indigetes frame
antq_ceretanian,Ceretanian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Eastern Pyrenean Ceretani frame
antq_vasconian,Vasconian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Upper-Ebro Vascones frame
antq_suessetanian,Suessetanian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Middle-Ebro Suessetani frame
antq_sedetanian,Sedetanian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Middle-Ebro Sedetani frame
antq_iacetanian,Iacetanian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Pyrenean-footland Iacetani frame
antq_arevacian,Arevacian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;MAI-IBR;OCD-HIS;PLE,contested,Upper-Duero Arevaci frame
antq_pelendonian,Pelendonian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;MAI-IBR;OCD-HIS;PLE,contested,Upper-Duero Pelendones frame
antq_vaccaean,Vaccaean,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Duero-basin Vaccaei frame
antq_carpetanian,Carpetanian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Central Meseta Carpetani frame
antq_olcadian,Olcadian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Eastern Meseta Olcades frame
antq_turmodigian,Turmodigian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northern Meseta Turmodigi frame
antq_cantabrian,Cantabrian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northern coastal Cantabri frame
antq_asturian,Asturian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northwestern inland Astures frame
antq_paesician,Paesician,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northern Asturian Paesici frame
antq_gigurrian,Gigurrian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Upper-Sil Astures Gigurri frame
antq_luggonian,Luggonian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Northern Asturian Luggones frame
antq_caristian,Caristian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Western Pyrenean Caristii frame
antq_vardulian,Vardulian,antq_iberian_group,latin_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Western Pyrenean Varduli frame
antq_autrigonian,Autrigonian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Western Pyrenean Autrigones frame
antq_bellian,Bellian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;MAI-IBR;OCD-HIS;PLE,contested,Jalon-basin Belli frame
antq_lusonian,Lusonian,antq_celtic_group,gaelic_language,P10;STR-IBR;PLN-IBR;OCD-HIS;PLE,contested,Eastern Celtiberian Lusones frame
antq_auscian,Auscian,antq_iberian_group,latin_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aquitanian Ausci regional frame
antq_tarbellian,Tarbellian,antq_iberian_group,latin_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aquitanian Tarbelli regional frame
antq_bigerrionian,Bigerrionian,antq_iberian_group,latin_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aquitanian Bigerriones regional frame
antq_convenian,Convenian,antq_iberian_group,latin_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Pyrenean Convenae regional frame
antq_elusatian,Elusatian,antq_iberian_group,latin_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aquitanian Elusates regional frame
antq_nitiobrigian,Nitiobrigian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Garonne-basin Nitiobriges regional frame
antq_viviscan,Viviscan,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Vivisci regional frame around Burdigala
antq_petrocorian,Petrocorian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Dordogne-basin Petrocorii regional frame
antq_cadurcian,Cadurcian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Quercy Cadurci regional frame
antq_rutenian,Rutenian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Ruteni regional frame in the southern Massif Central
antq_santonian,Santonian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Atlantic Santoni regional frame
antq_pictonian,Pictonian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Atlantic Pictones regional frame
antq_venetian,Venetian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Veneti regional frame
antq_namnetian,Namnetian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Namnetes regional frame
antq_osismian,Osismian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Osismi regional frame
antq_redonian,Redonian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Redones regional frame
antq_coriosolitan,Coriosolitan,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Coriosolitae regional frame
antq_aulerci_cenomanian,Aulerci Cenomanian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aulerci Cenomani regional frame
antq_aulerci_diablintian,Aulerci Diablintian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aulerci Diablintes regional frame
antq_aulerci_eburovician,Aulerci Eburovician,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aulerci Eburovices regional frame
antq_unellian,Unellian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Norman Unelli regional frame
antq_caletian,Caletian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Norman Caletes regional frame
antq_baiocassian,Baiocassian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Norman Baiocasses regional frame
antq_veliocassian,Veliocassian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Norman Veliocasses regional frame
antq_andecavian,Andecavian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Loire Andecavi regional frame
antq_arvernian,Arvernian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Massif Central Arverni regional frame
antq_biturigan_cubian,Biturigan Cubian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Cubi regional frame
antq_aeduan,Aeduan,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Saone-basin Aedui regional frame
antq_senonian,Senonian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Upper-Seine Senones regional frame
antq_carnutian,Carnutian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Central Loire Carnutes regional frame
antq_parisian,Parisian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Seine Parisii regional frame
antq_suessionian,Suessionian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Northeastern Suessiones regional frame
antq_bellovacian,Bellovacian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Northern Bellovaci regional frame
antq_ambianian,Ambianian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Somme Ambiani regional frame
antq_remian,Remian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Champagne Remi regional frame
antq_treverian,Treverian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Moselle Treveri regional frame
antq_mediomatrician,Mediomatrician,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Moselle Mediomatrici regional frame
antq_leucian,Leucian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Upper-Moselle Leuci regional frame
antq_sequanian,Sequanian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Jura Sequani regional frame
antq_lingonian,Lingonian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Langres Lingones regional frame
antq_volcan_arecomican,Volcan Arecomican,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Volcae Arecomici regional frame
antq_volcan_tectosagian,Volcan Tectosagian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Volcae Tectosages regional frame
antq_allobrogian,Allobrogian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Rhone-Alps Allobroges regional frame
antq_vocontian,Vocontian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Pre-Alpine Vocontii regional frame
antq_saluvian,Saluvian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lower-Rhone Saluvii regional frame
antq_cavaric,Cavaric,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lower-Rhone Cavares regional frame
antq_helvian,Helvian,antq_celtic_group,gaelic_language,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Rhone-side Helvii regional frame
antq_autariatan,Autariatan,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Western Balkan Autariatae regional frame
antq_ardiaean,Ardiaean,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Adriatic Ardiaei regional frame
antq_dardanian,Dardanian,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Central Balkan Dardanii regional frame
antq_pleraean,Pleraean,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Southern Adriatic Pleraei regional frame
antq_delmatian,Delmatian,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Adriatic Delmatae regional frame
antq_liburnian_culture,Liburnian,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Northern Adriatic Liburni regional frame
antq_iapodian,Iapodian,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Interior Adriatic Iapodes regional frame
antq_breucian,Breucian,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Sava-basin Breuci regional frame
antq_scordiscan,Scordiscan,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Danubian Scordisci regional frame
antq_moesian,Moesian,antq_balkan_group,greek_language,P10;STR-BAL;CAH-XI;PLE,contested,Danubian Moesi regional frame
