tag,culture,religion,source,confidence,note
REC,antq_recuay,antq_andean,P8.10;P10;P11,contested,Recuay highland profile
TIW,antq_tiwanaku,antq_andean,P8.10;P10;P11,contested,Early Tiwanaku altiplano profile
CHI,antq_chibchan,antq_andean,P8.10;CAH-XI;P10;P11,contested,Chibchan profile
DOR,antq_inuit_dorset,antq_north_american,P8.10;CAH-XI;P10;P11,contested,Dorset profile
TUP,antq_tupi,antq_caribbean,P8.10;CAH-XI;P10;P11,contested,Tupi profile
CAR,antq_carib,antq_caribbean,P8.10;CAH-XI;P10;P11,contested,Carib profile
OSR,antq_syriac,antq_arsacid_zoroastrianism,P8.2;OCD;P10;P11,contested,Edessan Syriac-Aramaic profile before later Christian confessional consolidation
CAT,antq_catuvellaunian,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,secure,Catuvellauni use their matching campaign culture
TRI,antq_trinovantian,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,secure,Trinovantes use their matching campaign culture
ICE,antq_icenian,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,secure,Iceni use their matching campaign culture
BRI,antq_brigantian,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,secure,Brigantes use their matching campaign culture
ATB,antq_british_atrebatic,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,secure,British Atrebates use their distinct insular campaign culture
SIL,antq_silurian,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,contested,Silures use their matching Ptolemaic campaign culture
ORD,antq_ordovician,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,contested,Ordovices use their matching Ptolemaic campaign culture
DUM,antq_dumnonian,antq_celtic_religion,P8.7;P10;CAH-XI;PTO-GEO-II2,contested,Dumnonii use their matching southwestern campaign culture
BRT,antq_cantiacian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Cantiaci replace the former Brittonic residual with their matching Kentish frame
REG,antq_regnian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Regni use their matching south-coast campaign culture
BLG,antq_british_belgic,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,British Belgae use a distinct insular Belgic campaign culture
DUR,antq_durotrigian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Durotriges use their matching Dorset campaign culture
DOB,antq_dobunnic,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Dobunni use their matching Severn-Cotswold campaign culture
COR,antq_corieltauvian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Corieltauvi use their matching east-Midland campaign culture
CNV,antq_british_cornovian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Midland Cornovii use a distinct campaign culture
PBI,antq_british_parisian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,British Parisii use a distinct Humber campaign culture
CRV,antq_carvetian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Carvetii use their matching Cumbrian campaign culture
DEM,antq_demetian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Demetae use their matching southwestern Welsh campaign culture
DEC,antq_deceanglian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2,contested,Deceangli use their matching northeastern Welsh campaign culture
VOT,antq_votadinian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Votadini use their matching Forth-border campaign culture
SEL,antq_selgovaean,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Selgovae use their matching southern-upland campaign culture
NOV,antq_novantaean,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Novantae use their matching southwestern campaign culture
DAM,antq_damnonian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Damnonii use their matching Clyde campaign culture
VCN,antq_veniconian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Venicones use their matching Tay-Fife campaign culture
TAE,antq_taexalian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Taexali use their matching northeastern campaign culture
EPD,antq_epidian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Epidii use their matching Argyll-Hebridean campaign culture
VAC,antq_vacomagian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Vacomagi use their matching Moray campaign culture
DCT,antq_decantian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Decantae use their matching Ross campaign culture
CAE,antq_caerenian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Caereni use their matching northwestern campaign culture
CRE,antq_creonian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Creones use their matching western campaign culture
CNA,antq_carnonacan,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Carnonacae use their matching northwestern campaign culture
LGB,antq_british_lugian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,British Lugi use a distinct northern campaign culture
SME,antq_smertian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Smertae use their matching northern campaign culture
NCR,antq_northern_cornavian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Northern Cornavii use a distinct Caithness campaign culture
CAL,antq_caledonian,antq_celtic_religion,P8.7;P10;PTO-GEO-II2;MANN-BRI,contested,Caledoni retain only the unresolved forest-core and outer-island campaign frame
VNI,antq_vennicnian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Vennicnii use their matching northwestern Hibernian proxy culture
RHB,antq_rhobogdian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Rhobogdii use their matching northern Hibernian proxy culture
DAR,antq_darinian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Darini use their matching northern Hibernian proxy culture
ERD,antq_erdinian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Erdini use their matching northwestern Hibernian proxy culture
ULA,antq_voluntian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Voluntii replace the later Ulaid label and use their matching northeastern proxy culture
NAG,antq_nagnatan,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Nagnatae use their matching western Hibernian proxy culture
AUT,antq_autinian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Autini use their matching western Hibernian proxy culture
GAN,antq_ganganian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Gangani use their matching western Hibernian proxy culture
VEL,antq_velabrian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Velabri use their matching southwestern Hibernian proxy culture
IVN,antq_ivernian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Iverni use their matching southwestern Hibernian proxy culture
USD,antq_usdiaean,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Usdiae use their matching south-central Hibernian proxy culture
IBG,antq_irish_brigantian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Irish Brigantes use a distinct southeastern Hibernian proxy culture
CND,antq_coriondian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Coriondi use their matching southeastern interior proxy culture
MNP,antq_manapian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Manapii use their matching southeastern Hibernian proxy culture
CCI,antq_caucian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Cauci use their matching eastern Hibernian proxy culture
EBL,antq_eblanian,antq_celtic_religion,P8.7;P10;PTO-GEO-II1;DARCY-IRE,contested,Eblani use their matching eastern-interior Hibernian proxy culture
CHC,antq_chaucian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Chauci campaign frame without an exact tribal frontier
CLC,antq_caulcian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Caulci campaign frame without an exact tribal frontier
CPS,antq_campsian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Campsiani campaign frame without an exact tribal frontier
VRN,antq_varinian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Varini campaign frame without an exact tribal frontier
MUG,antq_mugilonian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Mugilones campaign frame without an exact tribal frontier
SBN,antq_sibinian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Sibini campaign frame without an exact tribal frontier
BRC,antq_bructerian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Bructeri campaign frame without an exact tribal frontier
SGM,antq_sugambrian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Sugambri campaign frame without an exact tribal frontier
CTU,antq_chattuarian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Chattuarii campaign frame without an exact tribal frontier
GMB,antq_gamabrivian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Gamabrivii campaign frame without an exact tribal frontier
CMB,antq_cimbric,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Cimbri campaign frame without an exact tribal frontier
RDN,antq_reudignian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Reudigni campaign frame without an exact tribal frontier
AVN,antq_avionian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Aviones campaign frame without an exact tribal frontier
SRD,antq_suardonian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Suardones campaign frame without an exact tribal frontier
EUD,antq_eudusian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Eudoses campaign frame without an exact tribal frontier
SUI,antq_suionian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Suiones campaign frame without an exact tribal frontier
SIT,antq_sitonian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Sitones campaign frame without an exact tribal frontier
SUE,antq_suebian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER,contested,Broad Suebian campaign coalition rather than a centralized state
NAR,antq_suebian,antq_germanic_religion,P8.7;P10;CAH-XI;TAC-GER,contested,Naristi campaign frame aligned to its Suebian population without an exact ethnic polygon
LUG,antq_lugian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Lugii campaign frame without an exact tribal frontier
NHR,antq_naharvalian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Naharvali campaign frame without an exact tribal frontier
MSI,antq_marsignian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Marsigni campaign frame without an exact tribal frontier
BUU,antq_burian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Buri campaign frame without an exact tribal frontier
MIM,antq_manimian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Manimi campaign frame without an exact tribal frontier
HLV,antq_helveconan,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Helveconae campaign frame without an exact tribal frontier
HRI,antq_harian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Harii campaign frame without an exact tribal frontier
HLS,antq_helisian,antq_germanic_religion,P8.7;P10;TAC-GER;OCD-GER;PLE,contested,Helisii campaign frame without an exact tribal frontier
ZUM,antq_zumian,antq_germanic_religion,P8.7;P10;STR-GER;TAC-GER;OCD-GER;PLE,contested,Zumi campaign frame without an exact tribal frontier
PRZ,antq_przeworsk,antq_baltic_slavic,UW-PRZEWORSK;P8.7;P10;P11,contested,Greater-Poland Przeworsk archaeological frame without an ethnic-state claim
LPR,antq_przeworsk,antq_baltic_slavic,UW-PRZEWORSK;PAN-LPR;P8.7;P10;P11,contested,Lesser-Poland Przeworsk archaeological frame without an ethnic-state claim
ILM,antq_late_dyakovo_north,antq_finnic,RA-DYAKOVO-UPPER;GERMANIA-NEVA;P10;P11,contested,Msta-Ilmen late-Dyakovo gameplay frame without a people-state claim
PLH,antq_striated_pottery_north,antq_finnic,GERMANIA-NEVA;P10;P11,contested,Pskov-Luga striated-pottery gameplay frame without a people-state claim
BLF,antq_late_dyakovo_north,antq_finnic,RA-DYAKOVO-UPPER;P10;P11,contested,Beloe-Mologa late-Dyakovo gameplay frame without a later national identity
MOK,antq_late_dyakovo,antq_finnic,RAS-DYAKOVO;RA-DYAKOVO-UPPER;P10;P11,contested,Moskva-Oka late-Dyakovo gameplay frame without an ethnic-state claim
UVF,antq_gorodets,antq_finnic,BSE-GORODETS;P10;P11,contested,Nizhny-Novgorod Gorodets gameplay frame without an ethnic-state claim
UVD,antq_late_dyakovo,antq_finnic,RA-DYAKOVO-UPPER;P10;P11,contested,Upper-Volga late-Dyakovo gameplay frame without an ethnic-state claim
KLY,antq_late_dyakovo,antq_finnic,RA-DYAKOVO-UPPER;P10;P11,contested,Klyazma late-Dyakovo gameplay frame without an ethnic-state claim
WHT,antq_late_kargopol,antq_finnic,ENC-NEEU;P10;P11,contested,Late Kargopol gameplay frame for mobile northern collectives without a state claim
MZN,antq_late_belomorye,antq_finnic,ENC-NEEU;P10;P11,contested,Late Belomorye gameplay frame for mobile northern collectives without a state claim
VYG,antq_pidzh,antq_finnic,ENC-NEEU;P10;P11,contested,Pidzh gameplay frame without a later ethnic or state identity
MRV,antq_gorodets,antq_finnic,BSE-GORODETS;P10;P11,contested,Sura-Volga Gorodets gameplay frame without an ethnic-state claim
TGD,antq_gorodets,antq_finnic,BSE-GORODETS;P10;P11,contested,Tsna-Upper-Don Gorodets gameplay frame without an ethnic-state claim
SMD,antq_dnieper_dvina,antq_baltic_slavic,AWE-DNIEPER-DVINA;P10;P11,contested,Smolensk Dnieper-Dvina gameplay frame without a later Rus identity
RZM,antq_gorodets,antq_finnic,BSE-GORODETS;P10;P11,contested,Oka-Moksha Gorodets gameplay frame without projecting later Mordvin identities
BLR,antq_dnieper_dvina,antq_baltic_slavic,AWE-DNIEPER-DVINA;P10;P11,contested,Upper Dnieper-Dvina gameplay frame without a later Belarusian identity
NEM,antq_striated_pottery_neman,antq_baltic_slavic,LIT-NEMAN-STRIATED;P10;P11,contested,Upper Neman striated-pottery gameplay frame without an ethnic-state claim
ZRB,antq_dnieper_venedi,antq_baltic_slavic,RAS-ZAR;P8.7;P10;P11,contested,Zarubintsy is an archaeological horizon rather than an ethnic state
PDL,antq_lipita,antq_baltic_slavic,AAC-LIPITA;P8.7;P10;P11,contested,Podolian Lipita gameplay frame without equating material culture and one ethnic polity
RLG,antq_lipita,antq_baltic_slavic,AAC-LIPITA;P8.7;P10;P11,contested,Red-Ruthenian Lipita gameplay frame without equating material culture and one ethnic polity
DNP,antq_zarubintsy,antq_baltic_slavic,RAS-ZAR;P8.7;P10;P11,contested,Desna-Severia Zarubintsy gameplay frame without an ethnic-state claim
RBD,antq_zarubintsy,antq_baltic_slavic,RAS-ZAR;P8.7;P10;P11,contested,Right-Bank Dnieper Zarubintsy gameplay frame without an ethnic-state claim
LBD,antq_zarubintsy,antq_baltic_slavic,RAS-ZAR;P8.7;P10;P11,contested,Left-Bank Dnieper Zarubintsy gameplay frame without an ethnic-state claim
KRL,antq_ladoga_iron_age,antq_finnic,GERMANIA-NEVA;P10;P11,contested,Ladoga early-Iron-Age gameplay frame without a medieval Karelian polity claim
PRM,antq_glyadenovo,antq_finnic,BSE-GLYADENOVO;PAR-PER;P10;P11,contested,Middle Kama and Vychegda Glyadenovo archaeological frame rather than a state
VYP,antq_pyanobor,antq_finnic,ENC-NEEU;PAR-PER;P10;P11,contested,Vyatka Pyanobor archaeological frame rather than a state
VLF,antq_pyanobor,antq_finnic,ENC-NEEU;PAR-PER;P10;P11,contested,Lower Kama Pyanobor archaeological frame rather than a state
SUG,antq_kara_abyz,antq_finnic,AES-SOUTH-URAL;P10;P11,contested,Southern Cis-Ural Kara-Abyz archaeological frame rather than a state
SMY,antq_dzhudzhydyag,antq_finnic,ENC-NEEU;P10;P11,contested,Pechora-Timan Dzhudzhydyag archaeological frame without a modern-language boundary
SRG,antq_sargat,antq_tengri,RAS-SAR;RAS-SARGAT-CHRON;P8.8;P10;P11,contested,Omsk-Ishim Sargat archaeological frame rather than an ethnicity or state
AKL,antq_altai_kulay,antq_finnic,ASU-ALTAI-KULAY;P10;P11,contested,Forest-steppe Altai Kulay archaeological frame rather than an ethnicity or state
ALT,antq_altai_xiongnu_contact,antq_tengri,ACSS-ALTAI-XIONGNU;P10;P11,contested,Altai contact-horizon frame without asserting Xiongnu political occupation
KUL,antq_kulay,antq_finnic,TOM-KUL;P8.8;P10;P11,contested,Kulay archaeological horizon rather than an ethnicity or state
UGR,antq_kulay,antq_finnic,TOM-KUL;BSE-UST-POLUY;P10;P11,contested,Lower-Irtysh Kulay archaeological frame without a modern-language boundary
SIB,antq_tes_tashtyk,antq_tengri,FU-TASHTYK;P8.8;P10;P11,contested,Minusinsk Tes-Tashtyk transition frame rather than a unitary state
HOK,antq_wa,antq_kami,JAA-YAY;ISIJ-YAY;P8.3;P10;P11,contested,Hokuriku regional Wa community frame
SHK,antq_wa,antq_kami,JAA-YAY;ISIJ-YAY;P8.3;P10;P11,contested,Shikoku regional Wa community frame
OHW,antq_wa,antq_kami,JAA-YAY;P8.3;P10;P11,contested,Northern Honshu Yayoi-Jomon frontier frame
RYS,antq_ryukyu_shell_midden,antq_kami,RYU-ARC;P8.3;P10;P11,contested,Ryukyu shell-midden community frame distinct from mainland Wa
KYU,antq_wa,antq_kami,JAA-YAY;ISIJ-YAY;P8.3;P10;P11,contested,Northern Kyushu regional Wa community frame
IZM,antq_wa,antq_kami,JAA-YAY;ISIJ-YAY;P8.3;P10;P11,contested,Sanin regional Wa community frame
KBI,antq_wa,antq_kami,JAA-YAY;ISIJ-YAY;P8.3;P10;P11,contested,Sanyo regional Wa community frame
TKW,antq_wa,antq_kami,JAA-YAY;P8.3;P10;P11,contested,Tokai regional Wa community frame
EHW,antq_wa,antq_kami,JAA-YAY;P8.3;P10;P11,contested,Eastern Honshu Yayoi-Jomon frontier frame
NOK,antq_nok,antq_west_african,JAA-NOK;OUP-NOK;P8.5;P10;P11,contested,Late Nok archaeological horizon rather than a unified people
LCH,antq_chadic,antq_west_african,CAM-DAI;OUP-CHAD;P8.5;P10;P11,contested,Lake Chad settlement frame rather than a later Kanem-Bornu state
MNG,antq_middle_niger,antq_west_african,CAM-MLR;MET-IND;P8.5;P10;P11,contested,Middle Niger settlement-network frame rather than a state
WGD,antq_western_sahel,antq_west_african,CAM-MLR;P8.5;P10;P11,contested,Western Sahel community frame without backdating Wagadu
VLT,antq_volta_basin,antq_west_african,MET-IRON;P8.5;P10;P11,contested,Volta basin community frame without backdating Mossi states
SNG,antq_senegambian,antq_west_african,CAM-MLR;MET-IRON;P8.5;P10;P11,contested,Senegambian community frame without backdating Jolof
AKF,antq_akan_forest,antq_west_african,MET-IRON;P8.5;P10;P11,contested,Akan forest community frame without backdating later states
LNC,antq_lower_niger,antq_west_african,MET-IRON;P8.5;P10;P11,contested,Lower Niger community frame without backdating Benin or Yoruba states
GUR,antq_gur,antq_west_african,MET-IRON;P8.5;P10;P11,contested,Gur savanna community frame rather than a single people
MUP,antq_mande,antq_west_african,CAM-MLR;MET-IRON;P8.5;P10;P11,contested,Mande-area upland community frame rather than a state
AIR,antq_air_massif,antq_west_african,CAM-DAI;P8.5;P10;P11,contested,Air massif community frame without projecting later confederations
GTL,antq_germanic,antq_germanic_religion,P8.7;P10;P11;PTO-GEO-II11;OCD-GER,contested,Gutae is a later Ptolemaic display adapter over the southern Scandinavian archaeological frame
SKN,antq_germanic,antq_germanic_religion,P8.7;P10;P11;PTO-GEO-II11;OCD-GER,contested,Chaedini is a later Ptolemaic display adapter over Scania and Halland
SNR,antq_germanic,antq_germanic_religion,P8.7;P10;P11;PTO-GEO-II11;OCD-GER,contested,Dauciones is a later Ptolemaic display adapter over the southern Norwegian coastal frame
NNR,antq_germanic,antq_germanic_religion,P8.7;P10;P11;PLN-NH-IV96;OCD-GER,contested,Hilleviones is a geographically vague first-century display adapter; northern Germanic-Sami diversity remains unresolved
BYE,antq_samhan,antq_korean_muism,P8.3;P10;P11;SAM,contested,Byeonhan is aligned to the southern Korean Samhan population atlas
DJN,antq_middle_niger,antq_west_african,CAM-MLR;MET-IND;P8.5;P10;P11,contested,Djenne-Djenno is aligned to its Middle Niger settlement-network population
GET,antq_getic,antq_baltic_slavic,P8.7;P10;P11;CAH-XI,contested,Getic polity profile aligned to the lower-Danube Getic population atlas
INS,antq_austronesian,antq_mahayana,P8.9;P10;P11;CAH-XI,contested,Island Southeast Asian residual frame aligned to its Austronesian population
JAV,antq_javanese,antq_mahayana,P8.9;P10;P11;CAH-XI,contested,Javanese polity frame aligned to its island population atlas
JIN,antq_samhan,antq_korean_muism,P8.3;P10;P11;SAM,contested,Jinhan is aligned to the southern Korean Samhan population atlas
MEL,antq_new_guinean,antq_austronesian_religion,P8.9;P10;P11;CAH-XI,contested,Melanesian residual frame aligned to its New Guinean population atlas
