location,opening_owner,local_culture,local_language,local_name,roman_name,source,confidence,note
friedberg,NAR,antq_suebian,antq_germanic_language,Aelia Augusta,Aelia Augusta,PLE:118580;PLN:118580/aelia-augusta;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
furstenberg,SUE,antq_suebian,antq_germanic_language,Fürstenberg,Iuliomagus,PLE:187429;PLN:187429/iuliomagus;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
germersheim,SUE,antq_suebian,antq_germanic_language,Germersheim,Concordia,PLE:108897;PLN:108897/concordia;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
grafenau,NAR,antq_suebian,antq_germanic_language,Quintana,Quintana,PLE:118919;PLN:118919/quintana;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
grantham,COR,antq_corieltauvian,antq_celtic_language,Grantham,Col. Lindum,PLE:79395;PLN:79395/col-lindum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
grimsby,COR,antq_corieltauvian,antq_celtic_language,Petuaria,Petuaria,PLE:79639;PLN:79639/petuaria;T2,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
hachberg,SUE,antq_suebian,antq_germanic_language,Argentovaria,Argentovaria,PLE:108755;PLN:108755/argentovaria;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
harrow,CAT,antq_catuvellaunian,antq_celtic_language,Sulloniacis,Sulloniacis,PLE:79701;PLN:79701/sulloniacis;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
hayrabolu,THR,antq_thracian,antq_balkan_language,Kypsela,Kypsela,PLE:501489;PLN:501489/kypsela;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
hedingham,TRI,antq_trinovantian,antq_celtic_language,Canonium,Canonium,PLE:79373;PLN:79373/canonium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
heidelberg,SUE,antq_suebian,antq_germanic_language,Lopodunum,Lopodunum,PLE:118813;PLN:118813/lopodunum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
heidenheim,SUE,antq_suebian,antq_germanic_language,Heidenheim,Ad Lunam,PLE:118542;PLN:118542/ad-lunam;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
heinsberg,BRC,antq_istvaeonic,antq_germanic_language,Mederiacum,Mederiacum,PLE:109152;PLN:109152/mederiacum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
hexham,VOT,antq_votadinian,antq_celtic_language,Brocolitia,Brocolitia,PLE:89128;PLN:89128/brocolitia;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
huntingdon,ICE,antq_icenian,antq_celtic_language,Durobrivae,Durobrivae,PLE:79432;PLN:79432/durobrivae;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
ipswich,ICE,antq_icenian,antq_celtic_language,Combretovium,Combretovium,PLE:79399;PLN:79399/combretovium;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
kempten,SUE,antq_suebian,antq_germanic_language,Cambodunum,Cambodunum,PLE:187335;PLN:187335/cambodunum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
kesan,THR,antq_thracian,antq_balkan_language,Drabos,Drabos,PLE:501404;PLN:501404/drabos;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
kidderminster,DOB,antq_dobunnic,antq_celtic_language,Salinae,Salinae,PLE:79668;PLN:79668/salinae;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
kirklareli,THR,antq_odrysian,antq_balkan_language,Burtudizon,Burtudizon,PLE:511195;PLN:511195/burtudizon;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
komotini,THR,antq_thracian,antq_balkan_language,Xantheia,Xantheia,PLE:501661;PLN:501661/xantheia;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
konstanz,SUE,antq_suebian,antq_germanic_language,Tasgaetium,Tasgaetium,PLE:187573;PLN:187573/tasgaetium;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
kreuznach,CTU,antq_istvaeonic,antq_germanic_language,Kreuznach,Vicus Cruciniacum,PLE:109427;PLN:109427/vicus-cruciniacum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
lancaster,BRI,antq_brigantian,antq_celtic_language,Alone,Alone,PLE:89102;PLN:89102/alone;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
landsberg,NAR,antq_suebian,antq_germanic_language,Abodiacum,Abodiacum,PLE:187242;PLN:187242/abodiacum;T2,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
laufen,NAR,antq_suebian,antq_germanic_language,Artobriga,Artobriga,PLE:187295;PLN:187295/artobriga;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
leicester,COR,antq_brittonic,antq_celtic_language,Ratae,Ratae,PLE:79651;P8.7,secure,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
leiningen,SUE,antq_suebian,antq_germanic_language,Rouphiniana,Rouphiniana,PLE:109288;PLN:109288/rouphiniana;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
lichtenfels,NAR,antq_suebian,antq_germanic_language,Menosgada,Menosgada,PLE:123101;PLN:123101/menosgada;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
llangollen,ORD,antq_ordovician,antq_celtic_language,Bovium,Bovium,PLE:79340;PLN:79340/bovium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
loughborough,COR,antq_corieltauvian,antq_celtic_language,Margidunum,Margidunum,PLE:79595;PLN:79595/margidunum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
luleburgaz,THR,antq_odrysian,antq_balkan_language,Bergoule,Bergoule,PLE:511185;PLN:511185/bergoule;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
maastricht,BTV,antq_belgic,antq_celtic_language,Teudurum,Teudurum,PLE:109373;PLN:109373/teudurum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
macclesfield,CNV,antq_british_cornovian,antq_celtic_language,Mamucio,Mamucio,PLE:79590;PLN:79590/mamucio;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
malgara,THR,antq_thracian,antq_balkan_language,Aproi,Aproi,PLE:511153;PLN:511153/aproi;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
mayen,CTU,antq_istvaeonic,antq_germanic_language,Sentiacum,Sentiacum,PLE:109338;PLN:109338/sentiacum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
mechelen,BTV,antq_belgic,antq_celtic_language,Condacum,Condacum,PLE:108898;PLN:108898/condacum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
merzig,CTU,antq_istvaeonic,antq_germanic_language,Merzig,Vicus Contiomagus,PLE:109426;PLN:109426/vicus-contiomagus;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
monchengladbach,SGM,antq_istvaeonic,antq_germanic_language,Sablones,Sablones,PLE:109300;PLN:109300/sablones;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
mors,SGM,antq_istvaeonic,antq_germanic_language,Moers,Col. Ulpia Traiana,PLE:108896;PLN:108896/col-ulpia-traiana;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
mosbach,SUE,antq_suebian,antq_germanic_language,Mosbach,Vicus Alisinensium,PLE:119024;PLN:119024/vicus-alisinensium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
mullheim,SUE,antq_suebian,antq_germanic_language,Müllheim,Col. Augusta Raurica,PLE:177494;PLN:177494/col-augusta-raurica;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
nantwich,CNV,antq_british_cornovian,antq_celtic_language,Salinae,Salinae,PLE:79667;PLN:79667/salinae;T2,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
newark,COR,antq_corieltauvian,antq_celtic_language,Crococalana,Crococalana,PLE:79407;PLN:79407/crococalana;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
nivelles,BTV,antq_belgic,antq_celtic_language,Geminiacum,Geminiacum,PLE:109003;PLN:109003/geminiacum;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
oberdorf,SUE,antq_suebian,antq_germanic_language,Damasia,Damasia,PLE:187359;PLN:187359/damasia;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
oberndorf,SUE,antq_suebian,antq_germanic_language,Oberndorf,Arae Flaviae,PLE:118572;PLN:118572/arae-flaviae;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
oettingen,SUE,antq_suebian,antq_germanic_language,Opia,Opia,PLE:118895;PLN:118895/opia;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
oswestry,CNV,antq_british_cornovian,antq_celtic_language,Mediolanum,Mediolanum,PLE:79597;PLN:79597/mediolanum;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
penrith,CRV,antq_carvetian,antq_celtic_language,Luguvalium,Luguvalium,PLE:89234;PLN:89234/luguvalium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
pfaffenhofen,NAR,antq_suebian,antq_germanic_language,Vallatum,Vallatum,PLE:119017;PLN:119017/vallatum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
plovdiv,THR,antq_thracian,antq_balkan_language,Philippopolis,Philippopolis,PLE:216927,secure,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
pontefract,BRI,antq_brigantian,antq_celtic_language,Calcaria,Calcaria,PLE:89131;PLN:89131/calcaria;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
poole,DUR,antq_durotrigian,antq_celtic_language,Vindocladia,Vindocladia,PLE:79740;PLN:79740/vindocladia;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
portishead,BLG,antq_british_belgic,antq_celtic_language,Ischalis,Ischalis,PLE:79534;PLN:79534/ischalis;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
prittlewell,TRI,antq_trinovantian,antq_celtic_language,Prittlewell,Caesaromagus,PLE:79364;PLN:79364/caesaromagus;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
ravensburg,SUE,antq_suebian,antq_germanic_language,Brigantium,Brigantium,PLE:187325;PLN:187325/brigantium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
reading,ATB,antq_british_atrebatic,antq_celtic_language,Spinis,Spinis,PLE:79692;PLN:79692/spinis;T2,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
rochester,BRT,antq_cantiacian,antq_celtic_language,Vagniacis,Vagniacis,PLE:79729;PLN:79729/vagniacis;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
rodoscuk,THR,antq_thracian,antq_balkan_language,Neapolis,Neapolis,PLE:511333;PLN:511333/neapolis;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
roermond,BTV,antq_belgic,antq_celtic_language,Catualium,Catualium,PLE:108871;PLN:108871/catualium;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
royston,ICE,antq_icenian,antq_celtic_language,Duroliponte,Duroliponte,PLE:79436;PLN:79436/duroliponte;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
rutland,COR,antq_corieltauvian,antq_celtic_language,Causennis,Causennis,PLE:79382;PLN:79382/causennis;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
saarburg,CTU,antq_istvaeonic,antq_germanic_language,Tabernae,Tabernae,PLE:109361;PLN:109361/tabernae;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
salisbury,BLG,antq_british_belgic,antq_celtic_language,Sorviodunum,Sorviodunum,PLE:79688;PLN:79688/sorviodunum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
