surface,target,good,mechanic,value,source,confidence,note
privilege_modifier,antq_mauretanian_olive_grain_labor_compacts,antq_olive_oil,output_modifier,0.06,P8.1;P12.1;P13;CAH-XI;OCD,secure,The named olive compact now affects pressed oil output.
privilege_modifier,antq_mauretanian_olive_grain_labor_compacts,antq_grain_products,output_modifier,0.05,P8.1;P12.1;P13;CAH-XI;OCD,secure,The named grain compact now affects processed grain output.
privilege_modifier,antq_galilean_ritual_store_inventories,antq_olive_oil,pop_demand,0.04,P8.1;P12.1;P13;OCD;JOS-SAL,secure,Ritual lamp and hospitality stores create bounded oil demand.
privilege_modifier,antq_galilean_ritual_store_inventories,antq_wax_goods,pop_demand,0.03,P8.1;P12.1;P13;OCD;JOS-SAL,contested,Wax demand is a conservative ritual-store adapter.
privilege_modifier,antq_kushite_temple_storehouse_immunity,antq_iron_hardware,output_modifier,0.05,P8.5;P12.1;P13;CAH-XI,contested,Temple-workshop custody can support iron hardware throughput without defining ownership.
privilege_modifier,antq_kushite_temple_storehouse_immunity,antq_glass_beads,output_modifier,0.04,P8.5;P12.1;P13;CAH-XI,contested,Bead production is tied to reviewed storehouse exchange.
privilege_modifier,antq_xiongnu_han_frontier_stipend_treaty,silk,pop_demand,0.07,P8.3;P12.1;P13;BHR;XIONGNU-CONFEDERACY,secure,Han silk gifts were politically important to frontier redistribution.
decision_market,fund_the_annona,antq_grain_products,threshold_supply,5|market_goods_mild_gain,P8.1;P12.1;P13;CAH-XI,secure,Funding releases and attracts prepared grain into the capital market.
decision_market,fund_the_annona,antq_cured_meat,threshold_supply,2|market_goods_weak_gain,P8.1;P12.1;P13;CAH-XI,contested,Preserved meat is a supplementary provisioning class.
decision_market,open_granary_reserves,rice,threshold_supply,5|market_goods_mild_gain,P8.3;P12.1;P13;BHR,secure,The action now requires and releases a real stored staple.
decision_market,open_granary_reserves,antq_soy_condiments,threshold_supply,2|market_goods_weak_gain,P8.3;P12.1;P13;BHR,contested,Fermented stores are a bounded durable-food supplement.
decision_market,sponsor_irrigation_works,rice,threshold_supply,3|market_goods_weak_gain,P8.3;P12.1;P13;BHR,secure,Irrigation spending improves staple availability.
decision_market,sponsor_irrigation_works,antq_sesame,threshold_supply,2|market_goods_weak_gain,P8.3;P12.1;P13;BHR,contested,Oilseed supply is a secondary irrigated-crop response.
decision_market,safeguard_caravan_routes,antq_dates,threshold_supply,3|market_goods_weak_gain,P8.2;P12.1;P13;CAH-XI,secure,Safe stages improve movement of durable oasis food.
decision_market,safeguard_caravan_routes,antq_dried_fruit,threshold_supply,2|market_goods_weak_gain,P8.2;P12.1;P13;CAH-XI,contested,Dried fruit represents durable caravan provisioning.
decision_market,endow_a_fire_temple,incense,threshold_supply,3|market_goods_weak_gain,P8.2;P11;P12.1;P13;CAH-XI,secure,Temple endowment requires and circulates aromatic offerings.
decision_market,endow_a_fire_temple,antq_sesame_oil,threshold_supply,2|market_goods_weak_gain,P8.2;P11;P12.1;P13;CAH-XI,contested,Lamp oil is a bounded ritual provisioning good.
decision_market,maintain_a_monsoon_port,antq_cordage,threshold_supply,3|market_goods_mild_gain,P8.4;P12.1;P13;P14;CAH-XI,secure,Port maintenance improves rope availability.
decision_market,maintain_a_monsoon_port,antq_sailcloth,threshold_supply,3|market_goods_mild_gain,P8.4;P12.1;P13;P14;CAH-XI,secure,Port maintenance improves sailcloth availability.
decision_market,receive_an_overseas_trader,pepper,threshold_supply,2|market_goods_weak_gain,P8.4;P12.1;P13;CAH-XI,secure,The visiting trader now produces a bounded pepper inflow.
decision_market,receive_an_overseas_trader,antq_coconut_products,threshold_supply,2|market_goods_weak_gain,P8.4;P12.1;P13;CAH-XI,contested,Processed coconut cargo stands for a coastal exchange class.
decision_market,sponsor_a_pilgrimage,incense,threshold_supply,2|market_goods_weak_gain,P11;P12.1;P13;CAH-XI,secure,Pilgrimage hospitality creates aromatic demand and circulation.
decision_market,sponsor_a_pilgrimage,antq_dried_fruit,threshold_supply,2|market_goods_weak_gain,P11;P12.1;P13;CAH-XI,contested,Dried fruit represents portable hospitality stores.
decision_market,convene_a_desert_caravan,antq_dates,threshold_supply,3|market_goods_mild_gain,P8.5;P12.1;P13;CAH-XI,secure,The caravan action now moves durable oasis produce.
decision_market,convene_a_desert_caravan,incense,threshold_supply,2|market_goods_weak_gain,P8.5;P12.1;P13;CAH-XI,secure,The caravan action now moves aromatics.
decision_market,support_ocean_wayfinding,antq_cordage,threshold_supply,2|market_goods_weak_gain,P8.9;P12.1;P14,contested,Cordage is a general seagoing material without asserting one Oceanian rig.
decision_market,support_ocean_wayfinding,antq_coconut_products,threshold_supply,2|market_goods_weak_gain,P8.9;P12.1;P14,contested,Coconut products are a bounded portable coastal supply class.
event_market,great_fire_rome,antq_grain_products,supply,market_goods_mild_loss,P8.1;P9;P12.1;CAH-XI,contested,The fire removes a bounded share of urban stored provisions rather than reconstructing warehouse totals.
event_market,great_fire_rome,antq_papyrus,supply,market_goods_weak_loss,P8.1;P9;P12.1;CAH-XI,contested,Papyrus loss represents destroyed administrative and commercial stores.
event_market,silphium_extinction,antq_silphium,supply,market_goods_severe_loss,P9;P12.1;CAM-SIL,secure,The dated extinction current removes remaining market supply.
event_rgo,silphium_extinction,antq_silphium,change_raw_material,medicaments,P9;P12.1;CAM-SIL,contested,Barca changes to a broad medicinal-material successor rather than retaining extinct silphium.
event_market,gan_ying,silk,supply,market_goods_weak_gain,P9;P12.1;BHR,secure,The mission adds a bounded diplomatic silk circulation effect without asserting direct Roman arrival.
event_market,cai_lun_paper,paper,supply,market_goods_severe_gain,P9;P12.1;SMI-CAI,secure,Standardized papermaking produces a real market supply response.
event_market,daqin_embassy,silk,supply,market_goods_mild_gain,P9;P12.1;BHR,contested,The embassy creates bounded prestige-gift circulation rather than a measured trade mission.
event_market,antonine_plague,antq_cured_meat,supply,market_goods_mild_loss,P9;P12.1;SCI-ANT,contested,Disruption removes a bounded durable-food supply without claiming a universal ration.
unit_demand,light_infantry_construction,weaponry,demand,0.16,P12.1;P14;CAH-XI,contested,Weaponry is an engine equipment class rather than a standardized issue.
unit_demand,light_infantry_construction,antq_leather_goods,demand,0.08,P12.1;P14;CAH-XI,contested,Leather goods abstract straps shields and field kit.
unit_demand,light_infantry_maintenance,antq_grain_products,demand,0.05,P12.1;P14;CAH-XI,contested,Prepared grain is a portable provisioning class not a fixed ration.
unit_demand,light_infantry_maintenance,antq_cured_meat,demand,0.02,P12.1;P14;CAH-XI,contested,Preserved meat is a portable supplement.
unit_demand,light_infantry_maintenance,antq_dried_fruit,demand,0.02,P12.1;P14;CAH-XI,contested,Dried fruit is a portable supplement.
unit_demand,heavy_infantry_construction,weaponry,demand,0.24,P12.1;P14;CAH-XI,contested,Weaponry is an engine equipment class.
unit_demand,heavy_infantry_construction,antq_leather_goods,demand,0.12,P12.1;P14;CAH-XI,contested,Leather goods abstract straps shields and armor components.
unit_demand,heavy_infantry_construction,antq_iron_hardware,demand,0.10,P12.1;P14;CAH-XI,contested,Iron hardware represents fittings and tools without imposing one metallurgy.
unit_demand,heavy_infantry_maintenance,antq_grain_products,demand,0.07,P12.1;P14;CAH-XI,contested,Prepared grain is a portable provisioning class.
unit_demand,heavy_infantry_maintenance,antq_cured_meat,demand,0.03,P12.1;P14;CAH-XI,contested,Preserved meat is a portable supplement.
unit_demand,heavy_infantry_maintenance,antq_dried_fruit,demand,0.02,P12.1;P14;CAH-XI,contested,Dried fruit is a portable supplement.
unit_demand,light_cavalry_construction,horses,demand,0.80,P12.1;P14;CAH-XI,secure,Horses are required for mounted formations.
unit_demand,light_cavalry_construction,antq_leather_goods,demand,0.16,P12.1;P14;CAH-XI,contested,Leather goods abstract tack and field kit.
unit_demand,light_cavalry_construction,weaponry,demand,0.12,P12.1;P14;CAH-XI,contested,Weaponry is an engine equipment class.
unit_demand,light_cavalry_maintenance,antq_barley,demand,0.08,P12.1;P14;CAH-XI,contested,Barley is a bounded fodder proxy and not a universal feed ratio.
unit_demand,light_cavalry_maintenance,antq_cheese_curds,demand,0.03,P12.1;P14;CAH-XI,contested,Dairy is a durable mounted-force provisioning class.
unit_demand,light_cavalry_maintenance,antq_dried_fruit,demand,0.02,P12.1;P14;CAH-XI,contested,Dried fruit is a portable supplement.
unit_demand,heavy_cavalry_construction,horses,demand,1.20,P12.1;P14;CAH-XI,secure,Horses are required for mounted formations.
unit_demand,heavy_cavalry_construction,antq_leather_goods,demand,0.24,P12.1;P14;CAH-XI,contested,Leather goods abstract tack and armor components.
unit_demand,heavy_cavalry_construction,antq_iron_hardware,demand,0.20,P12.1;P14;CAH-XI,contested,Iron hardware represents fittings without fixing armor composition.
unit_demand,heavy_cavalry_maintenance,antq_barley,demand,0.12,P12.1;P14;CAH-XI,contested,Barley is a bounded fodder proxy rather than a universal feed ratio.
unit_demand,heavy_cavalry_maintenance,antq_cured_meat,demand,0.04,P12.1;P14;CAH-XI,contested,Preserved meat is a portable supplement.
unit_demand,heavy_cavalry_maintenance,antq_cheese_curds,demand,0.04,P12.1;P14;CAH-XI,contested,Dairy is a durable mounted-force provisioning class.
unit_demand,horse_archer_construction,horses,demand,1.00,P8.3;P12.1;P14;BHR,secure,Horses are required for mounted archery.
unit_demand,horse_archer_construction,antq_leather_goods,demand,0.18,P8.3;P12.1;P14;BHR,contested,Leather goods abstract tack quivers and field kit.
unit_demand,horse_archer_construction,weaponry,demand,0.14,P8.3;P12.1;P14;BHR,contested,Weaponry is an engine bow and arms class.
unit_demand,horse_archer_maintenance,antq_barley,demand,0.10,P8.3;P12.1;P14;BHR,contested,Barley is a bounded remount-fodder proxy.
unit_demand,horse_archer_maintenance,antq_cheese_curds,demand,0.05,P8.3;P12.1;P14;BHR,contested,Dairy represents pastoral mobile provisioning.
unit_demand,horse_archer_maintenance,antq_cured_meat,demand,0.04,P8.3;P12.1;P14;BHR,contested,Preserved meat represents mobile provisioning.
unit_demand,camel_construction,antq_camels,demand,0.90,P8.5;P12.1;P14;CAH-XI,secure,Camels are required for camel-mounted formations.
unit_demand,camel_construction,antq_leather_goods,demand,0.16,P8.5;P12.1;P14;CAH-XI,contested,Leather goods abstract tack and field kit.
unit_demand,camel_maintenance,antq_dates,demand,0.06,P8.5;P12.1;P14;CAH-XI,contested,Dates are a bounded desert provisioning class.
unit_demand,camel_maintenance,antq_dried_fruit,demand,0.04,P8.5;P12.1;P14;CAH-XI,contested,Dried fruit is a portable supplement.
unit_demand,elephant_construction,elephants,demand,1.40,P8.4;P12.1;P14;CAH-XI,secure,Elephants are required for elephant formations.
unit_demand,elephant_construction,antq_leather_goods,demand,0.24,P8.4;P12.1;P14;CAH-XI,contested,Leather goods abstract harness and field equipment.
unit_demand,elephant_construction,antq_iron_hardware,demand,0.16,P8.4;P12.1;P14;CAH-XI,contested,Iron hardware represents fittings without fixing armor composition.
unit_demand,elephant_maintenance,rice,demand,0.14,P8.4;P12.1;P14;CAH-XI,contested,Rice is a bounded staple and fodder proxy rather than a universal ration.
unit_demand,elephant_maintenance,antq_coconut_products,demand,0.05,P8.4;P12.1;P14;CAH-XI,contested,Coconut products represent portable coastal provisions.
unit_demand,elephant_maintenance,antq_dried_fruit,demand,0.04,P8.4;P12.1;P14;CAH-XI,contested,Dried fruit is a portable supplement.
unit_demand,galley_construction,lumber,demand,2.40,P12.1;P14;CAH-XI,secure,Lumber remains the principal hull material.
unit_demand,galley_construction,antq_cordage,demand,0.45,P12.1;P14;CAH-XI,secure,Cordage is required for rigging and ship handling.
unit_demand,galley_construction,antq_sailcloth,demand,0.24,P12.1;P14;CAH-XI,contested,Sailcloth is an engine material class across varied ancient rigs.
unit_demand,galley_construction,antq_iron_hardware,demand,0.12,P12.1;P14;CAH-XI,contested,Iron hardware represents fittings and tools.
unit_demand,galley_maintenance,antq_cordage,demand,0.05,P12.1;P14;CAH-XI,secure,Working rigging consumes replacement cordage.
unit_demand,galley_maintenance,antq_preserved_fish,demand,0.03,P12.1;P14;CAH-XI,contested,Preserved fish is a bounded shipboard ration class.
unit_demand,galley_maintenance,antq_cured_meat,demand,0.02,P12.1;P14;CAH-XI,contested,Cured meat is a bounded shipboard ration class.
unit_demand,light_ship_construction,lumber,demand,2.00,P12.1;P14;CAH-XI,secure,Lumber remains the principal hull material.
unit_demand,light_ship_construction,antq_cordage,demand,0.42,P12.1;P14;CAH-XI,secure,Cordage is required for rigging and ship handling.
unit_demand,light_ship_construction,antq_sailcloth,demand,0.32,P12.1;P14;CAH-XI,contested,Sailcloth is an engine material class across varied ancient rigs.
unit_demand,light_ship_maintenance,antq_cordage,demand,0.04,P12.1;P14;CAH-XI,secure,Working rigging consumes replacement cordage.
unit_demand,light_ship_maintenance,antq_dried_fruit,demand,0.03,P12.1;P14;CAH-XI,contested,Dried fruit is a bounded shipboard ration class.
unit_demand,light_ship_maintenance,antq_preserved_fish,demand,0.02,P12.1;P14;CAH-XI,contested,Preserved fish is a bounded shipboard ration class.
unit_demand,transport_construction,lumber,demand,3.20,P12.1;P14;CAH-XI,secure,Lumber remains the principal hull material.
unit_demand,transport_construction,antq_cordage,demand,0.55,P12.1;P14;CAH-XI,secure,Cordage is required for rigging and cargo handling.
unit_demand,transport_construction,antq_sailcloth,demand,0.42,P12.1;P14;CAH-XI,contested,Sailcloth is an engine material class across varied ancient rigs.
unit_demand,transport_maintenance,antq_cordage,demand,0.05,P12.1;P14;CAH-XI,secure,Working rigging and cargo handling consume cordage.
unit_demand,transport_maintenance,antq_grain_products,demand,0.05,P12.1;P14;CAH-XI,contested,Prepared grain is a bounded transport provisioning class.
unit_demand,transport_maintenance,antq_cured_meat,demand,0.03,P12.1;P14;CAH-XI,contested,Cured meat is a bounded transport provisioning class.
unit_demand,transport_maintenance,antq_dried_fruit,demand,0.03,P12.1;P14;CAH-XI,contested,Dried fruit is a bounded transport provisioning class.
unit_demand,heavy_ship_construction,lumber,demand,4.20,P12.1;P14;CAH-XI,secure,Lumber remains the principal hull material.
unit_demand,heavy_ship_construction,antq_cordage,demand,0.70,P12.1;P14;CAH-XI,secure,Cordage is required for a large rig and ship handling.
unit_demand,heavy_ship_construction,antq_sailcloth,demand,0.48,P12.1;P14;CAH-XI,contested,Sailcloth is an engine material class across varied ancient rigs.
unit_demand,heavy_ship_construction,antq_iron_hardware,demand,0.20,P12.1;P14;CAH-XI,contested,Iron hardware represents fittings and tools.
unit_demand,heavy_ship_maintenance,antq_cordage,demand,0.07,P12.1;P14;CAH-XI,secure,Working rigging consumes replacement cordage.
unit_demand,heavy_ship_maintenance,antq_preserved_fish,demand,0.04,P12.1;P14;CAH-XI,contested,Preserved fish is a bounded shipboard ration class.
unit_demand,heavy_ship_maintenance,antq_cured_meat,demand,0.04,P12.1;P14;CAH-XI,contested,Cured meat is a bounded shipboard ration class.
