tag,geography,tenure,source,confidence,note
PAR,baluchistan_area,own_control_core,P8.2;CAH-XI,secure,Arsacid eastern Iranian core
PAR,iraq_ajam_area,own_control_core,P8.2;CAH-XI,secure,Arsacid Media core
PAR,kerman_area,own_control_core,P8.2;CAH-XI,secure,Arsacid Carmania
PAR,kordestan_area,own_control_core,P8.2;CAH-XI,secure,Arsacid western Iranian core outside documented sub-king areas
PAR,mazandaran_area,own_control_core,P8.2;CAH-XI,secure,Hyrcanian Arsacid core
PAR,quhestan_area,own_control_core,P8.2;CAH-XI,secure,Arsacid eastern Iranian core
PAR,western_khorasan_area,own_control_core,P8.2;CAH-XI,secure,Arsacid Khorasan core
HAN,north_china_region,own_control_core,P8.3;BHR,secure,Western Han commandery frame
HAN,east_china_region,own_control_core,P8.3;BHR,secure,Western Han commandery frame
HAN,south_china_region,own_control_core,P8.3;BHR,secure,Western Han commandery frame including annexed Dian and Nanyue
HAN,west_china_region,own_control_core,P8.3;BHR,secure,Western Han commandery frame
ISK,upper_indus_area,own_control_core,P8.4;CAH-XI,contested,Indo-Scythian northwestern frontier frame
ISK,sindh_area,own_control_core,P8.4;CAH-XI,contested,Indo-Scythian Sindh frame
YUE,badakhshan_area,own_control_core,P8.4;CAH-XI,contested,Yuezhi Bactrian mountain and Oxus approach frame
KUN,nepal_area,own_control_core,P8.4;CAH-XI,contested,Kuninda Himalayan foothill frame
KAL,orissa_area,own_control_core,P8.4;CAH-XI,contested,Kalinga coastal and interior frame
SAT,maharashtra_area,own_control_core,P8.4;CAH-XI,contested,Satavahana Deccan heartland frame
SAT,vidarbha_area,own_control_core,P8.4;CAH-XI,contested,Satavahana eastern Deccan frame
SAT,andhra_area,own_control_core,P8.4;CAH-XI,contested,Satavahana Andhra frame during the AD 1 interregnum
SAT,telingana_area,own_control_core,P8.4;CAH-XI,contested,Satavahana Telangana frame during the AD 1 interregnum
SAT,konkan_area,own_control_core,P8.4;CAH-XI,contested,Satavahana Konkan trade-coast frame
SAT,karnakassala_area,own_control_core,P8.4;CAH-XI,contested,Satavahana southern Deccan frame
CHE,malabar_area,own_control_core,P8.4;PER,contested,Chera Malabar pepper-coast frame
ANU,sailan_area,own_control_core,P8.4;CAH-XI,contested,Anuradhapura Lankan frame
HAN,red_river_delta_area,own_control_core,P8.3;BHR,secure,Jiaozhi under Western Han
PYU,irrawady_area,own_control_core,P8.9;CAH-XI,contested,Pyu Irrawaddy city-network frame
PYU,irrawady_delta_area,own_control_core,P8.9;CAH-XI,contested,Pyu lower Irrawaddy exchange frame
MON,chao_phraya_area,own_control_core,P8.9;CAH-XI,contested,Mon precursor lower Chao Phraya frame
KHM,lower_mekong_area,own_control_core,P8.9;CAH-XI,contested,Proto-Khmer lower Mekong frame
KHM,khorat_plateau_area,own_control_core,P8.9;CAH-XI,contested,Proto-Khmer Khorat plateau frame
NAB,duba_province,own_control_core,OCD;NABATAEA-MAP;PLE,contested,Nabataean northwestern Hijaz caravan and Hegra approach frame
NAB,madian_province,own_control_core,OCD;NABATAEA-MAP;PLE,contested,Nabataean northwestern Hijaz caravan and Hegra approach frame
NAB,qura_province,own_control_core,OCD;NABATAEA-MAP;PLE,contested,Nabataean northwestern Hijaz caravan and Hegra approach frame
NAB,tabuk_province,own_control_core,OCD;NABATAEA-MAP;PLE,contested,Nabataean northwestern Hijaz caravan and Hegra approach frame
NAB,umluj_province,own_control_core,OCD;NABATAEA-MAP;PLE,contested,Nabataean northwestern Hijaz caravan and Hegra approach frame
NAB,medina_province,own_control_core,OCD;NABATAEA-MAP;PLE,contested,Nabataean southern frontier campaign frame; control near Iathrippa is deliberately marked uncertain
THM,dhalam_province,own_control_core,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Northwestern Thamud range-and-oasis campaign frame
THM,hinakiyah_province,own_control_core,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Northwestern Thamud range-and-oasis campaign frame
THM,khaybar_province,own_control_core,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Northwestern Thamud range-and-oasis campaign frame
THM,khulays_province,own_control_core,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Northwestern Thamud range-and-oasis campaign frame
THM,mecca_province,own_control_core,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Western Arabian campaign frame; this does not assert an attested Thamud state at Macoraba
THM,taif_province,own_control_core,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Western Arabian upland campaign frame
THM,yanbu_province,own_control_core,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Northwestern Thamud range-and-oasis campaign frame
AGR,jawf_province,own_control_core,STR-ARAB;PLN-ARAB,contested,Agraean northern oasis and caravan-route campaign frame
AGR,sirhan_province,own_control_core,STR-ARAB;PLN-ARAB,contested,Agraean northern oasis and caravan-route campaign frame
AGR,zubala_province,own_control_core,STR-ARAB;PLN-ARAB,contested,Agraean northern oasis and caravan-route campaign frame
AGR,batin_province,own_control_core,STR-ARAB;PLN-ARAB,contested,Agraean northeastward caravan corridor campaign frame
AGR,nita_province,own_control_core,STR-ARAB;PLN-ARAB,contested,Agraean northeastward caravan corridor campaign frame
BED,hail_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,nafud_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,afif_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,al_hisu_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,east_qassim_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,fadak_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,sudair_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,udakh_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,washm_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
BED,west_qassim_province,own_control_core,STR-ARAB;P8.6,contested,Chaulotaean north-central Arabian caravan-country frame
KIN,ar_rayn_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah Qaryat al-Faw and south-central Najd campaign frame
KIN,arid_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah Qaryat al-Faw and south-central Najd campaign frame
KIN,dawasir_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah Qaryat al-Faw and south-central Najd campaign frame
KIN,laila_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah Qaryat al-Faw and south-central Najd campaign frame
KIN,yamama_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah Qaryat al-Faw and south-central Najd campaign frame
KIN,abha_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah northern Yemen caravan-interface campaign frame
KIN,ranyah_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah northern Yemen caravan-interface campaign frame
KIN,tathlith_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah northern Yemen caravan-interface campaign frame
KIN,turbah_province,own_control_core,P8.6;CAH-XI;PLE,contested,Kindah northern Yemen caravan-interface campaign frame
GRH,al_ahsa_province,own_control_core,OCD-GERRHA;THAJ-ARCH;PLN-ARAB,contested,Gerrha eastern Arabian oasis-and-port campaign frame
GRH,yabrin_province,own_control_core,OCD-GERRHA;THAJ-ARCH;PLN-ARAB,contested,Gerrha eastern Arabian oasis-and-port campaign frame
QTR,qatar_province,own_control_core,PLN-ARAB;PTO-ARAB,contested,Cataraean peninsula campaign frame; Ptolemaic testimony is later and therefore used cautiously
QTR,julfar_province,own_control_core,PLN-ARAB;PTO-ARAB,contested,Cataraean Gulf-coast campaign frame; exact first-century reach is uncertain
OMN,batina_province,own_control_core,PLN-ARAB;PLE,contested,Omanitae northern Oman coast campaign frame
OMN,masqat_province,own_control_core,PLN-ARAB;PLE,contested,Omanitae Oman coast campaign frame
OMN,nizwa_province,own_control_core,PLN-ARAB;PLE,contested,Omanitae interior Oman campaign frame
SAB,hirda_province,own_control_core,UNESCO-SABA;UNESCO-INCENSE;P8.6,contested,Sabaean highland and Marib campaign frame
SAB,sana_province,own_control_core,UNESCO-SABA;UNESCO-INCENSE;P8.6,contested,Sabaean highland and Marib campaign frame
SAB,hudaida_province,own_control_core,UNESCO-SABA;UNESCO-INCENSE;P8.6,contested,Sabaean western Yemen campaign frame
SAB,marib_province,own_control_core,UNESCO-SABA;UNESCO-INCENSE;P8.6,secure,Sabaean Marib heartland
HIM,hali_province,own_control_core,HIMYAR-HIST;UNESCO-INCENSE;P8.6,contested,Early Himyarite southwestern campaign frame before later expansion
HIM,jazan_province,own_control_core,HIMYAR-HIST;UNESCO-INCENSE;P8.6,contested,Early Himyarite southwestern campaign frame before later expansion
HIM,aden_province,own_control_core,HIMYAR-HIST;UNESCO-INCENSE;P8.6,contested,Early Himyarite southwestern campaign frame before later expansion
HIM,ibb_province,own_control_core,HIMYAR-HIST;UNESCO-INCENSE;P8.6,contested,Early Himyarite Zafar campaign frame
HIM,taizz_province,own_control_core,HIMYAR-HIST;UNESCO-INCENSE;P8.6,contested,Early Himyarite southwestern campaign frame before later expansion
HIM,zabid_province,own_control_core,HIMYAR-HIST;UNESCO-INCENSE;P8.6,contested,Early Himyarite southwestern campaign frame before later expansion
QAT,dathina_province,own_control_core,UNESCO-QATABAN;UNESCO-INCENSE,contested,Qatabani Timna and Bayhan campaign frame
HAD,birali_province,own_control_core,UNESCO-INCENSE;P8.6,contested,Hadramawt Shabwa and eastern incense-route campaign frame
HAD,hadramawt_province,own_control_core,UNESCO-INCENSE;P8.6,contested,Hadramawt Shabwa and eastern incense-route campaign frame
HAD,mahra_province,own_control_core,UNESCO-INCENSE;P8.6,contested,Hadramawt eastern incense-route campaign frame
MAL,malay_peninsula_area,own_control_core,P8.9;CAH-XI,contested,Early Malay peninsula SoP frame
MAL,north_sumatra_area,own_control_core,P8.9;CAH-XI,contested,Early Malay northern Sumatra SoP frame
MAL,south_sumatra_area,own_control_core,P8.9;CAH-XI,contested,Early Malay southern Sumatra SoP frame
JAV,java_area,own_control_core,P8.9;CAH-XI,contested,Javanese SoP frame
JAV,lesser_sunda_area,own_control_core,P8.9;CAH-XI,contested,Javanese and Lesser Sunda exchange frame
PHL,luzon_area,own_control_core,P8.9;CAH-XI,contested,Philippine societies Luzon frame
PHL,mindanao_area,own_control_core,P8.9;CAH-XI,contested,Philippine societies Mindanao frame
PHL,visayas_area,own_control_core,P8.9;CAH-XI,contested,Philippine societies Visayas frame
BOR,north_borneo_area,own_control_core,P8.9;CAH-XI,contested,Bornean societies northern frame
BOR,south_borneo_area,own_control_core,P8.9;CAH-XI,contested,Bornean societies southern frame
ICE,cambridgeshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Icenian campaign frame; installed province geometry is not an exact ancient frontier
TRI,essex_province,own_control_core,P8.7;PTO-GEO-II2,contested,Trinovantian campaign frame; installed province geometry is not an exact ancient frontier
CAT,hertfordshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Catuvellaunian campaign frame; installed province geometry is not an exact ancient frontier
ICE,norfolk_province,own_control_core,P8.7;PTO-GEO-II2,contested,Icenian campaign frame; installed province geometry is not an exact ancient frontier
ICE,suffolk_province,own_control_core,P8.7;PTO-GEO-II2,contested,Icenian campaign frame; installed province geometry is not an exact ancient frontier
CAT,bedfordshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Catuvellaunian campaign frame; installed province geometry is not an exact ancient frontier
ATB,berkshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Atrebatic campaign frame; installed province geometry is not an exact ancient frontier
CAT,buckinghamshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Catuvellaunian campaign frame; installed province geometry is not an exact ancient frontier
ATB,hampshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Atrebatic campaign frame; installed province geometry is not an exact ancient frontier
BRT,kent_province,own_control_core,P8.7;PTO-GEO-II2,contested,Cantiacian campaign frame; installed province geometry is not an exact ancient frontier
CAT,middlesex_province,own_control_core,P8.7;PTO-GEO-II2,contested,Catuvellaunian campaign frame; Londinium is not projected backward as an AD 1 Roman city
REG,surrey_province,own_control_core,P8.7;PTO-GEO-II2,contested,Regnian campaign frame; installed province geometry is not an exact ancient frontier
REG,sussex_province,own_control_core,P8.7;PTO-GEO-II2,contested,Regnian campaign frame; installed province geometry is not an exact ancient frontier
BRI,derbyshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Brigantian campaign frame; southern reach is an explicitly contested proxy
DOB,herefordshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Dobunnic campaign frame; installed province geometry is not an exact ancient frontier
COR,leicestershire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Corieltauvian campaign frame; installed province geometry is not an exact ancient frontier
COR,lincolnshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Corieltauvian campaign frame; installed province geometry is not an exact ancient frontier
COR,nottinghamshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Corieltauvian campaign frame; installed province geometry is not an exact ancient frontier
CNV,shropshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Midland Cornovian campaign frame; installed province geometry is not an exact ancient frontier
CNV,staffordshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Midland Cornovian campaign frame; installed province geometry is not an exact ancient frontier
DOB,warwickshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Dobunnic campaign frame; installed province geometry is not an exact ancient frontier
DOB,worcestershire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Dobunnic campaign frame; installed province geometry is not an exact ancient frontier
CNV,cheshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Midland Cornovian campaign frame around Deva; the later Roman town is not backdated
CRV,cumberland_province,own_control_core,P8.7;PTO-GEO-II2,contested,Carvetian campaign frame; the people-name is epigraphic and the geography is a later proxy
BRI,durham_province,own_control_core,P8.7;PTO-GEO-II2,contested,Brigantian campaign frame; installed province geometry is not an exact ancient frontier
PBI,east_riding_province,own_control_core,P8.7;PTO-GEO-II2,contested,British Parisian campaign frame around Petuaria
BRI,lancashire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Brigantian campaign frame; installed province geometry is not an exact ancient frontier
BRI,north_riding_province,own_control_core,P8.7;PTO-GEO-II2,contested,Brigantian campaign frame around Isurium and Eboracum
VOT,northumberland_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Votadinian campaign frame south of the Forth; Roman fort evidence is not treated as a native capital list
BRI,west_riding_province,own_control_core,P8.7;PTO-GEO-II2,contested,Brigantian campaign frame; installed province geometry is not an exact ancient frontier
CRV,westmorland_province,own_control_core,P8.7;PTO-GEO-II2,contested,Carvetian campaign frame; the people-name is epigraphic and the geography is a later proxy
TAE,aberdeenshire_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Taexalian campaign frame; northern geometry and town evidence are disputed
VCN,angus_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Veniconian campaign frame; northern geometry and town evidence are disputed
VCN,fife_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Veniconian campaign frame around the Orrea proxy
NOV,galloway_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Novantaean campaign frame around the southwestern peninsula
VOT,lothian_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Votadinian campaign frame around the Forth
CAL,perthshire_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Caledonian forest-core proxy; Ptolemy does not establish an AD 1 unitary state
DAM,strathclyde_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Damnonian campaign frame around the Clyde
SEL,teviotdale_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Selgovaean campaign frame; Roman fort evidence is not treated as a native capital list
SIL,brecon_province,own_control_core,P8.7;PTO-GEO-II2,contested,Silurian campaign frame; installed province geometry is not an exact ancient frontier
DEM,deheubarth_province,own_control_core,P8.7;PTO-GEO-II2,contested,Demetian campaign frame around Maridunum
SIL,glamorgan_province,own_control_core,P8.7;PTO-GEO-II2,contested,Silurian campaign frame; installed province geometry is not an exact ancient frontier
ORD,powys_province,own_control_core,P8.7;PTO-GEO-II2,contested,Ordovician campaign frame; installed province geometry is not an exact ancient frontier
DUM,cornwall_province,own_control_core,P8.7;PTO-GEO-II2,contested,Dumnonian campaign frame around the Ocrium and Tamar approaches
DUM,devon_province,own_control_core,P8.7;PTO-GEO-II2,contested,Dumnonian campaign frame around Isca
DUR,dorset_province,own_control_core,P8.7;PTO-GEO-II2,contested,Durotrigian campaign frame around Dunium
DOB,gloucestershire_province,own_control_core,P8.7;PTO-GEO-II2,contested,Dobunnic campaign frame around Corinium
BLG,wiltshire_province,own_control_core,P8.7;PTO-GEO-II2,contested,British Belgic campaign frame toward Venta Belgarum
EPD,inner_hebrides_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Epidian island-and-peninsula proxy; not a claim of uniform island rule
EPD,argyll_province,own_control_core,P8.7;PTO-GEO-II2;MANN-BRI,contested,Epidian campaign frame around the Epidium promontory
VNI,donegal_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Vennicnian relative-order proxy; no modern county boundary is asserted
RHB,derry_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Rhobogdian relative-order proxy; no modern county boundary is asserted
DAR,antrim_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Darinian relative-order proxy; no modern county boundary is asserted
ERD,tyrone_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Erdinian relative-order proxy; no modern county boundary is asserted
ERD,breifne_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Erdinian interior proxy; no modern county boundary is asserted
ULA,down_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Voluntian relative-order proxy; it is not equated with the whole later Ulaid
ULA,oriel_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Voluntian relative-order proxy; it is not equated with the whole later Ulaid
NAG,mayo_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Nagnatan relative-order proxy around Magnata; no modern county boundary is asserted
AUT,galway_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Autinian relative-order proxy; no modern county boundary is asserted
GAN,clare_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Ganganian relative-order proxy; no modern county boundary is asserted
VEL,desmond_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Velabrian relative-order proxy; no modern county boundary is asserted
IVN,cork_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Ivernian relative-order proxy around Iernis; no modern county boundary is asserted
USD,limerick_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Usdiaean relative-order proxy; no modern county boundary is asserted
USD,tipperary_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Usdiaean interior proxy; no modern county boundary is asserted
IBG,waterford_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Irish Brigantian relative-order proxy; no connection to a unitary British state is inferred
CND,kilkenny,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Coriondian relative-order proxy on the installed two-location province
MNP,wexford_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Manapian relative-order proxy toward Manapia
CCI,dublin_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Caucian relative-order proxy; Eblana is not placed in the Caucian frame
EBL,kildare_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Eblanian relative-order proxy; no modern county boundary is asserted
EBL,meath_province,own_control_core,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Eblanian relative-order proxy; no modern county boundary is asserted
FRI,friesland_area,own_control_core,P8.7;CAH-XI,contested,Frisian coastal frame
BTV,holland_area,own_control_core,P8.7;CAH-XI,contested,Batavian lower Rhine frame
CHT,hesse_area,own_control_core,P8.7;CAH-XI,contested,Chattian Hessian frame
HER,upper_saxony_area,own_control_core,P8.7;CAH-XI,contested,Hermundurian Thuringian and upper Elbe frame
MCM,bohemia_area,own_control_core,P8.7;CAH-XI,secure,Marcomannic Bohemian kingdom frame
THR,thrace_area,own_control_core,P8.1;CAH-XI,contested,Odrysian Thracian client frame
FIN,finland_area,own_control_core,P8.7;CAH-XI,contested,Finnic coastal and inland SoP frame
VEN,central_poland_area,own_control_core,P8.7;CAH-XI,contested,Venedi western-Slavic SoP frame
IAZ,north_alfold_area,own_control_core,P8.7;CAH-XI,contested,Iazyges Tisza-plain frame
IAZ,south_alfold_area,own_control_core,P8.7;CAH-XI,contested,Iazyges Tisza-plain frame
DAC,transylvania_area,own_control_core,P8.7;CAH-XI,contested,Dacian mountain-kingdom frame
BAS,moldavia_area,own_control_core,P8.7;CAH-XI,contested,Bastarnian Carpathian foreland frame
GET,wallachia_area,own_control_core,P8.7;CAH-XI,contested,Getic lower-Danube frame
QUA,slovakia_area,own_control_core,P8.7;CAH-XI,contested,Quadian middle-Danube frame
ARM,armenia_area,own_control_core,P8.2;CAH-XI,contested,Armenian contested kingdom frame
ARM,armenian_highlands_area,own_control_core,P8.2;CAH-XI,contested,Armenian highland frame
ALC,shirvan_area,own_control_core,P8.2;CAH-XI,contested,Caucasian Albanian Caspian frame
ALA,northern_caucasus_area,own_control_core,P8.7;CAH-XI,contested,Alanian north-Caucasus frame
AOR,lower_don_area,own_control_core,P8.7;CAH-XI,contested,Aorsi Lower Don frame
AOR,astrakhan_area,own_control_core,P8.7;CAH-XI,contested,Aorsi lower Volga frame
ROX,yedisan_area,own_control_core,P8.7;CAH-XI,contested,Roxolanian Pontic steppe frame
ROX,zaporizhzhia_area,own_control_core,P8.7;CAH-XI,contested,Roxolanian Pontic steppe frame
BOS,crimea_area,own_control_core,P8.1;CAH-XI,contested,Bosporan Crimean frame
CAP,amasya_province,own_control_core,P8.1;CAH-XI,contested,Cappadocian Roman-client northern frame
CAP,divrigi_province,own_control_core,P8.1;CAH-XI,contested,Cappadocian Roman-client eastern frame
CAP,kayseri_province,own_control_core,P8.1;CAH-XI,contested,Cappadocian Roman-client core
CAP,kirsehir_province,own_control_core,P8.1;CAH-XI,contested,Cappadocian Roman-client western frame
CAP,nigde_province,own_control_core,P8.1;CAH-XI,contested,Cappadocian Roman-client southern frame
CAP,sivas_province,own_control_core,P8.1;CAH-XI,contested,Cappadocian Roman-client eastern frame
CAP,tokat_province,own_control_core,P8.1;CAH-XI,contested,Cappadocian Roman-client northern frame
COM,cilicia_area,own_control_core,P8.1;CAH-XI,contested,Commagene and minor Cilician client frame
ATR,azerbaijan_area,own_control_core,P8.2;CAH-XI,contested,Media Atropatene frame
PRS,fars_area,own_control_core,P8.2;CAH-XI,contested,Persis and future Sasanian cradle frame
SKT,sistan_area,own_control_core,P8.2;CAH-XI,contested,Sakastan eastern Iranian frame
KHW,khwarazm_area,own_control_core,P8.8;CHG,contested,Khwarazm oasis frame
WSN,zhetysu_area,own_control_core,P8.8;CHG,contested,Wusun Ili and Zhetysu frame
DAY,akhsikath_province,own_control_core,HAN-WR;P8.8,contested,Dayuan Ferghana urban and irrigated valley frame
DAY,andijan_province,own_control_core,HAN-WR;P8.8,contested,Dayuan Ferghana urban and irrigated valley frame
DAY,farghana_province,own_control_core,HAN-WR;P8.8,contested,Dayuan Ferghana urban and irrigated valley frame
DAY,khujand_province,own_control_core,HAN-WR;P8.8,contested,Dayuan Ferghana urban and irrigated valley frame
SOG,amol_province,own_control_core,IRAN-SOG-KANGJU;P8.8,contested,Sogdian city and lower-Zeravshan compact under wider Kangju hegemony
SOG,bukhara_province,own_control_core,IRAN-SOG-KANGJU;P8.8,contested,Sogdian city and lower-Zeravshan compact under wider Kangju hegemony
SOG,jizzakh_province,own_control_core,IRAN-SOG-KANGJU;P8.8,contested,Sogdian city compact under wider Kangju hegemony
SOG,kelif_province,own_control_core,IRAN-SOG-KANGJU;P8.8,contested,Southern Sogdian and Oxus-city compact without a unitary Sogdian state
SOG,nurota_province,own_control_core,IRAN-SOG-KANGJU;P8.8,contested,Sogdian city and Zeravshan compact under wider Kangju hegemony
SOG,samarkand_province,own_control_core,IRAN-SOG-KANGJU;P8.8,contested,Samarkand and Panjikent Sogdian city compact
KNG,chach_province,own_control_core,HAN-WR;IRAN-SOG-KANGJU;P8.8,contested,Kangju Tashkent-oasis and middle-Syr confederational core
KNG,isbijab_province,own_control_core,HAN-WR;IRAN-SOG-KANGJU;P8.8,contested,Kangju middle-Syr confederational core
