location,good,source,confidence,note
thiladhunmathi_atoll,fish,CAM-MALDIVES;P12.1,contested,Northern Maldivian atoll subsistence is represented through marine fishing rather than inherited lumber
kayal,pearls,PER;P8.4;P12.1,contested,Gulf of Mannar coastal exchange is represented through a bounded pearl-fishery proxy
thoothukudi,pearls,PER;P8.4;P12.1,contested,Gulf of Mannar coastal exchange is represented through a bounded pearl-fishery proxy
julau,lumber,P12.1;PER;ANU-NIAH-METAL,contested,Conservative interior Rajang forest-product proxy replacing an anachronistic clove-source assignment; no location-specific extraction claim.
sarikei,fish,P12.1;PER;ANU-NIAH-METAL,contested,Conservative lower Rajang river-coast subsistence proxy replacing an anachronistic clove-source assignment; no centralized port claim.
tanjung_palas,beeswax,P12.1;PER;QSR-LIANG-JON,contested,Conservative northeast Borneo forest-product proxy replacing an anachronistic clove-source assignment outside the source islands.
pontianak,fish,P12.1;PER;ANTH-KAL-IRON,contested,Conservative Kapuas delta subsistence proxy replacing unsupported location-specific sugar production at the campaign start.
santubong,fish,P12.1;PER;ANU-NIAH-METAL,contested,Conservative Sarawak delta subsistence proxy replacing unsupported location-specific mercury extraction and not backdating the later Santubong industry.
taghit,antq_dates,P12.1;P12.3;P14;PER,secure,Reviewed Garamantian oasis proxy for date-palm food production without claiming an excavated plantation boundary.
siwa,antq_dates,P12.1;P12.3;P14;PER,secure,Reviewed Egyptian oasis proxy for date-palm food production without claiming an excavated plantation boundary.
timimoun,antq_dates,P12.1;P12.3;P14;PER,contested,Reviewed Saharan oasis proxy for date-palm food production without claiming an excavated plantation boundary.
anah,antq_dates,P12.1;P12.3;P14;PER,secure,Reviewed Euphrates oasis and river-valley proxy for date-palm food production.
al_ahsa,antq_dates,P12.1;P12.3;P14;PER,secure,Reviewed eastern-Arabian oasis proxy for date-palm food production.
al_ula,antq_dates,P12.1;P12.3;P14;PER,contested,Reviewed north-Arabian oasis proxy for date-palm food production.
sayun,antq_dates,P12.1;P12.3;P14;PER,contested,Reviewed Hadramawt oasis proxy for date-palm food production.
basra,antq_dates,P12.1;P12.3;P14;PER,secure,Reviewed lower-Mesopotamian wetland and river-margin proxy for date-palm food production.
baghdad,antq_sesame,P12.1;P12.3;P14;PER,contested,Reviewed Mesopotamian market-hinterland proxy for sesame cultivation without claiming one cultivar.
damascus,antq_sesame,P12.1;P12.3;P14;PER,contested,Reviewed Levantine market-hinterland proxy for sesame cultivation without claiming one cultivar.
aleppo,antq_sesame,P12.1;P12.3;P14;PER,contested,Reviewed north-Syrian market-hinterland proxy for sesame cultivation without claiming one cultivar.
madurai,antq_sesame,P12.1;P12.3;P14;PER,secure,Reviewed Tamilakam market-hinterland proxy for sesame cultivation without claiming one cultivar.
thanjavur,antq_sesame,P12.1;P12.3;P14;PER,contested,Reviewed Kaveri market-hinterland proxy for sesame cultivation without claiming one cultivar.
srirangam,antq_sesame,P12.1;P12.3;P14;PER,contested,Reviewed Kaveri market-hinterland proxy for sesame cultivation without claiming one cultivar.
ashmunayn,antq_sesame,P12.1;P12.3;P14;PER,contested,Reviewed Nile market-hinterland proxy for sesame cultivation without claiming one cultivar.
ukbara,antq_sesame,P12.1;P12.3;P14;PER,contested,Reviewed Tigris market-hinterland proxy for sesame cultivation without claiming one cultivar.
shiraz,antq_tree_nuts,P12.1;P12.3;P14;PER,secure,Reviewed Iranian orchard-market proxy for almonds pistachios and related tree nuts.
baalbek,antq_tree_nuts,P12.1;P12.3;P14;PER,contested,Reviewed Levantine orchard-market proxy for almonds pistachios and related tree nuts.
ayasuluk,antq_tree_nuts,P12.1;P12.3;P14;PER,contested,Reviewed western-Anatolian orchard-market proxy for almonds and related tree nuts.
tarsus,antq_tree_nuts,P12.1;P12.3;P14;PER,contested,Reviewed Cilician orchard-market proxy for almonds pistachios and related tree nuts.
baramulla,antq_tree_nuts,P12.1;P12.3;P14;PER,contested,Reviewed northwestern South-Asian orchard-market proxy for almonds walnuts and related tree nuts.
astarabad,antq_tree_nuts,P12.1;P12.3;P14;PER,contested,Reviewed Caspian orchard-market proxy for walnuts and related tree nuts.
savur,antq_tree_nuts,P12.1;P12.3;P14;PER,contested,Reviewed upper-Mesopotamian orchard-market proxy for pistachios and related tree nuts.
trapessac,antq_tree_nuts,P12.1;P12.3;P14;PER,contested,Reviewed Levantine orchard-market proxy for almonds pistachios and related tree nuts.
angadippuram,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed Malabar tropical-littoral proxy for coconut food production without backdating plantation systems.
sitavaka,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed Lankan tropical-littoral proxy for coconut food production without backdating plantation systems.
bawean,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed island Southeast-Asian proxy for coconut food production without backdating plantation systems.
tutuala,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed Timorese tropical-littoral proxy for coconut food production without backdating plantation systems.
savaii,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed Oceanian island proxy for coconut food production without backdating later export systems.
vauvau,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed Oceanian island proxy for coconut food production without backdating later export systems.
zanzibar,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed western-Indian-Ocean littoral proxy for coconut food production without backdating later export systems.
tungkal,antq_coconuts,P12.1;P12.3;P14;PER,contested,Reviewed Sumatran tropical-littoral proxy for coconut food production without backdating plantation systems.
nola,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Campanian orchard proxy for Roman-period walnuts almonds hazelnuts and pine nuts without claiming a location-specific monoculture.
narni,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Central Italian woodland-orchard proxy for Roman-period walnuts hazelnuts and related nuts.
avellino,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Campanian upland orchard proxy for walnuts hazelnuts and related Roman-period nuts.
sinop,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Pontic woodland and exchange proxy for walnuts hazelnuts and related tree nuts.
amasra,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Pontic coast woodland-orchard proxy for hazelnuts walnuts and related tree nuts.
tarragona,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Northeastern Iberian Mediterranean orchard-market proxy for almonds and related tree nuts.
marseille,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Massaliote Mediterranean orchard-market proxy for almonds walnuts and pine nuts.
nimes,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Narbonensian Mediterranean orchard proxy for almonds walnuts and related tree nuts.
jerusalem,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Judean highland orchard-market proxy for almonds walnuts and related tree nuts.
beirut,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Levantine coast orchard-market proxy for almonds walnuts pine nuts and related produce.
dara,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Northern Mesopotamian orchard proxy for almonds pistachio relatives and walnuts.
kermanshah,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Zagros orchard and gathered-nut proxy for almonds walnuts and pistachio relatives.
rudbar,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Western Caspian upland orchard proxy for walnuts hazelnuts and related nuts.
quchan,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Northeastern Iranian foothill proxy for walnuts almonds and pistachio relatives.
gilan_gharb,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Zagros woodland proxy for gathered pistachio relatives almonds and walnuts.
masyaf,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Western Syrian upland orchard proxy for almonds walnuts and pistachio relatives.
artashavan,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Armenian highland orchard proxy for walnuts almonds and related nuts.
mtskheta,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Iberian Caucasus woodland-orchard proxy for walnuts hazelnuts and related nuts.
tsalenjikha,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Colchian woodland-orchard proxy for hazelnuts walnuts and related nuts.
samarkand,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Zerafshan orchard-market proxy for walnuts almonds and pistachios without backdating medieval bazaar scale.
arslanbob,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Fergana foothill woodland proxy for gathered walnuts and related nuts without projecting later commercial orchards.
badam,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Syr Darya foothill proxy for gathered almonds walnuts and pistachio relatives.
hissar,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Hisor foothill orchard and gathered-nut proxy for walnuts almonds and pistachio relatives.
almaliq,antq_tree_nuts,P12.1;PER;PLOS-SILK-NUTS,contested,Ili foothill proxy for walnuts and related gathered nuts without projecting later orchard intensity.
cheltenham,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,British woodland-gathering proxy for hazelnuts without claiming Roman-period orchard specialization.
monmouth,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Western British woodland-gathering proxy for hazelnuts without claiming a centralized trade plantation.
oxford,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Thames woodland-gathering proxy for hazelnuts and later imported orchard nuts.
taunton,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Southwestern British woodland-gathering proxy for hazelnuts without claiming orchard monoculture.
ahrweiler,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Rhenish woodland-gathering proxy for hazelnuts and walnuts without projecting a Roman estate.
backnang,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Neckar woodland-gathering proxy for hazelnuts walnuts and related nuts.
baden,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Upper Rhine woodland-orchard proxy for hazelnuts walnuts and related nuts.
brno,antq_tree_nuts,P12.1;PER;CAM-MED-NUTS,contested,Moravian woodland-gathering proxy for hazelnuts and walnuts without claiming a specialized orchard economy.
benevento,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,South-central Italian dryland cereal proxy preserving barley beside the wider wheat economy.
milano,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Po plain mixed-cereal proxy for hulled barley without claiming local dominance.
rimini,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Adriatic Italian mixed-cereal proxy for hulled barley without replacing regional wheat production.
taranto,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,South Italian dryland cereal proxy for barley in a mixed ancient crop regime.
girona,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Northeastern Iberian mixed-cereal proxy for archaeobotanically widespread hulled barley.
almudevar,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Ebro dryland cereal proxy for hulled barley without claiming a monoculture.
fakenham,antq_barley,P12.1;PER;ABD-ROM-BARLEY,contested,Eastern British mixed-cereal proxy for barley suited to the installed farmland climate.
bury,antq_barley,P12.1;PER;ABD-ROM-BARLEY,contested,Eastern British mixed-cereal proxy for barley without projecting later field systems.
edinburgh,antq_barley,P12.1;PER;ABD-ROM-BARLEY,contested,Eastern Scottish mixed-cereal proxy for barley without projecting a Roman military supply system.
elgin,antq_barley,P12.1;PER;ABD-ROM-BARLEY,contested,Moray mixed-cereal proxy for barley suited to the cool maritime climate.
stonehaven,antq_barley,P12.1;PER;ABD-ROM-BARLEY,contested,Northeastern British mixed-cereal proxy for barley without asserting specialized trade.
dunbar,antq_barley,P12.1;PER;ABD-ROM-BARLEY,contested,Southeastern Scottish mixed-cereal proxy for barley without projecting later estate agriculture.
aarhus,antq_barley,P12.1;PER;OXF-BRONZE-CROPS,contested,Jutland mixed-cereal proxy for the long-established northern barley regime.
alvastra,antq_barley,P12.1;PER;OXF-BRONZE-CROPS,contested,South Scandinavian mixed-cereal proxy for barley without claiming one field system.
achim,antq_barley,P12.1;PER;OXF-BRONZE-CROPS,contested,North German plain mixed-cereal proxy for barley without claiming local dominance.
berlin,antq_barley,P12.1;PER;OXF-BRONZE-CROPS,contested,Elbe-Oder mixed-cereal proxy for barley without projecting a later settlement economy.
bochum,antq_barley,P12.1;PER;OXF-BRONZE-CROPS,contested,West German mixed-cereal proxy for barley without projecting later urban land use.
bonn,antq_barley,P12.1;PER;OXF-BRONZE-CROPS,contested,Rhine mixed-cereal proxy for barley without asserting a specialized market crop.
al_baharah,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,North Arabian dryland cereal proxy for barley without claiming continuous cultivation in the whole polygon.
divandarreh,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Zagros plateau mixed-cereal proxy for barley in a cold dryland regime.
kamyaran,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Zagros mixed-cereal proxy for barley without displacing the wider wheat economy.
malekan,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Northwestern Iranian plateau mixed-cereal proxy for barley.
almaty,antq_barley,P12.1;PER;PLOS-SILK-NUTS,contested,Ili foothill mixed-cereal proxy for barley without backdating later intensive irrigation.
ilanbalyk,antq_barley,P12.1;PER;PLOS-SILK-NUTS,contested,Ili valley mixed-cereal proxy for barley without projecting a medieval town economy.
kasan,antq_barley,P12.1;PER;PLOS-SILK-NUTS,contested,Fergana mixed-cereal proxy for barley without claiming one cultivar or irrigation system.
gulja,antq_barley,P12.1;PER;PLOS-SILK-NUTS,contested,Upper Ili mixed-cereal proxy for barley in a cold dryland valley.
minya,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Middle Nile mixed-cereal proxy preserving barley beside wheat.
cairo,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Lower Nile mixed-cereal proxy preserving barley beside wheat and without projecting the later city.
agadir,antq_barley,P12.1;PER;PMC-MED-BARLEY,contested,Atlantic Maghreb mixed-cereal proxy for barley in an arid coastal regime.
kharga,antq_dates,P12.1;PER;SCIADV-DATE,contested,Western Desert oasis proxy for ancient date-palm cultivation without asserting one estate boundary.
bahariyya,antq_dates,P12.1;PER;SCIADV-DATE,contested,Western Desert oasis proxy for ancient date-palm cultivation.
awjila,antq_dates,P12.1;PER;SCIADV-DATE,contested,Cyrenaican interior oasis proxy for date palms without backdating a later caravan town.
ghadames,antq_dates,P12.1;PER;SCIADV-DATE,contested,Saharan oasis proxy for date palms without claiming a fixed Garamantian plantation boundary.
tozeur,antq_dates,P12.1;PER;SCIADV-DATE,contested,Chott oasis proxy for date palms without projecting later export scale.
biskra,antq_dates,P12.1;PER;SCIADV-DATE,contested,Atlas-Sahara margin oasis proxy for date palms.
ouargla,antq_dates,P12.1;PER;SCIADV-DATE,contested,Central Saharan oasis proxy for date palms without projecting the later town.
udakh,antq_dates,P12.1;PER;NHM-DATE,contested,North Arabian oasis proxy for date-palm food production.
mecca,antq_dates,P12.1;PER;NHM-DATE,contested,Western Arabian valley-oasis proxy for dates without projecting later pilgrimage agriculture.
hajar,antq_dates,P12.1;PER;NHM-DATE,contested,Hadramawt oasis and wadi proxy for date-palm food production.
maskanah,antq_dates,P12.1;PER;NHM-DATE,contested,Middle Euphrates dryland-river proxy for date-palm cultivation.
aqaba,antq_dates,P12.1;PER;NHM-DATE,contested,Arabah-Red Sea oasis proxy for dates without claiming the whole coastal polygon was planted.
patna,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Middle Ganges oilseed proxy for long-established South Asian sesame cultivation.
varanasi,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Middle Ganges oilseed proxy for sesame within a mixed crop regime.
prayag,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Ganges-Yamuna oilseed proxy for sesame without claiming local monoculture.
kanchipuram,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Tamil plain oilseed proxy for sesame within a rice-dominant regional economy.
ujjain,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Malwa oilseed and market proxy for sesame.
mathura,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Yamuna oilseed and market proxy for sesame.
masulipatnam,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Lower Krishna-Godavari oilseed proxy for sesame without projecting the later port.
visakhapatnam,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Eastern Deccan coast oilseed proxy for sesame without projecting the later city.
srigangapatna,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Southern Deccan oilseed proxy for sesame without projecting the later urban center.
patna_garjat,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Eastern Indian mixed-crop oilseed proxy for sesame.
hama,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Orontes mixed-crop oilseed proxy for sesame without claiming local dominance.
idlib,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Northern Syrian mixed-crop oilseed proxy for sesame.
mosul,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Upper Mesopotamian mixed-crop oilseed proxy for sesame without projecting the later city.
thebes,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Boeotian oilseed and exchange proxy informed by sesame's Classical-period westward circulation.
faiyum,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Faiyum mixed-crop oilseed proxy for sesame in Hellenistic and Roman Egypt.
qena,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Upper Egyptian mixed-crop oilseed proxy for sesame.
giza,antq_sesame,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Lower Egyptian mixed-crop oilseed proxy for sesame without projecting the later city economy.
