key,location,profile,source,confidence,note
olisipo,lisbon,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Olisipo market anchor
caesaraugusta,zaragoza,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Caesaraugusta market anchor
narbo,narbonne,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Narbo Martius market anchor
nemausus,nimes,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Nemausus market anchor
burdigala,bordeaux,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Burdigala market anchor
arelate,arles,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Arelate market anchor
mediolanum,milano,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Mediolanum market anchor
bononia,bologna,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Bononia market anchor
mutina,modena,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Mutina market anchor
ravenna,ravenna,city,P8.1;MIC-CLASSE,contested,City profile is a bounded engine adapter for the reviewed Ravenna market anchor
tarentum,taranto,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Tarentum market anchor
brundisium,brindisi,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Brundisium market anchor
hippo_regius,annaba,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Hippo Regius market anchor
hippo_diarrhytus,bizerte,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Hippo Diarrhytus market anchor
caesarea_mauretaniae,cherchell,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Caesarea Mauretaniae market anchor
tacape,gabes,town,PLE;P8.1,contested,Town profile is a bounded engine adapter for the reviewed Tacape market anchor
hadrumetum,sousse,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Hadrumetum market anchor
berytus,beirut,city,PLE;P8.1,contested,City profile is a bounded engine adapter for the reviewed Berytus market anchor
hierosolyma,jerusalem,city,PLE;P11,contested,City profile is a bounded engine adapter for the reviewed Hierosolyma market anchor
damascus,damascus,city,PLE;P8.2,contested,City profile is a bounded engine adapter for the reviewed Damascus market anchor
beroea,aleppo,town,PLE;P8.2,contested,Town profile is a bounded engine adapter for the reviewed Beroea market anchor
edessa,urfa,city,PLE;P8.2,contested,City profile is a bounded engine adapter for the reviewed Edessa market anchor
susa,shush,city,PLE;P8.2,contested,City profile is a bounded engine adapter for the reviewed Susa market anchor
ecbatana,hamadan,city,PLE;P8.2,contested,City profile is a bounded engine adapter for the reviewed Ecbatana market anchor
arbela,erbil,town,PLE;P8.2,contested,Town profile is a bounded engine adapter for the reviewed Arbela market anchor
rhagae,rey,town,PLE;P8.2,contested,Town profile is a bounded engine adapter for the reviewed Rhagae market anchor
tabriz,tabriz,town,PLE;P8.2,contested,Town profile is a bounded engine adapter for the reviewed Tabriz market anchor
