key,name,branch,scope,profiles,produced,output,gate,max_levels,source,confidence,note,icon_sheet,icon_cell
antq_trib_med_terraces,Dry-Stone Cultivation Terraces,subsistence,regional,antq_italic_group|antq_hellenic_group|antq_iberian_group|antq_balkan_group|antq_anatolian_group|antq_semitic_group|antq_caucasian_group,fruit,0.18,upland,2,P8.1;P12.1,contested,"Terraces conserve scarce soil for vines, grain, and household orchards.",tribal_sheet_13.png,top_left
antq_trib_med_hill_cistern,Rock-Cut Hill Cistern,exchange,regional,antq_italic_group|antq_hellenic_group|antq_iberian_group|antq_balkan_group|antq_anatolian_group|antq_semitic_group|antq_caucasian_group,,0,dry_pasture,2,P8.1;P12.1,contested,Cut stone and runoff channels secure hill-community water.,tribal_sheet_13.png,top_right
antq_trib_med_lineage_press,Lineage Press Shelter,craft,regional,antq_italic_group|antq_hellenic_group|antq_iberian_group|antq_balkan_group|antq_anatolian_group|antq_semitic_group|antq_caucasian_group,wine,0.16,dry_pasture,2,P8.1;P12.1,contested,A household beam press processes olives and grapes below urban scale.,tribal_sheet_13.png,bottom_left
antq_trib_med_hillfort_gate,Dry-Stone Hillfort Gate,warrior,regional,antq_italic_group|antq_hellenic_group|antq_iberian_group|antq_balkan_group|antq_anatolian_group|antq_semitic_group|antq_caucasian_group,,0,upland,2,P8.1;P13,contested,A timber gate closes a regional dry-stone refuge.,tribal_sheet_13.png,bottom_right
antq_trib_north_bog_iron,Bog-Iron Hearth,craft,regional,antq_celtic_group|antq_germanic_group|antq_baltic_group|antq_slavic_group|antq_uralic_group,iron,0.10,wet_or_forest,2,P8.7;P12.1,contested,Small furnaces turn gathered bog ore into rough blooms.,tribal_sheet_14.png,top_left
antq_trib_north_amber_shelter,Amber Exchange Shelter,exchange,regional,antq_celtic_group|antq_germanic_group|antq_baltic_group|antq_slavic_group|antq_uralic_group,,0,coast,2,P8.7;P12.1,contested,Sorted amber and trusted weights sustain northern coastal exchange.,tribal_sheet_14.png,top_right
antq_trib_north_causeway,Timber Bog Causeway,exchange,regional,antq_celtic_group|antq_germanic_group|antq_baltic_group|antq_slavic_group|antq_uralic_group,,0,wet_or_forest,2,P8.7;P12.1,contested,Split-log trackways connect settlements across saturated ground.,tribal_sheet_14.png,bottom_left
antq_trib_north_warband_hall,Northern Warband Hall,warrior,regional,antq_celtic_group|antq_germanic_group|antq_baltic_group|antq_slavic_group|antq_uralic_group,,0,cold_forest,2,P8.7;P13,contested,A low log hall stores arms and hosts a chieftain's retainers.,tribal_sheet_14.png,bottom_right
antq_trib_steppe_felt_camp,Felt-Tent Encampment,exchange,regional,antq_iranian_group|antq_steppe_group,,0,pasture,2,P8.2;P8.8,contested,Portable felt dwellings keep a mobile community supplied.,tribal_sheet_15.png,top_left
antq_trib_steppe_mare_camp,Mare-Herd Camp,pastoral,regional,antq_iranian_group|antq_steppe_group,livestock,0.18,pasture,2,P8.2;P8.8,contested,Tethering and leather vessels support horse-herd dairy production.,tribal_sheet_15.png,top_right
antq_trib_steppe_kurgan_moot,Kurgan Assembly Precinct,ritual,regional,antq_iranian_group|antq_steppe_group,,0,pasture,2,P8.2;P8.8;P11,contested,An ancestral mound anchors assemblies and offerings.,tribal_sheet_15.png,bottom_left
antq_trib_steppe_bowyer,Composite-Bow Shelter,warrior,regional,antq_iranian_group|antq_steppe_group,weaponry,0.10,dry_pasture,2,P8.2;P8.8;P13,contested,"Horn, sinew, wood, and glue become compact recurved bows.",tribal_sheet_15.png,bottom_right
antq_trib_nile_wadi_cistern,Wadi Runoff Cistern,exchange,regional,antq_nile_group|antq_berber_group,,0,arid,2,P8.5;P12.1,contested,Diversion walls capture episodic runoff for people and herds.,tribal_sheet_16.png,top_left
antq_trib_nile_reed_fishery,Reed-Channel Fishery,subsistence,regional,antq_nile_group|antq_berber_group,fish,0.18,river,2,P8.5;P12.1,contested,Papyrus screens and traps organize shallow-water fishing.,tribal_sheet_16.png,top_right
antq_trib_nile_caravan_well,Desert Caravan Well,exchange,regional,antq_nile_group|antq_berber_group,,0,arid,2,P8.5;P12.1,contested,A maintained well and trough sustain bounded desert movement.,tribal_sheet_16.png,bottom_left
antq_trib_nile_route_watch,Rocky-Route Watch,warrior,regional,antq_nile_group|antq_berber_group,,0,arid,2,P8.5;P13,contested,A low enclosure and signal fire guard a difficult approach.,tribal_sheet_16.png,bottom_right
antq_trib_ssa_yam_fields,Yam Mound Fields,subsistence,regional,antq_subsaharan_group,fruit,0.18,wet_or_forest,2,P8.5;P12.1,contested,Mounded cultivation supports intensive household root crops.,tribal_sheet_17.png,top_left
antq_trib_ssa_smelting_court,Iron-Smelting Court,craft,regional,antq_subsaharan_group,iron,0.11,any,2,P8.5;P12.1,contested,Multiple clay furnaces organize skilled bloomery production.,tribal_sheet_17.png,top_right
antq_trib_ssa_cattle_kraal,Long-Horn Cattle Kraal,pastoral,regional,antq_subsaharan_group,livestock,0.19,pasture,2,P8.5;P12.1,contested,A thorn-and-wattle kraal protects cattle and concentrates manure.,tribal_sheet_17.png,bottom_left
antq_trib_ssa_lineage_compound,Lineage Courtyard Compound,ritual,regional,antq_subsaharan_group,,0,any,2,P8.5;P11,contested,"Related households share storage, ritual duties, and a central court.",tribal_sheet_17.png,bottom_right
antq_trib_indic_millet_terraces,Contour Millet Terraces,subsistence,regional,antq_indian_group|antq_tibetan_group,millet,0.20,upland,2,P8.4;P12.1,contested,Contour bunds stabilize humid and highland grain plots.,tribal_sheet_18.png,top_left
antq_trib_indic_monsoon_tank,Community Monsoon Tank,exchange,regional,antq_indian_group|antq_tibetan_group,,0,river,2,P8.4;P12.1,contested,An earthen tank stores seasonal rainfall outside state irrigation.,tribal_sheet_18.png,top_right
antq_trib_indic_cotton_veranda,Household Cotton Veranda,craft,regional,antq_indian_group|antq_tibetan_group,cloth,0.16,warm,2,P8.4;P12.1,contested,A shaded household loom turns local cotton into coarse cloth.,tribal_sheet_18.png,bottom_left
antq_trib_indic_clan_stockade,Clan Stockade,warrior,regional,antq_indian_group|antq_tibetan_group,,0,upland,2,P8.4;P13,contested,Timber and earth protect a hill or forest community.,tribal_sheet_18.png,bottom_right
antq_trib_east_millet_terraces,Dryland Millet Terraces,subsistence,regional,antq_sinitic_group|antq_korean_group|antq_japonic_group,millet,0.20,upland,2,P8.3;P12.1,contested,Earthen bunds stabilize dryland millet on frontier slopes.,tribal_sheet_19.png,top_left
antq_trib_east_raised_granary,Rammed-Earth Raised Granary,exchange,regional,antq_sinitic_group|antq_korean_group|antq_japonic_group,,0,any,2,P8.3;P12.1,contested,A raised store combines rammed earth with a timber superstructure.,tribal_sheet_19.png,top_right
antq_trib_east_lacquer_bamboo,Lacquer and Bamboo Workshop,craft,regional,antq_sinitic_group|antq_korean_group|antq_japonic_group,furniture,0.12,forest,2,P8.3;P12.1,contested,Household specialists finish bamboo and wooden vessels.,tribal_sheet_19.png,bottom_left
antq_trib_east_beacon,Frontier Beacon Platform,warrior,regional,antq_sinitic_group|antq_korean_group|antq_japonic_group,,0,flatland,2,P8.3;P13,contested,A rammed-earth platform relays smoke and fire warnings.,tribal_sheet_19.png,bottom_right
antq_trib_ocean_stilt_granary,Island Stilt Granary,exchange,regional,antq_austronesian_group|antq_oceanic_group|antq_southeast_asian_group|antq_north_maluku_group,,0,coast,2,P8.9;P12.1,contested,A lashed high-floor granary protects food from damp and pests.,tribal_sheet_20.png,top_left
antq_trib_ocean_outrigger_yard,Outrigger-Canoe Yard,craft,regional,antq_austronesian_group|antq_oceanic_group|antq_southeast_asian_group|antq_north_maluku_group,naval_supplies,0.12,coast,2,P8.9;P12.1,contested,Lashed booms and carved hulls support regional island voyaging.,tribal_sheet_20.png,top_right
antq_trib_ocean_sago_grove,Managed Sago Grove,subsistence,regional,antq_austronesian_group|antq_oceanic_group|antq_southeast_asian_group|antq_north_maluku_group,fruit,0.18,wet_or_forest,2,P8.9;P12.1,contested,Managed palms provide storable starch in wet tropical settings.,tribal_sheet_20.png,bottom_left
antq_trib_ocean_shell_exchange,Shell-Valuables Shelter,exchange,regional,antq_austronesian_group|antq_oceanic_group|antq_southeast_asian_group|antq_north_maluku_group,,0,coast,2,P8.9;P12.1,contested,Drilled shells and woven mats mediate island obligations and exchange.,tribal_sheet_20.png,bottom_right
antq_trib_america_raised_fields,American Raised Fields,subsistence,regional,antq_american_group|antq_mesoamerican_group|antq_andean_group,maize,0.20,wetlands,2,P8.10;P12.1,contested,Raised beds and channels intensify maize and squash cultivation.,tribal_sheet_21.png,top_left
antq_trib_america_obsidian_shelter,Obsidian Workshop,craft,regional,antq_american_group|antq_mesoamerican_group|antq_andean_group,tools,0.10,upland,2,P8.10;P12.1,contested,Pressure flaking turns volcanic glass into blades and points.,tribal_sheet_21.png,top_right
antq_trib_america_mound_plaza,Earthen Mound Plaza,ritual,regional,antq_american_group|antq_mesoamerican_group|antq_andean_group,,0,flatland,2,P8.10;P11,contested,A low mound and open plaza organize ceremony without later monumental forms.,tribal_sheet_21.png,bottom_left
antq_trib_america_palisaded_village,Palisaded Village Cluster,warrior,regional,antq_american_group|antq_mesoamerican_group|antq_andean_group,,0,any,2,P8.10;P13,contested,A timber enclosure protects clustered houses and stores.,tribal_sheet_21.png,bottom_right
