key,location,building,level,source,confidence,note
roma_rostra_augusti,rome,antq_rostra_augusti,1,DAR-ROSTRA,contested,Bounded Augustan civic-speaking platform proxy
roma_basilica_iulia,rome,antq_basilica_iulia,1,DAR-BASILICA-IULIA,contested,Bounded Augustan Forum basilica proxy
roma_porticus_pompeiana,rome,antq_porticus_pompeiana,1,DAR-PORTICUS-POMPEIANA,contested,Bounded Republican theatre-portico proxy
roma_theatrum_pompei,rome,antq_theatrum_pompei,1,DAR-THEATRUM-POMPEI,contested,Bounded Republican stone-theatre proxy
roma_aedes_iovis_statoris,rome,antq_aedes_iovis_statoris,1,DAR-IOVIS-STATOR,contested,Bounded Palatine-Velia temple proxy
roma_curiae_veteres,rome,antq_curiae_veteres,1,DAR-CURIAE-VETERES,contested,Bounded Palatine curial shrine-house proxy
roma_forum,rome,antq_forum_romanum,1,PARC-FORUM;P12.3,secure,Named Forum Romanum represents civic commercial legal and assembly functions
roma_officinae,rome,antq_officinae_urbanae,1,P12.1;P12.3,contested,Named urban workshops represent a cautious aggregate craft-production layer
roma_pistrina,rome,antq_pistrina_urbana,1,MET-ROMAN;P12.3,contested,Named urban mill-and-bakery layer models bread supply without a single-site claim
roma_prima_porta_villa,rome,antq_villa_liviae,1,ITA-LIVIA;P12.3,contested,Named Villa Liviae remains a conservative Rome-region productive-estate proxy
alexandria_library,alexandria,library,1,P12.3;P8.1,secure,The library slot represents the Alexandrian scholarly complex specified by the design bible
alexandria_pharos,alexandria,lighthouse_of_alexandria,1,P12.3;P8.1,secure,The event-only special building is seeded through the verified start building manager for the standing Pharos
alexandria_glass,alexandria,glass_guild,1,P12.1;P12.3,secure,The installed glass guild represents the plan's Alexandrian glassware industry
sidon_glass,sidon,glass_guild,1,P12.1;P8.2;CAH-XI,contested,Sidon is the reviewed Levantine glassware and purple-dye proxy
cologne_glass,cologne,glass_guild,1,P12.1;P8.7,contested,Cologne is the plan-listed northern glassware production anchor
changan_lacquerware,jingzhao,lacquerware_guild,1,P12.1;P8.3;BHR,secure,Jingzhao is the reviewed Chang'an anchor for Han lacquerware export
changan_taixue,jingzhao,confucian_academy,1,P12.3;CHI-TAIXUE,secure,The installed Confucian academy is the technical proxy for the Han imperial Taixue at the capital
luoyang_lacquerware,luoyang,lacquerware_guild,1,P12.1;P8.3;BHR,secure,Luoyang is a source-labelled Han metropolitan lacquerware anchor
chengdu_lacquerware,chengdu,lacquerware_guild,1,P12.1;P8.3;BHR,secure,Chengdu is the reviewed Sichuan Han-production anchor
roma_circus,rome,antq_circus_maximus,1,DAR-CIRCUS,secure,Named Circus Maximus replaces the generic hippodrome proxy
roma_forum_augusti,rome,antq_forum_augusti,1,DAR-FORUM-AUG,secure,Forum and Temple of Mars Ultor dedicated in 2 BC
roma_basilica_aemilia,rome,antq_basilica_aemilia,1,PARCO-AEMILIA,secure,Augustan rebuilt civic basilica in the Forum
roma_macellum,rome,antq_macellum_romanum,1,DAR-MACELLUM,secure,Pre-AD 1 Forum food market
roma_horrea_galbana,rome,antq_horrea_galbana,1,DAR-HORREA-GALBANA,secure,Pre-AD 1 Emporium warehouse complex
roma_thermae_agrippae,rome,antq_thermae_agrippae,1,TR-BATHS-AGRIPPA;SOV-AQUA-VIRGO,secure,Public baths built 25-19 BC and supplied by Aqua Virgo
roma_theatre_marcellus,rome,antq_theatrum_marcelli,1,TR-THEATRE-MARCELLUS,secure,Theatre inaugurated in 13 or 11 BC
roma_theatre_balbus,rome,antq_theatrum_balbi,1,DAR-THEATRUM-BALBUS,secure,Theatre dedicated in 13 BC; bounded Campus Martius cultural-building proxy
roma_temple_mars_ultor,rome,antq_templum_martis_ultoris,1,DAR-FORUM-AUG,secure,Temple of Mars Ultor dedicated 2 BC
roma_tabularium,rome,antq_tabularium,1,DAR-TABULARIUM,contested,Cautious archival-administrative proxy for the Capitoline complex
roma_pantheum,rome,antq_pantheum_agrippae,1,DAR-PANTHEUM,secure,Agrippa's c. 27 BC Pantheum; original Augustan cult complex not the later Hadrianic rotunda
roma_saepta,rome,antq_saepta_iulia,1,DAR-SAEPTA,secure,Agrippa's 26 BC porticoed voting enclosure in the Campus Martius
roma_diribitorium,rome,antq_diribitorium,1,DAR-DIRIBITORIUM,secure,Augustus' 7 BC vote-counting hall adjoining the Saepta
roma_temple_apollo_palatinus,rome,antq_templum_apollinis_palatini,1,DAR-APOLLO-PAL,secure,Augustus' Palatine Temple of Apollo dedicated 9 October 28 BC
roma_library_palatinus,rome,antq_bibliotheca_latina_graecaque,1,DAR-BIBLIOTHECA-PAL,contested,Greek-and-Latin Palatine library in use before AD 1; exact Augustan plan remains debated
roma_curia_iulia,rome,antq_curia_iulia,1,DAR-CURIA-IULIA,secure,Augustan Senate house essentially built in 29 BC
roma_porticus_octaviae,rome,antq_porticus_octaviae,1,DAR-PORTICUS-OCTAVIAE,contested,Augustan Porticus Metelli restoration with public rooms and library by c. 23 BC
roma_porticus_aemiliae,rome,antq_porticus_aemiliae,1,DAR-PORTICUS-AEMILIA,contested,Tiber-side Emporium warehouse; traditional Porticus Aemilia identification remains debated
roma_aqua_alsietina,rome,antq_aqua_alsietina,1,DAR-AQUA-ALSIETINA,contested,Augustan 2 BC water channel proxy for irrigation and emergency water; detailed course not asserted
roma_naumachia_augusti,rome,antq_naumachia_augusti,1,DAR-NAUMACHIA,secure,Augustus' Trans-Tiberim public water basin dedicated in 2 BC; no naval battle reconstruction
roma_horologium_augusti,rome,antq_horologium_augusti,1,DAR-HOROLOGIUM,contested,Augustus' 10 BC Campus Martius gnomon and meridian monument; layout remains debated
roma_ara_pacis_augustae,rome,antq_ara_pacis_augustae,1,DAR-ARA-PACIS,secure,Campus Martius altar decreed 13 BC and dedicated 30 January 9 BC; bounded open-air cult-space proxy with no rite or frieze reconstruction
roma_mausoleum_augusti,rome,antq_mausoleum_augusti,1,DAR-MAUSOLEUM,contested,Augustus' pre-AD 1 Campus Martius tomb and public walks; no fixed construction sequence internal plan occupants or later ruin asserted
roma_amphitheatrum_statilii_tauri,rome,antq_amphitheatrum_statilii_tauri,1,DAR-AMPHITHEATRUM-TAURUS,contested,29 BC first stone amphitheatre; exact Campus Martius site construction details scale and uses remain unresolved
roma_porticus_liviae,rome,antq_porticus_liviae,1,DAR-PORTICUS-LIVIAE,contested,7 BC public Oppian quadriporticus; sponsor central feature and detailed layout remain unresolved
augsburg_castrum_augusta_vindelicum,augsburg,antq_castrum_augusta_vindelicum,1,AUG-ROMERLAGER,secure,Turn-of-era Augsburg-Oberhausen military depot and camp; low timber-and-earth fort proxy with no order of battle or later stone-fort claim
strasbourg_castrum_argentoratum,strasbourg,antq_castrum_argentoratum,1,UNISTRA-ARGENTORATUM,secure,Named 12 BC Argentoratum camp; low timber-and-earth fort proxy with no order of battle later stone fort or limes-line claim
alexandria_harbor,alexandria,protected_harbor,1,P12.2;CAM-ALEX,secure,The protected-harbor slot represents Alexandria as the Roman maritime emporium
carthago_harbor,tunis,protected_harbor,1,P12.2;P8.1;UNESCO-CAR-HAR,contested,The protected-harbor slot is a Tunis-location proxy for Roman Carthage's inherited antique port complex and Mediterranean exchange role
chengdu_irrigation,chengdu,irrigation_systems,1,P12.3;UNESCO-DJJ,secure,The irrigation slot represents the pre-AD 1 Dujiangyan system serving the Chengdu plain
anuradhapura_irrigation,anuradhapura,irrigation_systems,1,P12.3;UNESCO-ANU,secure,The irrigation slot represents the pre-AD 1 Abhayawewa reservoir complex
anuradhapura_mahavihara,anuradhapura,monastery,1,P11;P12.3;UNESCO-ANU-MON,secure,The generic monastery is a technical proxy for Anuradhapura's pre-AD 1 Buddhist monastic complexes
gades_harbor,cadiz,protected_harbor,1,P12.2;P8.1,secure,The protected-harbor slot represents the established Atlantic-Mediterranean emporium of Gades
massilia_harbor,marseille,protected_harbor,1,P12.2;P8.1,secure,The protected-harbor slot represents Massilia's established western-Mediterranean port infrastructure
ephesus_harbor,ayasuluk,protected_harbor,1,P12.2;P8.1;UNESCO-EPH,contested,The protected-harbor slot is an Ayasuluk near-site proxy for Roman Ephesus as a major provincial port
faiyum_irrigation,faiyum,irrigation_systems,1,P12.3;UNESCO-FAY,secure,The generic irrigation slot represents the continuing Roman-period reclamation and canal-fed cultivation of the Faiyum
panyu_harbor,panyu,protected_harbor,1,P12.2;P8.3;BHR,secure,The protected-harbor slot represents Panyu as the southern Han maritime market anchor
barygaza_harbor,khambat,protected_harbor,1,P12.2;P8.4;PER,contested,Khambat is the reviewed Barygaza proxy for a western Indian monsoon-port harbor tier
muziris_harbor,kodungallur,protected_harbor,1,P12.2;P8.4;PER,contested,Kodungallur is the reviewed Muziris proxy for a Malabar monsoon-port harbor tier
adulis_harbor,massawa,protected_harbor,1,P12.2;P8.5;PER,contested,Massawa is the reviewed Adulis proxy for a Red Sea port harbor tier
muza_warehouse,al_mukha,market_warehouse,1,P12.2;P8.6;CAS-PER,contested,The market warehouse is an engine proxy for Muza's active commercial roadstead; the primary source explicitly says it lacked a harbor
second_temple,jerusalem,temple,1,P11;OCD-JER,secure,The installed temple is the technical building proxy for the Second Temple at Jerusalem before the AD 70 destruction current
recklinghausen_aliso,recklinghausen,antq_castrum_aliso,1,LWL-ALISO,secure,The direct Recklinghausen point is a bounded proxy for the fortified Augustan Haltern main camp active around AD 1
bonn_early_bonna_camp,bonn,antq_castrum_bonna,1,LIV-BONNA;LVR-NGL,secure,The direct Bonn point represents an early Augustan auxiliary camp only and does not backdate the later permanent legionary fortress
roma_pons_fabricius,rome,antq_pons_fabricius,1,DAR-PONS-FABRICIUS,secure,62 BC stone island bridge and 21 BC partial restoration; bounded crossing proxy only
roma_pons_aemilius,rome,antq_pons_aemilius,1,DAR-PONS-AEMILIUS,contested,Republican river crossing; debated Augustan restoration and bridgehead are not asserted
roma_fornix_augusti,rome,antq_fornix_augusti,1,DAR-FORNIX-AUGUSTI,contested,Post-12-BC rebuilt arch; exact gate identification and setting remain contested
roma_porticus_ad_nationes,rome,antq_porticus_ad_nationes,1,DAR-PORTICUS-NATIONES,contested,Predominantly Augustan public portico; identification and plan remain contested
roma_porticus_octavia,rome,antq_porticus_octavia,1,DAR-PORTICUS-OCTAVIA,contested,Predominantly Augustan public portico distinct from Porticus Octaviae complex
roma_hecatostylum,rome,antq_hecatostylum,1,DAR-HECATOSTYLUM,contested,Conventional hundred-column public-portico proxy only
roma_tiber_embankment,rome,antq_tiber_embankment,1,DAR-TIBER-EMBANKMENT,contested,Forum Boarium retaining-wall and quay-access proxy only
roma_porticus_post_navalia,rome,antq_porticus_post_navalia,1,DAR-PORTICUS-NAVALIA,contested,Republican riverside shore-service portico with no fleet or shipyard reconstruction
roma_porticus_forum_holitorium,rome,antq_porticus_forum_holitorium,1,DAR-PORTICUS-HOLITORIUM,contested,Bounded Republican market-edge colonnade proxy only
roma_aedes_portuni,rome,antq_aedes_portuni,1,DAR-PORTUNUS,contested,Bounded riverside cult-building proxy with no rite or statue claim
roma_regia,rome,antq_regia,1,DAR-REGIA,contested,Bounded civic-records proxy with no officeholder archive or plan claim
roma_circus_flaminius,rome,antq_circus_flaminius,1,DAR-CIRCUS-FLAMINIUS,contested,Open Campus Martius civic-space proxy with no event or seating reconstruction
