key,families,location,macro,source,confidence,note
s2_bri_blg,antq_reg_raised_granary|antq_reg_quernworks,salisbury,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and grain-processing proxies rather than named excavated buildings or quantified output.
s2_bri_dur,antq_reg_raised_granary|antq_reg_pottery_kiln,dorchester,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and ceramic-craft proxies rather than named excavated buildings or quantified output.
s2_bri_dob,antq_reg_raised_granary|antq_reg_loomweight_weavery,cirencester,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and textile-craft proxies rather than named excavated buildings or quantified output.
s2_bri_cor,antq_reg_raised_granary|antq_reg_quernworks,leicester,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and grain-processing proxies rather than named excavated buildings or quantified output.
s2_bri_cnv,antq_reg_raised_granary|antq_reg_iron_bloomery,shrewsbury,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and ironworking proxies rather than named excavated buildings or quantified output.
s2_bri_pbi,antq_reg_raised_granary|antq_reg_loomweight_weavery,hull,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and textile-craft proxies rather than named excavated buildings or quantified output.
s2_bri_crv,antq_reg_raised_granary|antq_reg_hide_curing_yard,carlisle,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_dem,antq_reg_raised_granary|antq_reg_iron_bloomery,carmarthen,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and ironworking proxies rather than named excavated buildings or quantified output.
s2_bri_dec,antq_reg_raised_granary|antq_reg_hide_curing_yard,denbigh,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_vot,antq_reg_raised_granary|antq_reg_cauldron_smithy,dunbar,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and non-ferrous craft proxies rather than named excavated buildings or quantified output.
s2_bri_sel,antq_reg_raised_granary|antq_reg_hide_curing_yard,selkirk,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_nov,antq_reg_raised_granary|antq_reg_oarwright,stranraer,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and coastal woodworking proxies rather than named excavated buildings or quantified output.
s2_bri_dam,antq_reg_raised_granary|antq_reg_hide_curing_yard,dumbarton,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_vcn,antq_reg_raised_granary|antq_reg_cauldron_smithy,dundee,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and non-ferrous craft proxies rather than named excavated buildings or quantified output.
s2_bri_tae,antq_reg_raised_granary|antq_reg_fishing_tackle,aberdeen,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and coastal subsistence-craft proxies rather than named excavated buildings or a quantified fleet.
s2_bri_epd,antq_reg_raised_granary|antq_reg_oarwright,inverary,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and coastal woodworking proxies rather than named excavated buildings or quantified output.
s2_bri_vac,antq_reg_raised_granary|antq_reg_hide_curing_yard,elgin,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_dct,antq_reg_raised_granary|antq_reg_fishing_tackle,dingwall,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and coastal subsistence-craft proxies rather than named excavated buildings or a quantified fleet.
s2_bri_cae,antq_reg_raised_granary|antq_reg_hide_curing_yard,durness,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_cre,antq_reg_raised_granary|antq_reg_oarwright,skye,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and island woodworking proxies rather than named excavated buildings or quantified output.
s2_bri_cna,antq_reg_raised_granary|antq_reg_fishing_tackle,ullapool,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and coastal subsistence-craft proxies rather than named excavated buildings or a quantified fleet.
s2_bri_lgb,antq_reg_raised_granary|antq_reg_hide_curing_yard,dornoch,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_sme,antq_reg_raised_granary|antq_reg_fishing_tackle,tongue,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and coastal subsistence-craft proxies rather than named excavated buildings or a quantified fleet.
s2_bri_ncr,antq_reg_raised_granary|antq_reg_oarwright,thurso,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and northern-seaway woodworking proxies rather than named excavated buildings or quantified output.
s2_bri_cal,antq_reg_raised_granary|antq_reg_cauldron_smithy,inverness,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and non-ferrous craft proxies rather than named excavated buildings or quantified output.
s2_ire_vni,antq_reg_raised_granary|antq_reg_oarwright,donegal,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and Atlantic woodworking proxies rather than named excavated buildings or quantified output.
s2_ire_rhb,antq_reg_raised_granary|antq_reg_fishing_tackle,derry,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and coastal subsistence-craft proxies rather than named excavated buildings or a quantified fleet.
s2_ire_dar,antq_reg_raised_granary|antq_reg_hide_curing_yard,dunluce,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_ire_erd,antq_reg_raised_granary|antq_reg_loom_house,enniskillen,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and textile-craft proxies rather than named excavated buildings or quantified output.
s2_ire_ula,antq_reg_raised_granary|antq_reg_cauldron_smithy,armagh,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and non-ferrous craft proxies rather than named excavated buildings or quantified output.
s2_ire_nag,antq_reg_raised_granary|antq_reg_hide_curing_yard,castlebar,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_ire_aut,antq_reg_raised_granary|antq_reg_oarwright,galway,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and Atlantic woodworking proxies rather than named excavated buildings or quantified output.
s2_ire_gan,antq_reg_raised_granary|antq_reg_loom_house,ennis,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and textile-craft proxies rather than named excavated buildings or quantified output.
s2_ire_vel,antq_reg_raised_granary|antq_reg_hide_curing_yard,killarney,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_ire_ivn,antq_reg_raised_granary|antq_reg_fishing_tackle,cork,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and coastal subsistence-craft proxies rather than named excavated buildings or a quantified fleet.
s2_ire_usd,antq_reg_raised_granary|antq_reg_loom_house,limerick,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and textile-craft proxies rather than named excavated buildings or quantified output.
s2_ire_ibg,antq_reg_raised_granary|antq_reg_oarwright,waterford,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and south-coast woodworking proxies rather than named excavated buildings or quantified output.
s2_ire_cnd,antq_reg_raised_granary|antq_reg_iron_bloomery,kilkenny,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and ironworking proxies rather than named excavated buildings or quantified output.
s2_ire_mnp,antq_reg_raised_granary|antq_reg_fishing_tackle,wexford,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and coastal subsistence-craft proxies rather than named excavated buildings or a quantified fleet.
s2_ire_cci,antq_reg_raised_granary|antq_reg_oarwright,dublin,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and east-coast woodworking proxies rather than named excavated buildings or quantified output.
s2_ire_ebl,antq_reg_raised_granary|antq_reg_cauldron_smithy,navan,Europe,P8.7;P12.1;P13;NMI-IRON-AGE,contested,Opening Hibernian capital-and-hinterland food-storage and non-ferrous craft proxies rather than named excavated buildings or quantified output.
