location,region,map_region,map_area,rule,old_topography,new_topography,old_vegetation,new_vegetation,climate,raw_material,source,confidence,note
alcanices,Rome,iberia_region,leon_area,iberian_atlantic_mosaic,plateau,plateau,grasslands,woods,oceanic,livestock,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
alcantara,Rome,iberia_region,extremadura_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,legumes,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
alchan,Steppe,manchuria_region,ussuri_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,fur,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
alfeld,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,lead,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
alghero,Rome,italy_region,sardinia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,wheat,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
almazan,Rome,iberia_region,castile_area,iberian_wood_pasture_mosaic,plateau,plateau,sparse,woods,oceanic,livestock,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
alsfeld,Germania,north_german_region,hesse_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
altamura,Rome,italy_region,apulia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
altena,Germania,north_german_region,westphalia_area,germania_upland_forest,hills,hills,woods,forest,oceanic,iron,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
an_nil,Iran,crescent_region,iraq_arabi_area,mesopotamian_marsh,wetlands,wetlands,sparse,grasslands,arid,horses,P12.3;BHR;SCHU-CHA,contested,Lower Tigris-Euphrates wetland proxy; exact installed field extent is approximate.
anana,Rome,iberia_region,navarre_area,iberian_atlantic_mosaic,plateau,plateau,grasslands,woods,oceanic,salt,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
anavarza,Anatolia,anatolia_region,cilicia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,saffron,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
andravida,Rome,balkan_region,morea_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,wine,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
anfa,Africa,maghreb_region,morocco_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,wheat,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
anfu_li,China,east_china_region,wuling_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
anklam,Germania,north_german_region,pomerania_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
anlu,China,east_china_region,hubei_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
anren_raozhou,China,east_china_region,jiangxi_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
ansbach,Germania,south_german_region,franconia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
anyi,China,east_china_region,jiangxi_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
apt,Rome,france_region,provence_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,fruit,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
arabi,Africa,somalia_region,inner_somalia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
ares_del_maestre,Rome,iberia_region,valencia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
argyrokastro,Rome,balkan_region,albania_area,mediterranean_cultivation,mountains,mountains,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
armizonskoye,Steppe,west_siberia_region,omsk_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,fur,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
arta,Rome,balkan_region,northern_greece_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,fruit,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
aschaffenburg,Germania,north_german_region,hesse_area,germania_upland_forest,hills,hills,woods,forest,continental,copper,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
aschendorf,Germania,north_german_region,westphalia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
asilah,Africa,maghreb_region,morocco_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
asmara,Africa,ethiopia_region,northern_ethiopia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,copper,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
astorga,Rome,iberia_region,leon_area,iberian_atlantic_mosaic,plateau,plateau,sparse,woods,oceanic,wheat,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
attendorn,Germania,north_german_region,westphalia_area,germania_upland_forest,hills,hills,woods,forest,continental,fur,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
avlonya,Rome,balkan_region,albania_area,mediterranean_cultivation,mountains,mountains,grasslands,farmland,mediterranean,fiber_crops,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
aware,Africa,somalia_region,inner_somalia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
awbare,Africa,somalia_region,inner_somalia_area,african_aridity_gradient,hills,hills,grasslands,sparse,arid,beeswax,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
ayas,Anatolia,anatolia_region,cilicia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,cotton,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
azemmour,Africa,maghreb_region,morocco_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,cotton,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
baena,Rome,iberia_region,andalusia_area,iberian_wood_pasture_mosaic,hills,hills,sparse,woods,mediterranean,olives,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
balassagyarmat,Germania,carpathia_region,slovakia_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,medicaments,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
bale,Africa,somalia_region,inner_somalia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
balikesir,Rome,anatolia_region,marmara_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,cotton,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
balingen,Germania,south_german_region,swabia_area,germania_upland_forest,hills,hills,woods,forest,continental,fur,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
ballaghaderreen,Ireland,ireland_region,connaught_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,clay,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
ballenstedt,Germania,north_german_region,lower_saxony_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,medicaments,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
ballymena,Ireland,ireland_region,ulster_area,atlantic_woodland,flatland,flatland,grasslands,woods,oceanic,beeswax,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Forest-product field restored to Atlantic woodland without claiming closed-canopy coverage.
bamberg,Germania,south_german_region,franconia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,stone,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
barbastro,Rome,iberia_region,aragon_area,iberian_wood_pasture_mosaic,hills,hills,grasslands,woods,oceanic,wine,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
barca,Rome,egypt_region,cyrenaica_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,wheat,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
barco_de_valdeorras,Rome,iberia_region,galicia_area,iberian_atlantic_mosaic,mountains,mountains,grasslands,woods,oceanic,iron,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
barnaul,Steppe,west_siberia_region,suzun_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,wild_game,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
baroda,India,western_india_region,gujarat_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,tropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
basra,Iran,crescent_region,iraq_arabi_area,mesopotamian_marsh,flatland,wetlands,desert,grasslands,arid,sugar,P12.3;BHR;SCHU-CHA,contested,Lower Tigris-Euphrates wetland proxy; exact installed field extent is approximate.
bautzen,Germania,north_german_region,upper_saxony_area,germania_central_mosaic,hills,hills,grasslands,woods,continental,stone,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
bayreuth,Germania,south_german_region,franconia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,goods_gold,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
bechyne,Germania,south_german_region,bohemia_area,germania_central_mosaic,plateau,plateau,grasslands,woods,continental,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
beilngries,Germania,south_german_region,franconia_area,germania_central_mosaic,hills,hills,grasslands,woods,continental,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
bejar,Rome,iberia_region,leon_area,iberian_mountain_forest,mountains,mountains,woods,forest,oceanic,lumber,P8.6;IBERIA-NORTH-POLLEN;IBERIA-TELENO,contested,Existing humid mountain woods receive a denser forest presentation without treating all Atlantic Iberian uplands as closed canopy.
belzig,Germania,north_german_region,brandenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,sand,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
benesov,Germania,south_german_region,bohemia_area,germania_upland_forest,hills,hills,woods,forest,continental,goods_gold,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
benevento,Rome,italy_region,campania_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,wheat,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
berdyuzhye,Steppe,west_siberia_region,omsk_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,lumber,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
berlanga,Rome,iberia_region,castile_area,iberian_wood_pasture_mosaic,plateau,plateau,sparse,woods,oceanic,horses,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
berleburg,Germania,north_german_region,westphalia_area,germania_upland_forest,hills,hills,woods,forest,continental,stone,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
bernburg,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
beroun,Germania,south_german_region,bohemia_area,germania_upland_forest,hills,hills,woods,forest,continental,iron,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
beya,Steppe,west_siberia_region,kansk_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,fur,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
beziers,Rome,france_region,languedoc_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,fruit,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
bielsko,Germania,baltic_region,silesia_area,germania_dense_woodland,hills,hills,woods,forest,continental,lumber,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
bii,Steppe,mongolia_region,tuva_area,steppe_forest_mosaic,plateau,plateau,forest,woods,continental,fur,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
bitburg,Germania,north_german_region,rhineland_area,germania_dense_woodland,hills,hills,woods,forest,oceanic,fur,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
bitterfeld,Germania,north_german_region,brandenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
biysk,Steppe,west_siberia_region,suzun_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,fur,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
blankenburg,Germania,north_german_region,lower_saxony_area,germania_upland_forest,plateau,plateau,woods,forest,continental,lumber,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
bonndorf,Germania,south_german_region,upper_rhine_area,germania_dense_woodland,hills,hills,woods,forest,continental,wild_game,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
borgund,Germania,scandinavian_region,nord_norge_area,germania_forest_product,hills,hills,grasslands,woods,continental,wild_game,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to an open woodland mosaic in ancient Germania.
boston,Britain,great_britain_region,midlands_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,salt,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
bremen,Germania,north_german_region,westphalia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
brignoles,Rome,france_region,provence_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,fruit,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
brilon,Germania,north_german_region,westphalia_area,germania_upland_forest,hills,hills,woods,forest,continental,lead,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
brindisi,Rome,italy_region,apulia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,fruit,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
bruchsal,Germania,south_german_region,upper_rhine_area,germania_forest_product,flatland,flatland,grasslands,woods,oceanic,medicaments,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to an open woodland mosaic in ancient Germania.
bruckenau,Germania,north_german_region,hesse_area,germania_upland_forest,hills,hills,woods,forest,continental,livestock,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
brunswick,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,salt,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
buckeburg,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
budaun,India,hindustan_region,rokhilkhand_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
buhoodle,Africa,somalia_region,inner_somalia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,wild_game,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
burg,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,clay,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
burghausen,Germania,south_german_region,bavaria_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
burglengenfeld,Germania,south_german_region,bavaria_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,fur,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
butzow,Germania,north_german_region,mecklenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
calau,Germania,north_german_region,brandenburg_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,wild_game,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
calvi,Rome,italy_region,liguria_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
cambridge,Britain,great_britain_region,east_anglia_area,atlantic_woodland,flatland,flatland,grasslands,woods,oceanic,beeswax,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Forest-product field restored to Atlantic woodland without claiming closed-canopy coverage.
canakkale,Rome,anatolia_region,marmara_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,legumes,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
canete,Rome,iberia_region,toledo_area,iberian_wood_pasture_mosaic,hills,hills,grasslands,woods,oceanic,livestock,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
carrion_de_los_condes,Rome,iberia_region,castile_area,iberian_wood_pasture_mosaic,plateau,plateau,grasslands,woods,oceanic,wool,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
cassano,Rome,italy_region,basilicata_area,mediterranean_cultivation,plateau,plateau,grasslands,farmland,mediterranean,wheat,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
castelo_branco,Rome,iberia_region,north_portugal_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
castrocalbon,Rome,iberia_region,leon_area,iberian_atlantic_mosaic,hills,hills,sparse,woods,oceanic,wheat,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
cavan,Ireland,ireland_region,connaught_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,horses,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
