key,name,location,source,confidence,note,startup_mode
tarraco,Tarraco,tarragona,PLE;P8.1,contested,Reviewed Tarraconensis port-market anchor for bounded productive-hinterland proxies
emerita,Emerita Augusta,merida,PLE;P8.1,contested,Reviewed Lusitania regional market anchor for bounded productive-hinterland proxies
olisipo,Olisipo,lisbon,PLE;P8.1,contested,Reviewed Atlantic estuary market anchor for bounded productive-hinterland proxies
caesaraugusta,Caesaraugusta,zaragoza,PLE;P8.1,contested,Reviewed Ebro regional market anchor for bounded productive-hinterland proxies
narbo,Narbo Martius,narbonne,PLE;P8.1,contested,Reviewed Narbonensis port-market anchor for bounded productive-hinterland proxies
nemausus,Nemausus,nimes,PLE;P8.1,contested,Reviewed southern Gallic regional market anchor for bounded productive-hinterland proxies
burdigala,Burdigala,bordeaux,PLE;P8.1,contested,Reviewed Aquitanian river-port market anchor for bounded productive-hinterland proxies
arelate,Arelate,arles,PLE;P8.1,contested,Reviewed Rhone delta market anchor for bounded productive-hinterland proxies
mediolanum,Mediolanum,milano,PLE;P8.1,contested,Reviewed Cisalpine regional market anchor for bounded productive-hinterland proxies
bononia,Bononia,bologna,PLE;P8.1,contested,Reviewed Po plain regional market anchor for bounded productive-hinterland proxies
mutina,Mutina,modena,PLE;P8.1,contested,Reviewed Po plain regional market anchor for bounded productive-hinterland proxies
ravenna,Ravenna,ravenna,P8.1;MIC-CLASSE,contested,Reviewed Adriatic market anchor beside the separately documented Classe proxy
tarentum,Tarentum,taranto,PLE;P8.1,contested,Reviewed southern Italian maritime-market anchor for bounded productive-hinterland proxies
brundisium,Brundisium,brindisi,PLE;P8.1,contested,Reviewed Adriatic crossing market anchor for bounded productive-hinterland proxies
hippo_regius,Hippo Regius,annaba,PLE;P8.1,contested,Reviewed Numidian port-market anchor for bounded productive-hinterland proxies
hippo_diarrhytus,Hippo Diarrhytus,bizerte,PLE;P8.1,contested,Reviewed African port-market anchor for bounded productive-hinterland proxies
caesarea_mauretaniae,Caesarea Mauretaniae,cherchell,PLE;P8.1,contested,Reviewed Mauretanian port-market anchor for bounded productive-hinterland proxies
tacape,Tacape,gabes,PLE;P8.1,contested,Reviewed Gulf of Gabes market anchor for bounded productive-hinterland proxies
hadrumetum,Hadrumetum,sousse,PLE;P8.1,contested,Reviewed Byzacene port-market anchor for bounded productive-hinterland proxies
berytus,Berytus,beirut,PLE;P8.1,contested,Reviewed Levantine port-market anchor for bounded productive-hinterland proxies
hierosolyma,Hierosolyma,jerusalem,PLE;P11,contested,Reviewed Judaean urban-market anchor for bounded productive-hinterland proxies
damascus,Damascus,damascus,PLE;P8.2,contested,Reviewed Syrian inland-market anchor for bounded productive-hinterland proxies
beroea,Beroea,aleppo,PLE;P8.2,contested,Reviewed northern Syrian market anchor for bounded productive-hinterland proxies
edessa,Edessa,urfa,PLE;P8.2,contested,Reviewed Osroene market anchor for bounded productive-hinterland proxies
susa,Susa,shush,PLE;P8.2,contested,Reviewed Elymaean market anchor for bounded productive-hinterland proxies
ecbatana,Ecbatana,hamadan,PLE;P8.2,contested,Reviewed Median market anchor for bounded productive-hinterland proxies
arbela,Arbela,erbil,PLE;P8.2,contested,Reviewed Adiabenian market anchor for bounded productive-hinterland proxies
rhagae,Rhagae,rey,PLE;P8.2,contested,Reviewed Parthian interior market anchor for bounded productive-hinterland proxies
tabriz,Tabriz,tabriz,PLE;P8.2,contested,Reviewed Atropatenian market anchor for bounded productive-hinterland proxies
