location,tag,region,topography,vegetation,climate,natural_harbor_suitability,installed_good,ad1_good,decision,source,confidence,note
abrahamtelke,IAZ,Danube,flatland,grasslands,continental,,saltpeter,salt,regional_rule,P12.1,contested,Saltpeter is removed from the pre-gunpowder raw-material layer
abu,KBI,Japan,hills,woods,subtropical,0.00,goods_gold,goods_gold,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abu_dhabi,QTR,Arabia,flatland,desert,arid,0.00,pearls,pearls,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abu_hamed,BLM,Africa,flatland,desert,arid,,sand,sand,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abu_kemal,PAR,Iran,flatland,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abu_qasr,AGR,Arabia,flatland,desert,arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abu_rakah,KIN,Arabia,hills,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
acatic,WMS,Mesoamerica,plateau,forest,subtropical,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
acayucan,EPI,Mesoamerica,flatland,jungle,tropical,0.00,fiber_crops,fiber_crops,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
acerenza,ROM,Rome,hills,woods,cold_arid,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
achacachi,TIW,Andes,plateau,grasslands,arctic,,potato,potato,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
acham,KUN,India,mountains,forest,subtropical,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
achan,MNC,Steppe,wetlands,grasslands,continental,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
achim,CHC,Germania,flatland,grasslands,oceanic,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
achit_nuur,XIO,Steppe,plateau,sparse,cold_arid,,silver,silver,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
acqui,ROM,Rome,hills,woods,oceanic,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
acre,PAR,Iran,flatland,woods,mediterranean,0.75,sugar,fiber_crops,regional_rule,P12.1,contested,Sugar remains rare in India and Southeast Asia only
ad_dawasir,KIN,Arabia,plateau,desert,arid,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ad_dilam,KIN,Arabia,hills,desert,arid,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ad_disah,NAB,Arabia,hills,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ad_dughmiyah,KIN,Arabia,plateau,desert,arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adachi,OHW,Japan,plateau,woods,continental,,rice,rice,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adachi_kanto,TKW,Japan,flatland,grasslands,subtropical,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adakli,ARM,Caucasus,mountains,sparse,continental,,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adalaga,ROX,Pontic,flatland,woods,continental,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adan,HIM,Arabia,flatland,desert,arid,1.00,sugar,fiber_crops,regional_rule,P12.1,contested,Sugar remains rare in India and Southeast Asia only
adana,COM,Anatolia,wetlands,farmland,mediterranean,0.00,olives,olives,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adanki,SAT,India,flatland,woods,arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adare,USD,Ireland,wetlands,woods,oceanic,0.00,salt,salt,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
addu_atoll,CIN,India,atoll,forest,tropical,0.50,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adeqiu,HAN,China,mountains,woods,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adham,HIM,Arabia,mountains,sparse,arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adigrat,AKS,Africa,hills,sparse,arid,,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adilabad,SAT,India,hills,jungle,tropical,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adjud,BAS,Danube,flatland,forest,continental,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adlur,SAT,India,flatland,woods,tropical,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ado_ekiti,LNC,West Africa,hills,jungle,tropical,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adoni,SAT,India,flatland,sparse,arid,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adony,DAC,Danube,flatland,farmland,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adra,ROM,Rome,hills,grasslands,cold_arid,0.00,sugar,fiber_crops,regional_rule,P12.1,contested,Sugar remains rare in India and Southeast Asia only
adrada,ROM,Rome,hills,woods,mediterranean,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adranos,ROM,Rome,hills,forest,oceanic,,stone,stone,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adrar,GAR,Africa,flatland,desert,arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adraskan,SKT,Iran,mountains,desert,continental,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adwa,AKS,Africa,hills,sparse,continental,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
adyukh,ROX,Pontic,hills,grasslands,continental,,stone,stone,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aerzhai,HAN,China,plateau,sparse,cold_arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
afanasyevo,VYP,Finland,flatland,forest,arctic,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
afif,BED,Arabia,plateau,desert,arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
afmadow,BAR,Africa,flatland,grasslands,arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
afrera,AKS,Africa,flatland,desert,arid,,salt,salt,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
afrin,PAR,Iran,flatland,woods,mediterranean,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
afsin,COM,Anatolia,mountains,grasslands,continental,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
afso,MAU,Africa,hills,grasslands,cold_arid,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aga,DNG,Steppe,hills,grasslands,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agadem,LCH,West Africa,flatland,desert,arid,,alum,alum,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agadir,MAU,Africa,flatland,grasslands,arid,0.75,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agar,CIN,India,flatland,woods,subtropical,,stone,stone,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agaro,AKS,Africa,hills,forest,oceanic,,coffee,medicaments,regional_rule,P12.1,secure,Coffee is excluded from the AD 1 world economy
agartala,GNG,India,flatland,woods,subtropical,,sugar,sugar,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agatsuma,EHW,Japan,hills,woods,continental,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agawa,SHK,Japan,hills,forest,subtropical,0.00,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agbonle,GUR,West Africa,flatland,woods,tropical,,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agde,ROM,Rome,flatland,grasslands,mediterranean,0.00,wine,wine,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agdez,MAU,Africa,hills,sparse,arid,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agen,ROM,Rome,flatland,grasslands,oceanic,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agh_qala,PAR,Iran,plateau,desert,cold_arid,,fiber_crops,fiber_crops,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agham_kot,ISK,India,flatland,sparse,arid,,cotton,cotton,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aghkand,ATR,Iran,hills,sparse,cold_arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aghmat,MAU,Africa,mountains,grasslands,mediterranean,,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agnam_civol,SNG,West Africa,flatland,grasslands,arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agno,PHL,Southeast Asia,mountains,jungle,tropical,,medicaments,medicaments,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agoo,PHL,Southeast Asia,mountains,jungle,tropical,0.00,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agordat,AKS,Africa,hills,grasslands,arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agori,CIN,India,hills,jungle,subtropical,,rice,rice,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agra,GNG,India,flatland,farmland,arid,,silk,fiber_crops,regional_rule,P12.1,secure,Silk sericulture remains a Chinese near-monopoly in the covered era
agramunt,ROM,Rome,hills,grasslands,oceanic,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agreda,ROM,Rome,hills,sparse,oceanic,,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agror,ISK,India,mountains,sparse,mediterranean,,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agsu,ALC,Caucasus,hills,sparse,cold_arid,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aguacana,WMS,Mesoamerica,hills,forest,arid,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aguiar,ROM,Rome,hills,woods,oceanic,,tin,tin,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aguilar_de_campoo,ROM,Rome,hills,grasslands,oceanic,,stone,stone,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
agula,AKS,Africa,plateau,grasslands,continental,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aguz,MAU,Africa,flatland,grasslands,arid,0.00,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahar,ATR,Iran,hills,grasslands,cold_arid,,cotton,fiber_crops,environment_rule,P12.1;PER,contested,"Cotton is removed from arctic, cold-arid, and cool-oceanic templates."
ahaus,BRC,Germania,flatland,grasslands,oceanic,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahel,PRS,Iran,hills,desert,arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aheri,SAT,India,flatland,jungle,tropical,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aheyya_fagg,AKS,Africa,mountains,woods,continental,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahlat,ARM,Caucasus,hills,sparse,continental,,silk,fiber_crops,regional_rule,P12.1,secure,Silk sericulture remains a Chinese near-monopoly in the covered era
ahmad_khan,ISK,India,hills,desert,arid,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahmednagar,SAT,India,plateau,sparse,arid,,cotton,cotton,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahobalam,SAT,India,flatland,forest,arid,,dyes,dyes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahrweiler,CTU,Germania,hills,woods,continental,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahtopol,THR,Balkans,hills,grasslands,oceanic,0.00,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahuacatlan,WMS,Mesoamerica,plateau,forest,subtropical,,maize,maize,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahuilizapan,EPI,Mesoamerica,mountains,forest,oceanic,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ahvaz,PAR,Iran,flatland,sparse,arid,,sugar,fiber_crops,regional_rule,P12.1,contested,Sugar remains rare in India and Southeast Asia only
ahwar,QAT,Arabia,flatland,desert,arid,0.00,incense,incense,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aichi,TKW,Japan,flatland,grasslands,subtropical,0.50,rice,rice,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aignay,ROM,Rome,hills,woods,oceanic,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aigun,MNC,Steppe,plateau,woods,continental,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aikou,TKW,Japan,hills,grasslands,subtropical,0.00,rice,rice,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aimangala,SAT,India,plateau,woods,arid,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aimi,IZM,Japan,flatland,grasslands,subtropical,0.00,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ain_farah,BEJ,Africa,plateau,sparse,arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ain_madhi,BER,Africa,plateau,sparse,cold_arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ain_salah,GAR,Africa,flatland,desert,arid,,sand,sand,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ain_sefra,BER,Africa,hills,grasslands,cold_arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
ainsa,ROM,Rome,mountains,forest,oceanic,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
air_hitam,BOR,Southeast Asia,wetlands,jungle,tropical,0.00,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
airag_nuur,XIO,Steppe,plateau,desert,cold_arid,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
