granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","cuenca_province","toledo_area","land","Olcades–Upper Sucro","Latinized Iberian ethnonym / classical hydronym","attested people-river construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D3","high","Olcadian country and the upper Sucro replace medieval Cuenca.","false"
"province","cuyo_province","cuyo_area","land","Ansilta–San Juan Valleys","archaeological label / local hydronym / English","archaeological-horizon valley construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/San-Juan-province-Argentina","medium","Ansilta traditions and San Juan valleys frame the eastern Andean foothills around AD 1.","false"
"province","cuzalapa_province","xalisco_area","land","Southern Teuchitlán Valleys","archaeological place name / English","archaeological-horizon direction construction","installed:in_game/map_data/definitions.txt;https://www.metmuseum.org/toah/hd/teuc/hd_teuc.htm","high","Southern Teuchitlán and shaft-tomb valleys replace the later Cuzalapa name.","false"
"province","cyclades_coast_sea_province","aegean_sea_area","marine","Mare Aegaeum Cycladum","Latin","attested classical sea and archipelago construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D10","high","A Latin Aegean-Cycladic maritime name replaces the raw coast-sea label.","false"
"province","cyprus_coast_sea_province","levantine_sea_area","marine","Cyprian Levantine Waters","Greek-derived regional English","island-facing maritime construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D14","high","The waters around Roman Cyprus receive an era-suitable island-facing name.","false"
"province","cyprus_province","cilicia_area","land","Roman Cyprus","Latin / English","attested province name plus polity qualifier","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D14","high","Cyprus was a Roman province at AD 1; the qualifier prevents exact vanilla pass-through.","false"
"province","czersk_province","mazovia_area","land","Eastern Vistula Przeworsk Lands","archaeological label / hydronym / English","archaeological-horizon river direction construction","installed:in_game/map_data/definitions.txt;https://www.mpov.uw.edu.pl/en/thesaurus/archaeological-cultures/przeworsk-culture-","high","Przeworsk communities east of the middle Vistula replace medieval Czersk.","false"
"province","czestochowa_province","lesser_poland_area","land","Przeworsk–Warta Uplands","archaeological label / hydronym / English","archaeological-horizon upland construction","installed:in_game/map_data/definitions.txt;https://www.mpov.uw.edu.pl/en/thesaurus/archaeological-cultures/przeworsk-culture-","high","Przeworsk communities along the upper Warta replace medieval Częstochowa.","false"
"province","dadi_dadi_province","southeastern_australia_area","land","Murray–Murrumbidgee Lands","local hydronyms / English","paired river-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Murray-River","medium","The Murray and Murrumbidgee corridors provide a broad physical frame without treating one named community as the province.","false"
"province","daga_province","milne_area","land","Milne–Suau Shores","local bay and community names / English","paired coastal construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/New-Guinea","medium","Milne Bay and Suau shores replace the narrow Daga label across the province.","false"
"province","dagbon_province","gur_area","land","Volta–Oti Savannas","local hydronyms / English","paired river and ecology construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Volta-River","medium","The Volta and Oti savannas replace the later Dagbon kingdom.","false"
"province","dahra_province","algiers_area","land","Mauretanian Caesarea Coast","Latin historical region and city / English","attested province-center coastal construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D17","high","Caesarea and the Mauretanian coast replace the later Dahra regional name.","false"
"province","dai_coastal_sea_zones_province","solomon_islands_sea_zones_area","marine","Choiseul–Malaita Waters","local island names / English","paired archipelago maritime construction","installed:in_game/map_data/definitions.txt;https://press.anu.edu.au/downloads/press/p69411/mobile/ch06.html","high","Choiseul and Malaita identify the Solomon passages without the raw Dai coast label.","false"
"province","daizhou_province","shanxi_area","land","Yanmen Commandery","Han Chinese administrative name / English","attested commandery","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","The Daizhou footprint lay in Han Yanmen Commandery at AD 1.","false"
"province","dakahliyya_province","lower_egypt_area","land","Mendesian–Tanite Nomes","Greek nome names","attested paired nomes","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D17","high","The Mendesian and Tanite nomes cover the eastern-central Nile delta before Dakahliyya.","false"
"province","dakhina_desa","sailan_area","land","Rohana–Western Lanka","Sinhala historical region / island name / English","attested region-direction construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Sri-Lanka/History","high","Rohana and western Lanka replace the later Dakhina Desa administrative formulation.","false"
"province","dakshina_kosala","gondwana_area","land","Dakshina Kosala Heartland","Sanskrit historical region / English","attested region plus core qualifier","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Chhattisgarh","high","The upper Mahanadi plain formed the heartland of Dakshina Kosala; the qualifier avoids exact pass-through.","false"
"province","dalai_nuur_province","argun_area","land","Hulun–Eastern Xiongnu Lands","local lake name / Han ethnonym / English","lake-imperial sphere construction","installed:in_game/map_data/definitions.txt;https://academic.oup.com/edited-volume/61799/chapter-abstract/546289184","high","Lake Hulun and the eastern Xiongnu sphere replace the later Dalai Nuur label.","false"
"province","dalarna_province","svealand_area","land","Dalälven–Suiones Interior","local hydronym / Latinized ethnonym / English","river-people landscape construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","medium","The Dalälven basin lay in the Scandinavian interior behind the Suiones around AD 1.","false"
"province","dali_province","dali_area","land","Dian–Erhai Basin","Han Chinese polity name / local lake name / English","attested polity-lake construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The Erhai basin lay on the western margin of the Dian world before later Dali.","false"
"province","dalsland_province","gotaland_area","land","Vänern–Western Gauti","local lake name / Germanic ethnonym / English","lake-people direction construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","medium","The western Vänern shore and Gauti interior replace medieval Dalsland.","false"
"province","damara_province","namib_area","land","Namib Hunter–Herder Lands","local desert name / archaeological English","ecological-subsistence construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Namib","medium","A hunter-herder Namib frame avoids projecting the later Damara ethnonym across the province.","false"
"province","damghan_province","mazandaran_area","land","Hecatompylos–Comisene","Greek city and regional names","attested center-region construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/hecatompylos/","high","Hecatompylos and Comisene frame the Damghan–Semnan corridor in Arsacid Parthia.","false"
"province","daming_province","hebei_area","land","Wei Commandery–Ye Plain","Han Chinese commandery and ancient city / English","attested administrative-center construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Wei Commandery and the Ye plain replace later Daming administration.","false"
"province","damot_province","southern_ethiopia_area","land","Omo–Gibe Highlands","local hydronyms / English","paired river-upland construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Omo-River","medium","The Omo and Gibe highlands replace the later Damot kingdom name.","false"
"province","dan_province","upper_guinea_area","land","Nimba–Cavally Forests","local mountain and hydronym / English","upland-river ecology construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Mount-Nimba","medium","The Nimba and Cavally forests replace the later Dan ethnonym across the province.","false"
"province","daning_province","yanbei_area","land","Western Wuhuan–Liaoxi","Han ethnonym and commandery / English","attested people-administrative direction construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Wuhuan groups west of Liaoxi frame the northern frontier before later Daning.","false"
"province","danish_sea","western_baltic_sea","marine","Sinus Codanus","Latin","attested classical northern gulf name","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","high","Sinus Codanus is an era-appropriate classical frame for Danish straits and Kattegat.","false"
"province","danmark_coastal_sea_zones_province","north_sea_area","marine","Cimbrian–Frisian Waters","Latinized Germanic ethnonyms / English","attested peoples maritime construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The North Sea waters adjoining the Cimbrian neck and Frisian coast replace modern Danmark naming.","false"
"province","danzig_province","prussia_area","land","Vistula–Gothones Coast","Latin hydronym / Latinized ethnonym / English","attested people-river coastal construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The Vistula mouth and Gothones coast replace medieval Danzig.","false"
"province","daozhou_province","hunan_area","land","Lingling–Xiaoshui","Han Chinese commandery and hydronym","attested administrative-river construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The Xiaoshui valley lay within Han Lingling Commandery before later Daozhou.","false"
"province","darab_province","fars_area","land","Darabgerd–Eastern Persis","ancient Iranian city / Greek-Latin region / English","attested center-region construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/darabgerd/","high","Darabgerd and eastern Persis replace the later shortened Darab province label.","false"
"province","darbhanga_province","mithila_area","land","Mithila–Videha Heartland","Sanskrit historical regions / English","attested region and core construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Mithila","high","The Darbhanga–Janakpur plain was the heartland of Mithila and Videha.","false"
"province","dardanelles_province","thrace_area","land","Hellespontine Chersonese","Greek classical geographic name","attested peninsula-region","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","high","The Hellespontine Chersonese covers Gallipoli and the Thracian strait approach before the Dardanelles name.","false"
"province","dardeling_province","astrakhan_area","land","Aorsi–Caspian Steppe","Latinized ethnonym / geographic English","attested people-landscape construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D11","high","The Aorsi and northwest Caspian steppe replace the later Dardeling name.","false"
"province","dariganga_province","eastern_gobi_area","land","Eastern Xiongnu Gobi","Han ethnonym / English","attested imperial sphere plus landscape direction","installed:in_game/map_data/definitions.txt;https://academic.oup.com/edited-volume/61799/chapter-abstract/546289184","high","The eastern Gobi belonged to the multiethnic Xiongnu imperial sphere around AD 1.","false"
"province","dartsedo_province","kham_area","land","Dadu–Drichu Passes","Tibetan hydronyms / English","paired river-mountain pass construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Yangtze-River","medium","The Dadu and upper Drichu passes replace the later trading center Dartsedo.","false"
"province","darumbal_province","eastern_australia_area","land","Burnett–Fitzroy Lands","English hydronyms","paired river-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Queensland-state-Australia","medium","The Burnett and Fitzroy basins provide a broad physical frame without treating Darumbal as the entire province.","false"
"province","darumbal_province_coast","eastern_australia_high_sea_zones_area","marine","Capricorn–Moreton Waters","English geographic names","paired coastal maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Coral-Sea","medium","The Capricorn and Moreton coasts replace the raw Darumbal coast label.","false"
"province","darvaz_province","badakhshan_area","land","Western Upper Oxus–Pamir","Greek hydronym / local mountain name / English","river-mountain direction construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/darvaz/","high","The western upper Oxus and Pamir valleys replace later Darvaz administration.","false"
"province","dathina_province","south_yemen_area","land","Qana–Western Hadramaut","ancient South Arabian port and region / English","attested center-region direction construction","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/periplus/periplus.html","high","Qana and western Hadramaut frame the Shuqra–Lawdar corridor around AD 1.","false"
"province","datong_province","datong_area","land","Dai–Yanmen Frontier","Han Chinese region and commandery / English","attested paired frontier construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Dai and Yanmen frame the Han–Xiongnu frontier around Pingcheng before later Datong.","false"
"province","dawasir_province","najd_area","land","Wadi Dawasir Oasis Lands","Arabic hydronym / English","oasis-river construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Wadi-Al-Dawasir","medium","The oasis corridor retains its durable hydronym but expands beyond the unchanged vanilla label.","false"
"province","daylam_province","mazandaran_area","land","Daylam–Alborz Highlands","Iranian regional name / local mountain name / English","attested region-landscape construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/deylamites/","high","Daylam and the western Alborz highlands provide the Arsacid-era regional frame.","false"
"province","dazhou_province","chuandong_area","land","Eastern Ba–Qu River","Han Chinese historical region and hydronym / English","region-river direction construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","Eastern Ba country along the Qu River replaces later Dazhou administration.","false"
"province","dean_province","hubei_area","land","Jiangxia–Yunmeng","Han Chinese commandery and wetland names","attested administrative-landscape construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Jiangxia Commandery and the Yunmeng wetlands cover the Anlu–Xiaogan footprint at AD 1.","false"
"province","death_valley_province","great_basin_area","land","Tümpisa–Amargosa Basin","indigenous place name / hydronym / English","paired desert-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Death-Valley","high","Tümpisa and the Amargosa basin replace the modern English Death Valley name.","false"
"province","dechang_province","chuannan_area","land","Qiongdu–Anning Valley","Han Chinese polity name / local hydronym / English","attested people-river valley construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","Qiongdu communities and the Anning valley replace later Dechang administration.","false"
"province","deg_xitan_province","alaxsxaq_area","land","Kuskokwim–Yukon Woodlands","indigenous hydronyms / English","paired river archaeological landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Kuskokwim-River","medium","The Kuskokwim–Yukon interior receives a broad woodland frame without treating Deg Xitan as the whole province.","false"
"province","deh_kord_province","khuzestan_area","land","Uxian–Zagros Passes","Latinized Iranian ethnonym / local mountain name / English","attested people-mountain construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D15","high","Uxian country and central Zagros passes replace the later Deh-e Kord settlement name.","false"
"province","dehcho_province","columbia_interior_area","land","Mackenzie–Nahanni Lands","indigenous hydronyms / English","paired river-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Mackenzie-River","medium","The Mackenzie and Nahanni systems provide a physical frame without leaving the Dehcho name unchanged.","false"
"province","deheubarth_province","wales_area","land","Demetae","Latinized Brittonic ethnonym","attested people matched to footprint","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Demetae occupied southwestern Wales before medieval Deheubarth.","false"
"province","deir_province","levant_area","land","Palmyrene Euphrates Corridor","Latin historical region / classical hydronym / English","route-river construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D16","high","The Euphrates route between Palmyra and Dura replaces the later Deir ez-Zor name.","false"
"province","delaware_province","pennsylvania_area","land","Lenape–Brandywine Woodlands","indigenous ethnonym and hydronym / English","people-river archaeological landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Delaware-people","medium","Lenape communities and the Brandywine corridor replace the English colonial Delaware name.","false"
"province","delhi_province","doab_area","land","Indraprastha–Kuru Plain","Sanskrit city and regional names","attested center-region construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Delhi/History","high","Indraprastha and the Kuru plain replace the later Delhi city-province.","false"
"province","deli_province","north_sumatra_area","land","Barumun–East Sumatra Networks","local hydronym / English","river-coastal exchange construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Sumatra","medium","The Barumun-facing eastern Sumatran networks replace the later Deli sultanate.","false"
"province","demak_province","java_area","land","Muria–North Java Networks","local mountain name / English","coastal exchange construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Java-island-Indonesia","medium","The Muria peninsula and north Java coast replace the fifteenth-century Demak state.","false"
"province","demena_province","sicily_area","land","Tauromenium–Catana","Greek-Latin city names","attested paired centers","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D6","high","Tauromenium and Catana frame eastern Sicily before medieval Val di Demena.","false"
"province","dena_ina_province","alaxsxaq_area","land","Cook Inlet Dena'ina Lands","English geographic name / Dena'ina ethnonym","people-inlet construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Cook-Inlet","medium","Dena'ina lands around the inlet receive a broader geographic name than the raw ethnonym.","false"
"province","denaina_coast_sea_zones_province","alaska_sea_zones_area","marine","Cook Inlet–Kodiak Waters","English geographic names","paired coastal maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Cook-Inlet","medium","Cook Inlet and Kodiak passages replace the raw Denaina coast-sea label.","false"
"province","dengzhou_henan_province","henan_area","land","Nanyang–Deng Basin","Han Chinese commandery and ancient region names","attested administrative-basin construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Nanyang Commandery and the Deng basin cover southwestern Henan around AD 1.","false"
"province","dengzhou_province","haiyou_area","land","Donglai–Penglai Coast","Han Chinese commandery and ancient place names / English","attested administrative-coastal construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Donglai Commandery and Penglai coast replace later Dengzhou.","false"
"province","denkelia_province","northern_ethiopia_area","land","Adulis–Danakil Desert","Greek-Latin port name / local desert name","attested port-desert construction","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/periplus/periplus.html","high","The Danakil desert and approach to Adulis replace later Denkelia administration.","false"
"province","deqing_province","guangdong_area","land","Cangwu–Xijiang","Han Chinese commandery and hydronym","attested administrative-river construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The Xijiang corridor lay within Han Cangwu Commandery before later Deqing.","false"
"province","derajat_province","punjab_area","land","Middle Sindhu–Sulaiman","Sanskrit hydronym / local mountain name","river-mountain frontier construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/gandhara/","high","The middle Sindhu and Sulaiman foothills replace the later Dera-derived Derajat label.","false"
"province","derbyshire_province","midlands_area","land","Corieltauvi–Peak Lands","Latinized Brittonic ethnonym / English","attested people-upland construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","Corieltauvian Peak country replaces the later English shire.","false"
"province","derevskaya_province","east_novgorod_area","land","Valdai–Seliger Forest Lands","local geographic names / English","lake-upland construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Valdai-Hills","medium","The Valdai and Seliger forest-lake country replaces the later Derevskaya district.","false"
"province","derge_province","kham_area","land","Upper Drichu Eastern Valleys","Tibetan hydronym / English","river-valley direction construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Yangtze-River","medium","Eastern upper Drichu valleys replace the much later Derge kingdom.","false"
"province","derry_province","ulster_area","land","Darini–Robogdii","Latinized Brittonic ethnonyms","attested peoples composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D2","medium","Darini and Robogdii provide the nearest classical frame for northwestern Ulster before Derry.","false"
"province","desmond_province","munster_area","land","Iverni","Latinized Irish ethnonym","attested people matched to footprint","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D2","high","The Iverni occupied southwestern Ireland before medieval Desmond.","false"
"province","devkot_province","bengal_area","land","Puṇḍravardhana–Karatoya","Sanskrit region and hydronym","attested region-river construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Bengal-region-Asia","high","Puṇḍravardhana and the Karatoya corridor replace the later Devkot center.","false"
"province","devon_province","west_country_area","land","Dumnonii Heartland","Latinized Brittonic ethnonym / English","attested people and core construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","Devon and Dartmoor formed the Dumnonii heartland around AD 1.","false"
"province","dezful_province","khuzestan_area","land","Susa–Northern Elymais","Greek-Latin city and region / English","attested center-region direction construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/elymais/","high","Susa and northern Elymais frame the Dez–Karun foothills around AD 1.","false"
"province","dezhou_province","shandong_area","land","Pingyuan Commandery","Han Chinese administrative name / English","attested commandery","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","The Dezhou plain belonged to Han Pingyuan Commandery.","false"
"province","dhalam_province","hedjaz_area","land","Northern Najd Wells","Arabic regional name / English","directional oasis construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D16","medium","The northern Najd well-country replaces the later Dhalam settlement name.","false"
"province","dharug_bombala_province_coast","eastern_australia_high_sea_zones_area","marine","Eora–Yuin Waters","indigenous ethnonyms / English","paired people coastal maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/New-South-Wales","medium","The Eora- and Yuin-facing coast replaces the raw Dharug Bombala sea label.","false"
"province","dharug_province","southeastern_australia_area","land","Eora–Dharug Lands","indigenous ethnonyms / English","paired people landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/New-South-Wales","medium","Eora coastal and Dharug inland communities distinguish the province without exact pass-through.","false"
"province","dhundhar","rajputana_area","land","Matsya–Amber Hills","Sanskrit historical region / local place name / English","attested region-upland construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Rajasthan","high","Ancient Matsya and the Amber hills replace the later Dhundhar kingdom.","false"
"province","dien_chau_province","red_river_delta_area","land","Jiuzhen–Northern Rinan","Han Chinese commandery names / English","attested administrative direction construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The Nghệ An corridor lay between Han Jiuzhen and northern Rinan before Diễn Châu.","false"
"province","dignois_province","provence_area","land","Vocontii–Alpine Provincia","Latinized Gallic ethnonym / Latin region / English","attested people-province landscape construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","Vocontian Alpine lands within Provincia replace medieval Dignois.","false"
"province","dijonnais_province","burgundy_area","land","Divio–Northern Aedui","Latin place name / Latinized ethnonym / English","attested center-people direction construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Dijon","medium","Divio and northern Aeduan country replace medieval Dijonnais.","false"
"province","dikimdya_province","east_stanovoi_area","land","Aldan–Olyokma Highlands","local hydronyms / English","paired river-upland construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Aldan-River","medium","The Aldan and Olyokma highlands replace the narrow Dikimdya place name.","false"
"province","dikwa_province","bornu_area","land","Daima–Chad Iron Lands","archaeological site / lake name / English","archaeological-horizon lake construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Lake-Chad","high","Daima and Lake Chad iron-age communities replace the later Dikwa polity.","false"
"province","dingliao_province","liaodong_area","land","Xuantu–Yalu Frontier","Han Chinese commandery and hydronym / English","attested administrative-river frontier construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Xuantu Commandery and the Yalu frontier replace later Dingliao administration.","false"
