site_key,location,type,importance,religions,name,description,source,date_note
antq_monte_alban_ceremonial_center,zaachila,temple_complex,4,antq_mesoamerican,Monte Alban Ceremonial Centre,"The Zapotec hilltop capital joined plazas, monuments, tombs, and regional assembly above the Oaxaca valleys.",https://whc.unesco.org/en/list/415/,Zaachila is the nearest valid engine anchor; structures completed after AD 1 are not assumed.
antq_chavin_pilgrimage_center,chavin,pilgrimage_city,4,antq_andean,Chavin Ceremonial Centre,"The highland temple complex retained a far-reaching religious memory and pilgrimage landscape near the end of the Chavin horizon.",https://whc.unesco.org/en/list/330/,Importance reflects enduring prestige around AD 1 and not continued control by a Chavin state.
antq_early_tiwanaku_precinct,tiwanaku,temple_complex,3,antq_andean,Early Tiwanaku Precinct,"Lakeshore communities were developing a durable ceremonial centre linking farming, herding, exchange, and collective ritual.",https://whc.unesco.org/en/list/567/,Only the early settlement and ceremonial phases are represented; the later monumental state is excluded.
antq_scioto_hopewell_earthworks,scioto,ancestral_precinct,4,antq_north_american,Scioto Hopewell Earthworks,"Geometric earthworks, mounds, mortuary rites, and long-distance exchange made the Scioto valley a major gathering landscape.",NPS-HOPEWELL,Hopewell is used as an archaeological interaction horizon beginning around AD 1 and not as one tribe or state.
antq_oglakhty_ancestral_heights,minusinsk,ancestral_precinct,2,antq_siberian,Oglakhty Ancestral Heights,"Cemetery landscapes above the Yenisei represent the emerging Tes-Tashtyk transition and community memory in the Minusinsk Basin.",FU-TASHTYK,The campaign date lies near a cultural transition; later Tashtyk traits are not treated as fully formed.
antq_maitum_mortuary_precinct,makar,ancestral_precinct,3,antq_austronesian_religion,Maitum Mortuary Precinct,"Anthropomorphic burial jars express household ancestry, maritime contact, and distinctive mortuary craft in Sarangani.",CCP-MAITUM;NMP-PH-JARS,Calibrated dates cross the AD 1 boundary; the row does not impose one archipelago-wide religion.
antq_uluru_kata_tjuta_landscape,amadeus_lake,sacred_mountain,4,antq_australian_dreaming,Uluru-Kata Tjuta Living Landscape,"Rock formations, water places, routes, and inherited law form a deep-time cultural landscape for local custodial communities.",https://whc.unesco.org/en/list/447/,Lake Amadeus is the nearest valid engine field; the site is local and does not flatten continent-wide traditions into one cult.
antq_la_hueca_ancestral_precinct,vieques_island,ancestral_precinct,2,antq_caribbean,La Hueca Ancestral Precinct,"Ceramic and mortuary evidence on Vieques anchors an eastern Caribbean community network at the era boundary.",SCIADV-CARIB,The name denotes an archaeological assemblage and does not backdate later Taino or Island Carib identities.
antq_meghalaya_sacred_grove,lyngngam,sacred_grove,2,antq_eastern_hill_traditions,Meghalaya Highland Grove,"Forest clearings, ridges, ancestors, and community rites provide a locally bounded highland sacred landscape.",OUP-NEINDIA,The generic geographic name is intentional because named first-century sanctuaries are not securely recoverable.
antq_oxus_temple,qubodijon,temple_complex,4,antq_eastern_iranian_traditions,Oxus Temple at Takht-i Sangin,"The fortified sanctuary on the Oxus combined Iranian and Hellenistic offerings, images, arms, and elite patronage.",https://www.metmuseum.org/art/collection/search/322700,Qubodijon is the closest valid engine anchor; the mixed assemblage is not forced into later orthodox categories.
antq_niya_oasis_ancestral_precinct,niya,ancestral_precinct,2,antq_tarim_oasis_traditions,Niya Oasis Ancestral Precinct,"Irrigated settlement, cemeteries, caravan traffic, and household memory create a defensible local oasis cult focus.",IRAN-CT;HAN-WR,The row avoids projecting later Buddhist institutions or a securely Iranian identity onto AD 1.
antq_bangga_ancestral_precinct,lhasa,ancestral_precinct,2,antq_central_plateau_traditions,Bangga Valley Ancestral Precinct,"Farming, herding, burials, and long-lived settlement traditions provide a central Tibetan ritual landscape.",ANT-BANGGA;CAM-TIB-ARCH,Lhasa is a regional engine proxy; no later Tibetan imperial or monastic institution is backdated.
antq_yushu_mortuary_landscape,yushu,ancestral_precinct,2,antq_eastern_plateau_traditions,Yushu Mortuary Landscape,"Highland pastoral communities marked ancestry and territory through cemeteries, seasonal routes, and material exchange.",RAD-YUSHU,This is a broad eastern plateau archaeological anchor rather than a named first-century temple.
antq_vidarbha_megalithic_precinct,chandrapur,ancestral_precinct,2,antq_central_indian_traditions,Vidarbha Megalithic Precinct,"Megalithic burials, iron objects, livestock, and settlement ties made mortuary grounds durable community landmarks.",CAM-CENTRAL-INDIA-MEGALITHS,Chandrapur is a regional engine anchor and no later dynastic temple is implied.
antq_plain_of_jars_mortuary,phonsavan,ancestral_precinct,3,antq_mainland_southeast_asian_traditions,Plain of Jars Mortuary Landscape,"Monumental stone jars and associated burial practices created a distinctive upland gathering and mortuary landscape.",UNESCO-JARS,Phonsavan is the valid engine anchor; dates span the Iron Age and the row avoids assigning a later ethnicity.
antq_middle_amur_ancestral_precinct,aigun,ancestral_precinct,2,antq_amur_ussuri_traditions,Middle Amur Ancestral Precinct,"Settlements, cemeteries, fishing, hunting, and iron-working horizons anchor a local riverine ritual landscape.",NMJH-YIL;CAM-PROTOTUNGUSIC,Aigun is a regional proxy and the row does not impose a uniform Tungusic identity.
antq_niah_mortuary_caves,niah,ancestral_precinct,3,antq_borneo_late_prehistoric_traditions,Niah Mortuary Caves,"Caves, burials, objects, and rainforest-coast exchange sustained a long-lived sacred and mortuary landscape in northwest Borneo.",ANU-NIAH-METAL,The row represents varied local Metal Age communities rather than a single Bornean religion.
antq_bomberai_ancestor_caves,kaimana,ancestral_precinct,2,antq_papuan_local_traditions,Bomberai Ancestor Caves,"Cave occupation, pottery, shell, ochre, and coastal movement provide a durable place-based focus for local ancestors.",ANU-BOMBERAI,The archaeology supports a regional adapter only and not one trans-New-Guinea identity.
antq_guahan_ancestral_shore,guahan,ancestral_precinct,2,antq_mariana_island_traditions,Guahan Ancestral Shore,"Deeply established island communities tied ancestry, settlement, reef use, and voyaging knowledge to Guahan's coasts.",WA-MARIANA,No later latte-stone political system is projected wholesale onto AD 1.
antq_yap_ancestral_precinct,yap,ancestral_precinct,2,antq_western_caroline_traditions,Yap Ancestral Precinct,"Early island settlement and seafaring connections are represented through household ancestors and a locally rooted ceremonial place.",ICA-YAP,The chronology remains cautious and later stone-money networks are not backdated.
antq_acutuba_ancestral_precinct,manaos,ancestral_precinct,2,antq_central_amazon_traditions,Acutuba Ancestral Precinct,"Ceramic communities around the central Amazon linked river routes, settlements, cultivated landscapes, and ancestral memory.",SA-EXPANSIONS;ACUTUBA-CHRON,Manaos is the regional engine anchor; Acutuba is an archaeological phase rather than a named polity or ethnicity.
