granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
location,a_keis,nama_province,land,Gariep Namaqua Hunter Karst,Khoekhoe-derived local name / English,local-name landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The indigenous place-name is retained within a nonurban plateau frame.,false
location,aalst,east_flanders_province,land,Nervian Dender Lands,Latinized Gallic ethnonym / local hydronym,people-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,The Dender basin belonged to the Nervian sphere before medieval Aalst.,false
location,aankwaahsakwa,wapinippi_province,land,Hopewell Aankwaahsakwa,archaeological culture label / indigenous local name,culture-feature construction,installed:in_game/map_data/location_templates.txt;NPS-HOPEWELL,medium,The local hydronym is placed within the contemporary Hopewell interaction sphere.,false
location,aantaara_point,somalia_coast_sea_province,sea,Azanian Aantaara Headland,Ancient Greek regional term / local cape name,region-feature maritime construction,installed:in_game/map_data/location_templates.txt;PER,medium,The headland waters belonged to the wider Azanian maritime route.,false
location,aarau,aargau_province,land,Helvetii Aare Bend,Latin ethnonym / local hydronym,people-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,The Aare bend lay in Helvetian territory before medieval Aarau.,false
location,aarhus,eastern_jutland_province,land,Cimbri Charudes Peninsula,Latin ethnonym / local bay name,people-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Jutish coastal communities occupied the bay long before the medieval settlement.,false
location,aashbikkaashee,iisaxpuatahcheeaashe_province,land,Bighorn Besant Badlands Karst,Plains indigenous name / English,local-name subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The indigenous name is retained in a mobile plateau-occupation frame.,false
location,aashbiliihkupe,ihkowom_iyo_he_province,land,Besant Chalk,Plains indigenous name / English,local-name subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The hill district is represented through seasonal camps rather than a later settlement.,false
location,aashise,aashise_province,land,Aashishe Mountain Territory,Plains indigenous name / English,local-name landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The indigenous territorial name is framed around its mountain landscape.,false
location,aays,kitaish_province,land,Red Brazos Coastal Heather,ancient polity name / local place and hydronym,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The plain lay in the northern Horn exchange sphere associated with early Aksum.,false
location,aba_al_qur,jawf_province,land,Qedarite Qur–Jawf Wells,ancient ethnonym / local place names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Named wells replace a later settlement reading in the north Arabian oasis corridor.,false
location,abaco_coast,bahamans_sea_zone,sea,Shallow-Bank,local island name / English,documented-unpeopled maritime construction,installed:in_game/map_data/location_templates.txt;SCIADV-CARIB,high,The northern Bahamas were not permanently settled at the campaign date.,false
location,abacoa,bahamas_province,land,Shallow-Bank Isles,local island name / English,documented-unpeopled landscape construction,installed:in_game/map_data/location_templates.txt;SCIADV-CARIB,high,The Bahamas had no established human population in AD 1.,false
location,abadan,basra_province,land,Characene Tigris–Karun Marshes,ancient polity name / local hydronyms,polity-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,high,The lower river marshes belonged to Characene rather than the later town of Abadan.,false
location,abadeh,abarkuh_province,land,Persis Anshan–Abarkuh Uplands,Latin regional name / ancient and local place names,region-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The upland route linked the Anshan heartland with the desert margin.,false
location,abadeh_tashk,shiraz_province,land,Persis Tashk–Bakhtegan Hills,Latin regional name / local lake names,region-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,high,The paired lake basins formed an inland district of Persis.,false
location,abaga,amga_province,land,Xianbei Abaga–Amga Hills,Xianbei ethnonym / local names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;HAN-WR,medium,The hill corridor lay in the eastern steppe world associated with Xianbei groups.,false
location,abagaita,upper_argun_province,land,Xianbei Abagaita–Argun Plateau,Xianbei ethnonym / local place and hydronym,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;HAN-WR,medium,The plateau formed part of the Xianbei-facing Argun corridor.,false
location,abaiang_atoll,tungaru_province,land,Proto-Micronesian Abaiang,reconstructed regional linguistic label / local island name,group-island construction,installed:in_game/map_data/location_templates.txt;ANU-MIC,medium,Settled atoll communities are distinguished from later political identities.,false
location,abaiang_coast,aranauka_sea_zones_province,sea,Abaiang-Aranuka Reef Passage,local island names,paired-island maritime construction,installed:in_game/map_data/location_templates.txt;ANU-MIC,medium,The name follows the navigated lagoon corridor between neighboring atolls.,false
location,abakasnk,minusinsk_province,land,Tashtyk Abakan–Minusinsk Hills,archaeological culture name / local hydronym and basin name,culture-paired-feature construction,installed:in_game/map_data/location_templates.txt;FU-TASHTYK,high,Tashtyk communities occupied the Abakan and Minusinsk basin around AD 1.,false
location,abala,enderta_province,land,Aksumite Tigray Aksum Chalk,ancient polity name / local place name,polity-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The escarpment connected the Danakil lowlands with the early Aksumite highlands.,false
location,abalak,ader_province,land,Tarka Tahoua Sahel Flint,local regional and place names,paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Pastoral wells define the first-century landscape more accurately than a town.,false
location,abalessa,central_sahara,land,Tassili Palm Routes,ancient ethnonym / local massif and place names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The central Saharan route lay beyond the Garamantian core but within its exchange horizon.,false
location,abalessa_djanet_corridor,central_sahara,land,Garamantian Tassili n'Ajjer,ancient ethnonym / local massif name,people-feature route construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The mountain passage linked Saharan pastoral and caravan landscapes.,false
location,aban,manzaya_province,land,Chuna Angara Taiga Cypress,local place and regional names,paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The paired local names describe a riverine farming district without a later-state claim.,false
location,abare_i,itapeva_province,land,Abaré–Itapeva Plateau Villages,indigenous local names / English,paired-feature settlement construction,installed:in_game/map_data/location_templates.txt;SA-EXPANSIONS,medium,Dispersed horticultural villages occupied the southern Brazilian plateau.,false
location,abarkuh,abarkuh_province,land,Persis Yazd–Pasargadae Road,Latin regional name / ancient place names,region-paired-center route construction,installed:in_game/map_data/location_templates.txt;PER,medium,The desert-edge corridor connected inland Persis with the Yazd basin.,false
location,abashiri,kitami_province,land,Epi Jōmon Okhotsk Amber Meadow,archaeological horizon name / local place names,horizon-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Epi-Jōmon communities occupied eastern Hokkaido before the later Okhotsk horizon.,false
location,abau,maia_province,land,Abau River-Mouth Villages,Papuan local name / English,local-name settlement-feature construction,installed:in_game/map_data/location_templates.txt;JPA-PAPUA,medium,The river-mouth landscape supported dispersed Papuan horticultural communities.,false
location,abbeville,ponthieu_province,land,Ambiani Somme Estuary,Latinized Gallic ethnonym / local hydronym,people-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,The lower Somme lay in the territory of the Ambiani before medieval Abbeville.,false
location,abdalkuri_coast,arabian_sea_province,sea,Dioscoridan Abd al-Kuri Waters,ancient island-region adjective / local island name,region-feature maritime construction,installed:in_game/map_data/location_templates.txt;PER,medium,The waters west of Dioscorides formed part of the Erythraean Sea route.,false
location,abdalkuri_island,mahra_province,land,Dioscoridan Abd al-Kuri Island,ancient island-region adjective / local island name,region-island construction,installed:in_game/map_data/location_templates.txt;PER,medium,The island belonged to the maritime world around ancient Dioscorides.,false
location,abdanan,wasit_province,land,Elymaean Zagros–Tigris,ancient ethnonym / regional and river names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The foothill corridor lay between Elymais and the lower Tigris plain.,false
location,abdas,basra_province,land,Characene Lower-Tigris,ancient polity name / ancient hydronym,polity-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,Reed marshes formed the agrarian hinterland of Characene.,false
location,abdulino,bavly_province,land,Sarmatian Ik–Belaya Steppe,ancient ethnocultural label / local hydronyms,group-paired-water construction,installed:in_game/map_data/location_templates.txt;WIL-SAR,medium,Sarmatian-era pastoral networks crossed the southern Ural riverlands.,false
location,abe,suruga_province,land,Yayoi Abe–Suruga Highlands,archaeological period / local place and regional names,period-paired-feature construction,installed:in_game/map_data/location_templates.txt;ISIJ-YAY,medium,Yayoi farming communities occupied the Suruga-facing uplands.,false
location,abegweit_passage,new_brunswick_sea_zones_province,sea,Wolastoq Chaleur Maritime,archaeological period / indigenous island name,period-feature maritime construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Woodland-period coastal communities navigated the strait around Abegweit.,false
location,abemama_atoll,tungaru_province,land,Proto-Micronesian Abemama,reconstructed regional linguistic label / local island name,group-island construction,installed:in_game/map_data/location_templates.txt;ANU-MIC,medium,Settled atoll communities are represented without a later kingdom identity.,false
location,abemama_coast,tungaru_sea_zones_province,sea,Abemama Reefward Lagoon,local island name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;ANU-MIC,medium,The lagoon and reef describe the navigated setting of the atoll communities.,false
location,abengourou,nzima_province,land,Comoé–Bia Country,local hydronyms / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Early iron-working farming communities occupied the eastern Ivorian forest margin.,false
location,aberdeen,aberdeenshire_province,land,Taexali Dee–Don Estuary,Latinized ancient ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,high,The Dee and Don mouths lay within the territory attributed to the Taexali.,false
location,aberdeen_lake,thaolintoa_province,lake,Thaolintoa Western Mere,indigenous regional name / local lake name,paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The lake is named within its indigenous territorial setting rather than as a colonial settlement.,false
location,aberfeldy,perthshire_province,land,Caledonii Tay–Tummel Lands,Latin ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,medium,The upper Tay and Tummel valleys belonged to the Caledonian highland sphere.,false
location,aberystwyth,deheubarth_province,land,Demetae Ystwyth–Rheidol Coast,Latinized Brittonic ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,medium,The western river mouths lay near the northern edge of Demetian territory.,false
location,abesehir,wadai_province,land,Wadai–Ouara Plain,local regional names / archaeological English,paired-feature archaeological construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Iron Age settlements preceded the later city and sultanate labels.,false
location,abha,abha_province,land,Sabaean Sarat–Abha Highlands,ancient polity name / local regional and place names,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The highland exchange corridor faced the Sabaean and Red Sea worlds.,false
location,abhar,qazvin_province,land,Abhar–Qazvin Plain,ancient regional adjective / local place names,region-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The plain lay on the western Iranian route between Media and Rhagae.,false
location,abihka,abihka_province,land,Coosa Villages Woodland,archaeological period / local hydronyms,period-paired-water settlement construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Woodland communities occupied the paired river basins before later confederacies.,false
location,abil,abha_province,land,Sabaean Asir–Tihama Passage,ancient polity name / local regional names,polity-paired-feature route construction,installed:in_game/map_data/location_templates.txt;PER,medium,The highland passage linked the Asir plateau to the Tihama coast.,false
location,abimatinu,moosonee_province,land,Moose Abitibi Môsonîy Birch,archaeological period / indigenous local name and hydronym,period-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Subarctic hunting and fishing communities occupied the Moose drainage.,false
location,abingdon,berkshire_province,land,Atrebates Thames–Ock,Latinized Brittonic ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,high,The confluence lay within the Atrebatic upper Thames sphere.,false
location,abisko,torne_lappmark_province,land,Sámi Torne Käsivarsi Pine,Sámi ethnonym / local place and hydronym,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Sámi hunting communities used the mountain and lake corridor.,false
location,abitau,dubawnt_province,land,Thelon Dubawnt Athabasca,archaeological horizon / local lake and river names,horizon-paired-water construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Mobile hunter-fisher groups used the wetland and lake network.,false
location,abitibi_uplands,moosonee_province,land,Moose Môsonîy Muskeg Hazel,archaeological period / local regional and river names,period-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The uplands formed a hunting corridor between the Abitibi and Moose watersheds.,false
location,abiward,tejend_province,land,Parthian Nisa–Margiana Road,ancient polity and place names,polity-paired-center route construction,installed:in_game/map_data/location_templates.txt;HAN-WR,high,The road crossed Parthian territory between Nisa and Margiana before medieval Abiward.,false
location,abiy_addi,tigray_province,land,Aksumite Agame–Mareb Hills,ancient polity name / local regional name and hydronym,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The hills belonged to the northern highland sphere of early Aksum.,false
location,abiz,qaen_province,land,Sagartian Qaen–Lut Edge,ancient ethnonym / local place and desert names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;HAN-WR,medium,Eastern Iranian pastoral and oasis communities occupied the desert margin.,false
location,abo,finland_province,land,Finnic Aura Estuary,Finnic ethnolinguistic term / local hydronym,group-feature construction,installed:in_game/map_data/location_templates.txt;ENC-NEEU,medium,Finnic riverine communities occupied the Aura mouth before medieval Åbo.,false
location,abo_skargard,north_baltic_sea,sea,Finnic Aura Archipelago Waters,Finnic ethnolinguistic term / local hydronym,group-feature maritime construction,installed:in_game/map_data/location_templates.txt;ENC-NEEU,medium,The island waters formed the maritime approach to the Aura riverlands.,false
location,abomey,fon_province,land,Ouémé–Zou Country,local hydronyms / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Iron Age farming communities predated the much later Dahomey capital.,false
location,abong,sanaga_province,land,Sanaga–Nyong Forest,local hydronyms / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;JAH-BANTU-MOBILITY,medium,Early iron-working and foraging communities shared the forest corridor.,false
location,aborlan,palawan_province,land,Tabon–Aborlan Cave Coast,archaeological site and local place names,paired-feature construction,installed:in_game/map_data/location_templates.txt;NMP-TABON,high,Palawan's cave and coastal communities preceded later political identities.,false
location,abrahamtelke,pest_province,land,Iazyges Danube–Tisza Plain,Latin Sarmatian ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;WIL-SAR,high,Iazyges Sarmatians occupied the interfluve during the early Roman period.,false
location,abruzzo_coast,adriatic_sea_province,sea,Piceni–Marrucini Hadriatic,Latin ethnonyms / ancient sea-name,paired-peoples maritime construction,installed:in_game/map_data/location_templates.txt;PER,high,The central Italian shore faced the Hadriatic from Picene and Marrucinian lands.,false
location,abu,nagato_province,land,Yayoi Abu–Nagato Coast,archaeological period / local regional names,period-paired-feature construction,installed:in_game/map_data/location_templates.txt;ISIJ-YAY,medium,Yayoi maritime farming communities occupied western Honshu.,false
location,abu_abyad_island,julfar_coastal_sea_zones_province,sea,Omana–Tylos Pearl-Bank Isle,ancient regional names / English feature term,paired-regions maritime construction,installed:in_game/map_data/location_templates.txt;PER,medium,The island lay among the pearl banks between Omana and Tylos.,false
location,abu_dawood_cape,masqat_coastal_sea_zones_province,sea,Omana Abu Dawood Headland,ancient regional name / local cape name,region-feature maritime construction,installed:in_game/map_data/location_templates.txt;PER,medium,The cape marked the sea route along ancient Omana.,false
location,abu_dhabi,julfar_province,land,Omana–Tylos Pearl Coast,ancient regional names / English feature term,paired-regions feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,Coastal communities worked the pearl-rich shallows between Omana and Tylos.,false
location,abu_gamys_cape,qatar_coastal_sea_zones_province,sea,Cataraean Abu Gamys Cape,ancient regional adjective / local cape name,region-feature maritime construction,installed:in_game/map_data/location_templates.txt;PER,medium,The headland waters belonged to the Cataraean side of the inner gulf.,false
location,abu_hamed,makuria_province,land,Meroitic Fifth-Cataract Bend,ancient polity name / English river feature,polity-feature construction,installed:in_game/map_data/location_templates.txt;OUP-MERO,high,The Nile bend below the Fifth Cataract formed a Meroitic river corridor.,false
location,abu_jungle,melpa_province,land,Melpa Wahgi Forest,indigenous ethnonym / local hydronym / English,people-feature construction,installed:in_game/map_data/location_templates.txt;JPA-PAPUA,medium,Highland horticultural communities occupied the Wahgi forest mosaic.,false
location,abu_kemal,furat_province,land,Dura–Thapsacus Euphrates,ancient place names / ancient hydronym,paired-center water construction,installed:in_game/map_data/location_templates.txt;PER,high,The middle Euphrates reach linked the Roman-Parthian frontier centers.,false
location,abu_qasr,sirhan_province,land,Sirhan Dumat Terraces,ancient ethnonym / local regional and place names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,North Arabian pastoral routes followed the Sirhan wells.,false
location,abu_rakah,turbah_province,land,Arabian Sarat–Turbah Wells,ancient regional adjective / local region and place names,paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The wells connected the Sarat uplands with inland Arabia.,false
location,abulat_island,nubia_coast_sea_province,sea,Berenice–Adulis Channel Isle,ancient port names / English feature term,paired-center maritime construction,installed:in_game/map_data/location_templates.txt;PER,high,The island lay on the Red Sea sailing route between Berenice and Adulis.,false
location,abun,doberai_province,land,Abun–Kebar Mountain Villages,Papuan local name and valley name / English,paired-feature settlement construction,installed:in_game/map_data/location_templates.txt;ANU-BOMBERAI,medium,Papuan horticultural villages occupied the Bird's Head mountain valleys.,false
location,abun_coast,bakaro_coastal_sea_zones_province,sea,Abun–Tambrauw Coastal Waters,Papuan local and regional names,paired-feature maritime construction,installed:in_game/map_data/location_templates.txt;ANU-BOMBERAI,medium,The coastal waters fronted the northern Bird's Head communities.,false
location,aburakeiru,leeward_islands_province,land,Saladoid Aburakeiru Island,archaeological culture label / indigenous island name,culture-island construction,installed:in_game/map_data/location_templates.txt;SCIADV-CARIB,high,Saladoid ceramic communities occupied the Lesser Antilles around AD 1.,false
location,aburra,nechi_province,land,Zenú Nechí–Cauca Highlands,indigenous regional name / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Early riverine communities occupied the Nechí and Cauca uplands before later chiefdoms.,false
location,abuta,iburi_province,land,Urewe Iburi–Semliki Hills,archaeological culture name / local regional name and hydronym,culture-paired-feature construction,installed:in_game/map_data/location_templates.txt;QI-EAFRICA,medium,Urewe-horizon communities occupied parts of the interlacustrine western highlands.,false
location,abutua,middle_zambezi_province,land,Zambezi Plateau Hunter-Farmer,local hydronym / archaeological English,feature subsistence construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,medium,Hunter-forager and emerging farmer communities shared the plateau near AD 1.,false
location,aby_lagoon,ivory_coast,sea,Comoe-Aby Estuary,local hydronym and lagoon name,paired-water maritime construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Lagoon communities linked the forest margin to coastal fisheries.,false
location,abyan_coast,gulf_aden_province,sea,Eudaemon Arabia–Cana Coastal,ancient port and regional names,paired-center maritime construction,installed:in_game/map_data/location_templates.txt;PER,high,The coast lay on the route between Eudaemon Arabia and Cana.,false
location,abyy,south_yandin_province,land,Yana Indigirka Alais Cypress,local hydronyms / archaeological English,paired-water subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Arctic hunter-fisher groups occupied the wetland river corridor.,false
location,acambaro,ihuatzio_province,land,Chupícuaro Lerma–Laja Villages,archaeological culture name / local hydronyms,culture-paired-water settlement construction,installed:in_game/map_data/location_templates.txt;INAH-CHUPICUARO,high,Chupícuaro communities flourished across the Guanajuato river basins around AD 1.,false
location,acanti,kuna_province,land,Atrato–Acandí Horticultural,local hydronyms / archaeological English,paired-feature subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Isthmo-Colombian horticultural communities occupied the Caribbean-facing hills.,false
location,acaponeta,guarisamey_province,land,Tomb Acaponeta Plain,archaeological tradition / local place and hydronym,tradition-paired-feature construction,installed:in_game/map_data/location_templates.txt;INAH-WEST-SHAFT,high,West Mexican shaft-tomb communities occupied the Nayarit coastal plain.,false
location,acapulco_bay,pacific_mesoamerica_sea_zones_province,sea,Mezcala Acapulco Bay,archaeological regional name / local bay name,culture-feature maritime construction,installed:in_game/map_data/location_templates.txt;INAH-MEZCALA,medium,The bay served communities linked to the Mezcala cultural region.,false
location,acarau,acarau_province,land,Acaraú–Corea Shell-Mound Lands,local hydronyms / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;SA-EXPANSIONS,medium,Coastal fishing and horticultural communities occupied the northern Brazilian riverlands.,false
location,acari,ica_province,land,Early-Intermediate Acari,Andean archaeological period / local valley name,period-feature construction,installed:in_game/map_data/location_templates.txt;CAM-NASCA-EIP,medium,The valley stood at the transition toward the south-coast Early Intermediate traditions.,false
location,acasaguastlan,cuauhtemallan_province,land,Late-Preclassic Maya Motagua,archaeological period / ethnolinguistic label / local hydronym,period-group route construction,installed:in_game/map_data/location_templates.txt;SCI-MAY,high,Maya communities used the Motagua corridor during the Late Preclassic.,false
location,acatic,tonala_province,land,Teuchitlán Acatic Highlands,archaeological tradition / local place name,tradition-feature construction,installed:in_game/map_data/location_templates.txt;INAH-TEUCHITLAN,high,The highlands participated in the contemporary central Jalisco settlement network.,false
location,acay_mountains,puma_province,land,Atacama Puna Pukara Limestone,archaeological culture name / local mountain name,culture-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Ciénaga-era communities used the surrounding puna while the highest peaks remained uninhabited.,false
location,acayucan,coatzacoalco_province,land,Epi Tuxtla Plain,archaeological cultural label / local hydronym and massif name,culture-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Epi-Olmec communities occupied the southern Gulf lowlands around AD 1.,false
location,accomac,chesapeake_province,land,Delmarva Chesapeake,archaeological period / local geographic names,period-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Woodland communities occupied the peninsula and estuarine shore before later Accomac identity.,false
location,accra,fante_province,land,Densu–Volta Coast,local hydronyms / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Iron Age coastal communities preceded the later Accra settlement and Ga state.,false
location,accra_point,ivory_coast,sea,Densu–Volta Coastal Waters,local hydronyms,paired-water maritime construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,These waters fronted the Iron Age communities of the eastern Gold Coast.,false
location,acerenza,basilicata_province,land,Acherontia of Lucania,Latin place and regional names,attested center-region construction,installed:main_menu/localization/english/location_names/location_names_l_english.yml;PER,high,Acherontia was the Roman hill settlement corresponding to Acerenza.,false
location,achacachi,tiwanaku_province,land,Pukara–Tiwanaku Achacachi,archaeological culture names / local place name,paired-culture feature construction,installed:in_game/map_data/location_templates.txt;MET-ANDES-1500,high,The Titicaca shore lay between contemporary Pukara and early Tiwanaku interaction spheres.,false
location,achachiwa,kanamarca_province,land,Pukara Kanamarca–Vilcanota,archaeological culture name / local place and hydronym,culture-paired-feature construction,installed:in_game/map_data/location_templates.txt;MET-ANDES-1500,medium,Pukara-linked highland communities occupied the northern Titicaca approaches.,false
location,achaivayam,east_koryak_province,land,Penzhina Olyutor Maritime,local hydronyms / archaeological English,paired-water subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Mobile hunting and fishing groups occupied the northeastern Siberian hill rivers.,false
location,achaka,north_kolyma_province,land,Kolyma Omok Lena Peat Reach,local hydronyms / archaeological English,paired-water subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Arctic hunter-fisher groups used the Kolyma wetland network.,false
location,acham,lower_ghaghara_province,land,Kirata Karnali–Seti Hills,ancient Himalayan ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The western Himalayan hills were associated broadly with Kirata mountain communities.,false
location,achan,bolon_province,land,Amur Sungari Pol Cypress Carr,local place and regional names / English,paired-feature settlement construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Dispersed wetland villages replace an unsupported later urban identity.,false
location,achava,east_itelmen_province,land,Kamchatka Maritime Itelmen,local hydronym and peninsula name / archaeological English,paired-feature subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Hunting and fishing communities occupied the eastern peninsula drainages.,false
location,achchen_bay,chukchi_coast_province,sea,Anadyr Diomede Maritime Tidal,local bay and regional names,paired-feature maritime construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Maritime hunting communities used the bay and adjacent Chukchi coast.,false
location,achen,chubut_province,land,Aónikenk Lava Bench,local hydronym and place name / archaeological English,paired-feature subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Mobile Patagonian hunter communities occupied the interior hills.,false
location,achikamii,kenogami_province,land,Nagagami Kabinakagami Abitibi,indigenous lake names / archaeological English,paired-water period construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Woodland hunter-fisher communities occupied the paired lake basins.,false
location,achim,aller_province,land,Cherusci Aller–Weser Plain,Latin ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,high,The lower Aller plain lay in the Cheruscan sphere around AD 1.,false
