granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","eifel_province","rhineland_area","land","Eburones–Treveri Uplands","Latinized ethnonyms / English","attested peoples and landscape composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Eifel uplands lay between Eburonian and Treveran country around AD 1.","false"
"province","erg_selima_province","nubia_proper_area","land","Kushite Western Desert Routes","polity adjective / English","attested polity-caravan landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Kush-ancient-region-Africa","medium","Western desert routes linked Nile Kush to Saharan oases without a later Erg Selima administrative frame.","false"
"province","erie_province","westsylvania_area","land","Lake Erie–Allegheny Hopewell","lake name / indigenous geographic name / archaeological label","lake-upland archaeological-horizon construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Hopewell-culture","high","The Erie shore and Allegheny uplands participated in wider Hopewell networks around AD 1.","false"
"province","eritrean_coast_sea_province","red_sea_area","marine","Adulis–Farasan Waters","Greek-Latin port / local island name / English","attested port-archipelago maritime construction","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/periplus/periplus.html","high","Adulis and the Farasan archipelago anchor the southern Red Sea passage.","false"
"province","erri_province","chuvan_area","land","Chukchi–Amguema Tundra","indigenous regional name and hydronym / English","river-tundra construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Chukchi-Peninsula","medium","The Amguema tundra and Chukchi peninsula replace the narrow Erri name.","false"
"province","errif_province","morocco_area","land","Mauri–Rif Coast","Latinized ethnonym / local mountain name / English","attested people-coastal construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D17","high","Mauri communities along the Rif coast replace the later Errif regional form.","false"
"province","erzgebirge_province","upper_saxony_area","land","Hermunduri Ore Uplands","Latinized Germanic ethnonym / English","attested people-upland construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","Hermunduri uplands replace the medieval mining-derived Ore Mountains label.","false"
"province","erzurum_province","armenian_highlands_area","land","Upper Euphrates Armenia","classical hydronym and region / English","attested river-region construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D11","high","The upper Euphrates Armenian plateau replaces the later Erzurum city name.","false"
"province","eseka_province","gulf_of_guinea_area","land","Nyong–Sanaga Forests","local hydronyms / English","paired river-forest construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Sanaga-River","medium","The Nyong and Sanaga forests replace the later Eséka town name.","false"
"province","esfarayen_province","western_khorasan_area","land","Eastern Comisene–Parthia","Greek-Latin regions / English","attested paired region direction construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/parthia-2/","high","Eastern Comisene and Parthia frame the Esfarayen–Jajarm corridor at AD 1.","false"
"province","eskikewakik_province","acadia_area","land","Eastern Mi'kma'ki Atlantic","Mi'kmaq regional name / English","indigenous country plus direction construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Mikmaq","medium","Eastern Mi'kma'ki provides a broader regional frame than the single Eskikewakik district.","false"
"province","essequibo_province","guayana_area","land","Essequibo–Demerara Lands","indigenous hydronyms / English","paired river-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Essequibo-River","high","The Essequibo and Demerara rivers distinguish the Guiana shield province without exact pass-through.","false"
"province","essex_province","east_anglia_area","land","Trinovantes","Latinized Brittonic ethnonym","attested people matched to footprint","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Trinovantes occupied Essex and Camulodunum around AD 1.","false"
"province","estonia_province","baltic_area","land","Aesti–Northern Finnic Lands","Latinized ethnonym / English","attested people and language-region construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","medium","Aestian and northern Finnic communities replace the medieval-modern Estonia name.","false"
"province","estremadura_province","south_portugal_area","land","Olisipo–Tagus Coast","Latin city name / local hydronym / English","attested center-river coastal construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D3","high","Olisipo and the Tagus coast replace the medieval Portuguese Estremadura.","false"
"province","etzanoa_province","central_plains_area","land","Arkansas–Walnut River Woodlands","indigenous hydronyms / English","paired river archaeological landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Woodland-cultures","medium","The Arkansas and Walnut corridors receive an AD 1 Woodland frame instead of the much later Etzanoa settlement.","false"
"province","euboea_coast_province","aegean_sea_area","marine","Euboic–Sporades Waters","Greek island and archipelago names / English","paired maritime geography construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D10","high","The Euboic channels and Sporades waters replace the raw coast label.","false"
"province","euboea_province","aegean_archipelago_area","land","Euboea–Sporades Isles","Greek island and archipelago names / English","paired attested island construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D10","high","Euboea and the Sporades jointly cover the province without exact pass-through.","false"
"province","evros_province","thrace_area","land","Hebrus–Bistonia","Greek-Latin hydronym and region","attested river-region construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","high","The Hebrus valley and Bistonia replace the modern Evros province name.","false"
"province","ewaso_ngiro_province","egaso_ngiro_area","land","Samburu–Ewaso Pastoral Lands","indigenous ethnonym and hydronym / English","people-river pastoral construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Ewaso-Ngiro-River","medium","Samburu-facing Ewaso grazing lands prevent exact pass-through while avoiding a state claim.","false"
"province","ewe_province","gold_coast_area","land","Volta–Mono Forests","local hydronyms / English","paired river-forest construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Volta-River","medium","The Volta and Mono forests replace the later Ewe ethnolinguistic province.","false"
"province","ezo_coast_sea_province","sea_of_japan_area","marine","Epi-Jōmon Hokkaido Western Waters","Japanese archaeological terminology / English","archaeological-horizon maritime construction","installed:in_game/map_data/definitions.txt;https://eprints.lib.hokudai.ac.jp/dspace/handle/2115/38237","high","Western Hokkaido waters inherit the contemporary Epi-Jōmon cultural frame.","false"
"province","ezorongondo_province","namib_area","land","Namib–Khomas Hunter-Herder Lands","local desert and upland names / archaeological English","ecological-subsistence construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Namib","medium","Namib and Khomas hunter-herder landscapes replace the narrower Ezorongondo name.","false"
"province","fadak_province","najd_area","land","Khaybar–Fadak Oases","Arabic oasis names / English","paired oasis construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D16","medium","The paired oasis corridor avoids leaving Fadak unchanged while retaining durable geography.","false"
"province","fakarava_coastal_sea_zones_province","tuamotu_sea_zones_area","marine","Central Low-Atoll Waters","English","uninhabited physical maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Tuamotu-Archipelago","medium","The uninhabited AD 1 central atoll waters replace later Fakarava naming.","false"
"province","fakarava_province","palliser_area","land","Western Central Low Atolls","English","uninhabited physical archipelago construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Tuamotu-Archipelago","medium","The atolls were uninhabited in AD 1; a physical directional name replaces Fakarava.","false"
"province","falklands_province","falklands_area","land","Far Southern Twin Isles","English","uninhabited physical island construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Falkland-Islands","medium","The uninhabited islands receive a physical name without the colonial Falklands label.","false"
"province","fangatau_province","tuamotu_area","land","Far Eastern Low Atoll","English","uninhabited physical island construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Tuamotu-Archipelago","medium","The uninhabited eastern atoll receives a physical AD 1 name instead of Fangatau.","false"
"province","fangzhou_province","hubei_area","land","Hanzhong–Fangling Gorge","Han Chinese commandery and ancient county names / English","attested administrative-gorge construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Fangling and the Hanzhong-Han River gorge replace later Fangzhou.","false"
"province","fante_province","gold_coast_area","land","Volta–Ankobra Forest","local hydronyms / English","paired river forest-community construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Volta-River","medium","The Volta and Ankobra forests replace the later Fante identity across the province.","false"
"province","farah_province","sistan_area","land","Drangiana–Farah Plain","Greek classical region / local hydronym / English","attested region-river landscape construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/drangiana/","high","The Farah plain belonged to ancient Drangiana around AD 1.","false"
"province","faraveh_province","western_khorasan_area","land","Hyrcanian Gates–Dahistan","Greek classical geographic and regional names","attested route-region construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/dehestan/","high","Dahistan and the Hyrcanian Gates frame the Kopet Dag–Caspian corridor around AD 1.","false"
"province","farghana_province","transoxiana_area","land","Dayuan–Farghana","Han ethnonym / Iranian regional name","attested polity-region composite","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/hantxt1.html","high","Han Dayuan and the Farghana valley identify the oasis polity while avoiding exact vanilla pass-through.","false"
"province","fars_coastal_sea_zones_province","persian_gulf_sea_zones_area","marine","Persis–Characene Gulf Waters","Greek-Latin regions / English","paired shore maritime construction","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/periplus/periplus.html","high","The gulf waters between Persis and Characene replace the modern Fars coast label.","false"
"province","feher_province","transylvania_area","land","Apulum–Dacian Heartland","Latin city name / polity adjective / English","attested center-core construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","high","Apulum and the central Dacian heartland replace medieval Fehér.","false"
"province","fejer_province","transdanubia_area","land","Eastern Pelso Pannonii","Latin lake name and ethnonym / English","attested people-lake direction construction","installed:in_game/map_data/definitions.txt;https://academic.oup.com/edited-volume/61673/chapter-abstract/549687162","high","Pannonian lands east of Lake Pelso replace medieval Fejér.","false"
"province","fengxiang_province","shaanxi_area","land","Youfufeng–Qian Valleys","Han Chinese metropolitan commandery and hydronym / English","attested administrative-river construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Youfufeng and the Qian valley frame western Guanzhong before Fengxiang.","false"
"province","fengyang_province","huaixi_area","land","Jiujiang–Middle Huai","Han Chinese commandery and hydronym / English","attested administrative-river construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Jiujiang Commandery and the middle Huai replace later Fengyang.","false"
"province","fengzhou_province","shaanxi_area","land","Hanzhong–Western Qinling","Han Chinese commandery and mountain name / English","attested administrative-upland construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Western Qinling passes belonged to Han Hanzhong Commandery before Fengzhou.","false"
"province","fenzhou_province","shanxi_area","land","Taiyuan–Southern Xihe","Han Chinese commandery names / English","attested paired administrative construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Southern Xihe and Taiyuan jurisdictions cover the Fen basin before Fenzhou.","false"
"province","ferrara_province","emilia_area","land","Padus–Spina Marshes","Latin hydronym / ancient city / English","attested river-center wetland construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D5","high","The Padus delta and ancient Spina marshes replace medieval Ferrara.","false"
"province","fez_province","morocco_area","land","Volubilis–Mauretania Tingitana","Latin city and provincial names","attested center-province construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D17","high","Volubilis and Mauretania Tingitana replace the medieval city of Fez.","false"
"province","fezzan_province","desert_area","land","Garamantian Phazania","Latinized polity and classical region names","attested polity-region construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Garamantes","high","Garamantian Phazania is the appropriate AD 1 frame for the Fezzan oases.","false"
"province","fife_province","scottish_lowlands_area","land","Venicones–Tavus Coast","Latinized Brittonic ethnonym / classical hydronym / English","attested people-river coastal construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D2","medium","The Venicones and Tavus estuary provide the nearest classical frame before medieval Fife.","false"
"province","fiji_coastal_sea_zones_province","fiji_sea_zones_area","marine","Viti–Koro Waters","local island and sea names / English","paired archipelago maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Fiji-republic-Pacific-Ocean","high","Viti and Koro identify settled post-Lapita waters without the anglicized Fiji coast label.","false"
"province","fika_province","bornu_area","land","Komadugu–Chad Iron Lands","local hydronym and lake name / archaeological English","river-lake iron-age construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Lake-Chad","medium","Komadugu and Lake Chad iron-age communities replace the later Fika emirate.","false"
"province","filastin_province","levant_area","land","Judaea–Samaria–Idumaea","Latin / Greek classical regions","attested regional composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D16","high","Judaea Samaria and Idumaea cover the broad Jerusalem–Gaza–Galilee footprint at AD 1.","false"
"province","finland_province","finland_area","land","Southwestern Finnic Coast","English / Finnic","directional language-region coastal construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Finland","medium","A southwestern Finnic coastal frame replaces the medieval-modern Finland province name.","false"
"province","finnmark_coast_province","scandinavian_sea_zones_area","marine","Hålogaland–Sápmi Waters","Old Norse regional name / Sámi regional name / English","paired coast maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Lapland","medium","The northern Norwegian and Sámi-facing waters replace the modern Finnmark Sea label.","false"
"province","finnmark_province","nord_norge_area","land","Northern Sápmi","Sámi regional name / English","indigenous macroregion plus direction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Lapland","medium","Northern Sápmi replaces the later Norwegian county name Finnmark.","false"
"province","firuzabad_province","fars_area","land","Gur–Southern Persis","ancient Iranian place / Greek-Latin region / English","attested center-region construction","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/firuzabad/","high","Gur and southern Persis replace the later Sasanian name Fīrūzābād at the AD 1 start.","false"
"province","flaming_province","brandenburg_area","land","Semnones–Albis Heath","Latinized Germanic ethnonym / classical hydronym / English","attested people-landscape construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","Semnonian heathland east of the Albis replaces medieval Fläming.","false"
"province","florence_province","tuscany_area","land","Florentia–Faesulae","Latin city names","attested paired centers","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Florence/History","high","Roman Florentia and Etruscan-Roman Faesulae replace the modern Florence province.","false"
"province","flores_province","lesser_sunda_area","land","Flores–Sikka Island","local island and regional names / English","island-community network construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Flores-island-Indonesia","medium","Flores and Sikka communities replace the single colonial island-name reading.","false"
"province","foix_province","languedoc_area","land","Consoranni–Upper Atax","Latinized Gallic ethnonym / classical hydronym / English","attested people-river construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Consoranni and upper Atax basin replace medieval Foix.","false"
"province","fon_province","gold_coast_area","land","Ouémé–Mono Forest","local hydronyms / English","paired river forest-community construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Benin/Drainage","medium","The Ouémé and Mono forest communities replace the later Fon kingdom and identity.","false"
"province","franconian_alb_province","franconia_area","land","Hermunduri Jura","Latinized Germanic ethnonym / geographic name","attested people-upland construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","Hermunduri uplands replace the medieval Franconian Jura label.","false"
"province","frankenwald_province","franconia_area","land","Hermunduri–Main Forest","Latinized Germanic ethnonym / hydronym / English","attested people-river landscape construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The Hermunduri and upper Main forest replace medieval Frankenwald.","false"
"province","frankische_schweiz_province","franconia_area","land","Hermunduri–Regnitz Uplands","Latinized Germanic ethnonym / hydronym / English","attested people-river upland construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","Hermunduri country around the Regnitz replaces the modern Franconian Switzerland label.","false"
"province","friesland_province","friesland_area","land","Frisii Heartland","Latinized Germanic ethnonym / English","attested people and core construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The Wadden lowlands formed the Frisii heartland at AD 1.","false"
"province","friuli_province","veneto_area","land","Aquileia–Carni","Latin city and ethnonym","attested center-people construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D5","high","Aquileia and the Carni replace medieval Friuli.","false"
"province","funen_province","denmark_area","land","Fionia–Southern Codan Isles","Latinized island name / classical archipelago name / English","classical island-group construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","medium","Fionia and the southern Codan islands replace the modern Funen province.","false"
"province","funing_province","fujian_area","land","Northern Minyue Coast","Han Chinese polity name / English","attested polity-coast direction construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The northern Fujian coast belonged to the Minyue world around AD 1.","false"
"province","furat_province","jazira_area","land","Euphrates–Dura Corridor","classical hydronym and city / English","attested river-route construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D16","high","The Euphrates corridor around Dura and Ana replaces the later Arabic al-Furat label.","false"
"province","futa_jalon_province","upper_guinea_area","land","Senegal–Konkouré Uplands","local hydronyms / English","paired river-upland construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Senegal-River","medium","The Senegal headwaters and Konkouré uplands replace the much later Futa Jallon state.","false"
"province","futuna_province","futuna_area","land","Futuna–Uvea Isles","local Polynesian island names / English","paired indigenous island construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Futuna-Island","high","Futuna and Uvea identify the inhabited island group without exact vanilla pass-through.","false"
"province","fuzhou_jiangxi_province","jiangxi_area","land","Yuzhang–Fu River East","Han Chinese commandery and hydronym / English","attested administrative-river direction construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The eastern Fu basin belonged to Han Yuzhang Commandery.","false"
"province","fuzhou_province","fujian_area","land","Minyue–Min River","Han Chinese polity and hydronym","attested polity-river construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The Min River basin formed the northern Minyue heartland before later Fuzhou.","false"
"province","fuzhou_shaanxi_province","hexi_area","land","Shangjun–Luo Valleys","Han Chinese commandery and hydronym / English","attested administrative-river construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","The Luo valleys belonged to Han Shang Commandery before later Fuzhou.","false"
"province","fuzhou_sichuan_province","chuandong_area","land","Ba–Fuling Corridor","Han Chinese historical region and commandery / English","attested region-route construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","Fuling and the eastern Ba river corridor replace later Fuzhou administration.","false"
"province","gabun_coast_province","central_africa_coastline_area","marine","Ogooué–Cape Lopez Waters","local hydronym / geographic English","paired coastal maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Ogooue-River","medium","The Ogooué mouth and Cape Lopez waters replace the colonial Gabon coast label.","false"
"province","gafana_coast_sea_province","swahili_coast_sea_zones_area","marine","Azanian Pate–Pemba Waters","Greek classical regional name / local island names / English","attested macrocoast maritime construction","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/periplus/periplus.html","high","Pate and Pemba passages belonged to the Azanian maritime world around AD 1.","false"
"province","gaizhou_province","liaodong_area","land","Liaodong–Xiuyan Coast","Han Chinese commandery and place name / English","attested administrative-coastal construction","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","high","Xiuyan and the Liaodong coast replace later Gaizhou.","false"
"province","galam_province","futa_tooro_area","land","Senegal–Ferlo Corridor","local hydronym and regional name / English","river-savanna route construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Senegal-River","medium","The Senegal and Ferlo corridor replace the later Galam polity.","false"
"province","galapagos_coastal_sea_zones_province","andes_sea_zones_area","marine","Equatorial Volcanic Waters","English","uninhabited physical maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Galapagos-Islands","medium","The uninhabited island waters receive a physical latitude-geology name instead of Galápagos.","false"
"province","galapagos_province","galapagos_area","land","Equatorial Volcanic Isles","English","uninhabited physical archipelago construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Galapagos-Islands","medium","The uninhabited islands receive a physical AD 1 name without the later Spanish toponym.","false"
"province","galich_province","nizhny_novgorod_area","land","Galich Lake–Upper Volga Dyakovo","archaeological label / local lake and hydronym","archaeological-horizon lake-river construction","installed:in_game/map_data/definitions.txt;https://www.ra.iaran.ru/?lang=en&page_id=2113","high","Late Dyakovo communities around Galich Lake and the upper Volga replace medieval Galich.","false"
"province","galloway_province","scottish_lowlands_area","land","Novantae–Western Selgovae","Latinized Brittonic ethnonyms / English","attested peoples direction composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D2","high","Novantae and western Selgovae territories replace medieval Galloway.","false"
