granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","passamaquoddy_province","maine_area","land","Early-Ceramic Schoodic–Machias Lands","archaeological English / indigenous geographic names","horizon-paired-landmark construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Early Ceramic communities along the Schoodic and Machias coast predate the historic Passamaquoddy political landscape.","false"
"province","paxtang_province","pennsylvania_area","land","Hopewell Susquehanna–Juniata Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/hocu/learn/historyculture/index.htm","medium","Hopewell-era exchange reached Middle Woodland communities along the Susquehanna and Juniata around AD 1.","false"
"province","payeye_province","texas_area","land","Edwards–Yanaguana Hunter Lands","local plateau and indigenous hydronym / archaeological English","paired-landmark subsistence construction","GEO-PROXY;https://www.nps.gov/saan/learn/historyculture/index.htm","medium","The Edwards Plateau and Yanaguana drainage frame Archaic hunter communities before the historic Payaya and other mission-era identities.","false"
"province","pays_france_province","ile_de_france_area","land","Parisii and Lutetia","Latinized Gallic ethnonym / Latin place-name","attested people-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The Parisii and their center Lutetia directly replace the medieval Pays de France frame.","false"
"province","pays_messin_province","lorraine_area","land","Mediomatrici and Divodurum","Latinized Gallic ethnonym / Latin place-name","attested people-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Divodurum was the Roman center of the Mediomatrici and directly fits the Metz footprint.","false"
"province","pays_nancy_province","lorraine_area","land","Leuci of Tullum–Mosella","Latinized Gallic ethnonym / Latin place-name and hydronym","attested people-center-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The Leuci occupied the Toul and upper Moselle country before medieval Nancy and Lorraine administration.","false"
"province","peam_province","lower_mekong_area","land","Funan Bassac–Kampot Littoral","ancient polity name / local hydronym and geographic name / English","polity-paired-coast construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/funa/hd_funa.htm","medium","The Bassac mouths and Kampot-facing coast formed part of the emerging Funan maritime network.","false"
"province","pech_province","kuskatan_area","land","Aguán–Patuca Late-Preclassic Lands","indigenous hydronyms / archaeological English","paired-river period construction","GEO-PROXY;https://whc.unesco.org/en/list/129/","medium","The Aguán and Patuca corridor receives a Late Preclassic frame without projecting the historic Pech territory unchanged into AD 1.","false"
"province","pechichitane_province","xilotepec_area","land","Sierra-Gorda Late-Formative Lands","indigenous geographic name / archaeological English","landform-period construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/teot/hd_teot.htm","medium","Late Formative communities in the Sierra Gorda interacted with central Mexican networks before later Chichimeca political labels.","false"
"province","pegu_province","irrawady_delta_area","land","Pyu Pegu–Sittaung Lowlands","ancient ethnonym / local geographic name and hydronym / English","people-paired-landmark construction","GEO-PROXY;https://whc.unesco.org/en/list/1444","medium","Pyu-linked settlement and lower Sittaung routes provide an era frame before the later Mon capital of Pegu.","false"
"province","pehuenmapu_province","puelmapu_area","land","Neuquén–Nahuel-Huapi Hunter Lands","indigenous hydronym and lake name / archaeological English","paired-landmark subsistence construction","GEO-PROXY;https://www.britannica.com/place/Neuquen-province-Argentina","medium","The Andean lakes and Neuquén basin frame mobile hunter communities without projecting later Mapuche territorial categories into AD 1.","false"
"province","pelisipi_province","tennessee_area","land","Woodland Tennessee–Cumberland Lands","archaeological English / indigenous hydronyms","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/grsm/learn/historyculture/index.htm","medium","Woodland communities along the Tennessee and Cumberland predate the historic Shawnee and Cherokee territorial map.","false"
"province","pelly_river_province","yukon_area","land","Northern-Cordilleran Pelly–Ross Lands","archaeological English / local hydronyms","horizon-paired-river construction","GEO-PROXY;https://www.britannica.com/place/Yukon-territory/History","medium","Northern Cordilleran hunting traditions and the Pelly–Ross corridor provide a turn-of-era frame before colonial river eponyms became administrative labels.","false"
"province","pemako_province","u_area","land","Siang–Dihang Eastern-Himalayan Lands","local hydronyms / English","paired-river landform construction","GEO-PROXY;https://www.britannica.com/place/Brahmaputra-River","medium","The forested eastern Himalayan gorges receive local river framing without backdating later Tibetan sacred geography.","false"
"province","pembina_province","saskatchewan_area","land","Besant Bow–North-Saskatchewan Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/mwac/publications/pdf/mwac_112.pdf","high","Besant-period bison-hunting communities occupied the Alberta foothill plains around AD 1.","false"
"province","pengzhou_province","chuanxi_area","land","Guanghan Western-Chengdu Plain","Han Chinese commandery name / English","attested commandery-direction-landform construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The western Chengdu plain and Min foothills belonged to Han Guanghan Commandery.","false"
"province","pennacook_province","new_hampshire_area","land","Middle-Woodland Merrimack–Winnipesaukee Lands","archaeological English / indigenous hydronyms","horizon-paired-water construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Middle Woodland communities around the river and lake predate the historic Pennacook confederacy.","false"
"province","penobscot_province","maine_area","land","Early-Ceramic Penobscot–Katahdin Lands","archaeological English / indigenous hydronym and mountain name","horizon-paired-landmark construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Early Ceramic communities along the Penobscot and Katahdin interior provide a period frame before the historic nation.","false"
"province","pensacola_province","florida_area","land","Santa-Rosa–Swift-Creek Gulf Lands","archaeological names / English","paired-horizon coast construction","GEO-PROXY;https://www.nps.gov/guis/learn/historyculture/archeology.htm","high","Santa Rosa and Swift Creek ceramic traditions frame northwest Florida around the early Common Era before historic Pensacola identity.","false"
"province","penza_province","tambov_area","land","Gorodets Moksha–Sura Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;ENC-NEEU","high","Late Gorodets communities occupied the Moksha–Sura forest-steppe around AD 1 before Russian Penza.","false"
"province","peoria_province","illinois_area","land","Havana-Hopewell Illinois–Sangamon Lands","archaeological names / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/hocu/learn/historyculture/index.htm","high","Havana and Hopewell ceremonial-exchange networks linked communities along the Illinois and Sangamon around AD 1.","false"
"province","perak_province","malay_peninsula_area","land","Chryse Perak–Klang Littoral","Ancient Greek regional name / local hydronyms / English","attested region-paired-coast construction","GEO-PROXY;PER","medium","The Perak and Klang coast belonged to the metal-rich Golden Chersonese or Chryse maritime world around AD 1.","false"
"province","perche_province","anjou_area","land","Aulerci–Carnutes Huisne Lands","Latinized Gallic ethnonyms / local hydronym / English","attested peoples-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The Huisne and Perche uplands lay between Aulerci and Carnutes before the medieval county.","false"
"province","pereiaslav_province","left_bank_ukraine_area","land","Zarubintsy Dnieper–Desna Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;RAS-ZAR","high","Zarubintsy settlements occupied the Dnieper–Desna corridor around AD 1 before medieval Pereiaslav.","false"
"province","pereyaslavl_province","vladimir_area","land","Dyakovo Pleshcheyevo–Klyazma Lands","archaeological name / local lake and river names / English","horizon-paired-water construction","GEO-PROXY;ENC-NEEU","high","Dyakovo communities occupied the lake and upper Volga–Klyazma forest zone before the medieval city.","false"
"province","peribonka_province","laurentian_area","land","Laurel Piekouagami–Mistassibi Lands","archaeological name / indigenous lake and river names","horizon-paired-water construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Laurel-related communities occupied the Piekouagami and Mistassibi watershed around AD 1.","false"
"province","perigord_province","guyenne_area","land","Petrocorii and Vesunna","Latinized Gallic ethnonym / Latin place-name","attested people-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.2&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Vesunna was the Roman center of the Petrocorii and directly replaces medieval Périgord.","false"
"province","perm_province","perm_area","land","Glyadenovo Kama–Sylva Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;ENC-NEEU","high","Glyadenovo-related communities occupied the Kama–Sylva forest country around AD 1 before Russian Perm.","false"
"province","perthois_province","champagne_area","land","Lingones–Catalauni Marne Lands","Latinized Gallic ethnonyms / local hydronym / English","attested peoples-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The upper Marne country lay between Lingones and Catalauni before medieval Perthois.","false"
"province","perthshire_province","scottish_lowlands_area","land","Caledonii Tay–Earn Lands","Latinized Brittonic ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.5&fromdoc=Perseus%3Atext%3A1999.01.0239","medium","The Tay–Earn valleys belonged to the Caledonian interior before medieval Perthshire.","false"
"province","perugia_province","marche_area","land","Perusia of Roman Umbria","Latin place-name and regional name / English","attested center-region construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.2&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Perusia and its Trasimene hinterland formed part of Roman Umbria and Etruria's frontier around AD 1.","false"
"province","peshawar_province","punjab_area","land","Purushapura–Pushkalavati Gandhara","Sanskrit place-names and regional name","attested paired-center region construction","GEO-PROXY;IRAN-GANDHARA","high","Purushapura and Pushkalavati were major Gandharan centers under early Kushan power.","false"
"province","pest_province","north_alfold_area","land","Iazyges Danube–Tisza Lands","Latinized Sarmatian ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;WIL-SAR","high","The central plain between the Danube and Tisza belonged to Iazygian Sarmatians around AD 1.","false"
"province","phankeska_wakpa_province","high_plains_area","land","Besant White–Niobrara Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/mwac/publications/pdf/mwac_112.pdf","high","Besant-period bison-hunting communities occupied the White and Niobrara high plains around AD 1.","false"
"province","phetchaburi_province","chao_phraya_area","land","Mae-Klong–Phetchaburi Metal-Age Coast","local hydronyms / archaeological English","paired-river horizon-coast construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/thai/hd_thai.htm","medium","Metal Age communities occupied the western gulf coast before Dvaravati and later Phetchaburi state formation.","false"
"province","philippines_coast_province","indonesia_coasts_area","marine","Ilocos–Lingayen Iron-Age Waters","local geographic names / archaeological English","paired-landmark horizon maritime construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/phil/hd_phil.htm","medium","Iron Age maritime exchange along western Luzon replaces the modern national coastline label.","false"
"province","phimai_province","khorat_plateau_area","land","Mun–Chi Iron-Age Settlements","local hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;https://whc.unesco.org/en/list/575/","high","Iron Age settlements and salt-metal exchange flourished across the Mun–Chi basin before Angkorian Phimai.","false"
"province","phrae_province","northern_tai_highland_area","land","Nan–Yom Iron-Age Highlands","local hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/thai/hd_thai.htm","medium","Iron Age communities in the Nan and Yom valleys predate later Tai principalities and the city of Phrae.","false"
"province","phraek_province","chao_phraya_area","land","Ping–Chao-Phraya Iron-Age Floodplain","local hydronyms / archaeological English","paired-river horizon-landform construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/thai/hd_thai.htm","medium","Iron Age wetland and river settlements at the Ping confluence predate Dvaravati urbanism.","false"
"province","piacenza_province","emilia_area","land","Placentia–Veleia Lands","Latin place-names / English","attested paired-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.1&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Roman Placentia and Veleia directly frame the Po plain and Apennine footprint.","false"
"province","piankeshaw_province","indiana_area","land","Hopewell Wabash–White-River Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/hocu/learn/historyculture/index.htm","medium","Hopewell-era exchange reached Middle Woodland communities along the Wabash and White River around AD 1.","false"
"province","piekouagami_province","laurentian_area","land","Laurel Piekouagami–Ashuapmushuan Lands","archaeological name / indigenous lake and river names","horizon-paired-water construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Laurel-related communities occupied the lake and Ashuapmushuan corridor around the campaign boundary.","false"
"province","pihiti","sailan_area","land","Anuradhapura–Rajarata Heartland","Sinhala place-name and regional name / English","attested center-region construction","GEO-PROXY;https://whc.unesco.org/en/list/200/","high","Anuradhapura was the royal and monastic center of Rajarata in northern Sri Lanka around AD 1.","false"
"province","pikunmapu_province","ngulumapu_area","land","Bato Maule–Bío-Bío Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/chav/hd_chav.htm","medium","Bato-related central Chilean traditions and southern interaction along the Maule–Bío-Bío corridor provide a cautious turn-of-era frame.","false"
"province","pikunmapu_sea_zones_province","andes_sea_zones_area","marine","Bato Maule–Concepción Waters","archaeological name / indigenous geographic names / English","horizon-paired-landmark maritime construction","GEO-PROXY;https://www.britannica.com/place/Bio-Bio-River","medium","The Maule mouth and Concepción-facing coast frame maritime communities linked to central Chilean Bato traditions.","false"
"province","pikwedina_province","red_river_area","land","Laurel Red–Assiniboine Marshlands","archaeological name / indigenous hydronyms / English","horizon-paired-river landform construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Laurel communities occupied the Red–Assiniboine wetland corridor before later Ojibwe and Cree territorial names.","false"
"province","pikwitonei_province","keewatin_n_area","land","Laurel Nelson–Split-Lake Lands","archaeological name / indigenous hydronyms / English","horizon-paired-water construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Laurel-related communities occupied the Nelson and Split Lake corridor around AD 1.","false"
"province","pilzno_province","lesser_poland_area","land","Przeworsk Wisłoka–Nida Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;UW-PRZ","high","Przeworsk communities occupied the Wisłoka and Nida basin around AD 1 before medieval Pilzno.","false"
"province","pindare_province","mearim_area","land","Pindaré–Gurupi Ceramic Forest Lands","indigenous hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;SA-EXPANSIONS","medium","Early ceramic and horticultural communities along the Pindaré and Gurupi predate later Tupi territorial distributions.","false"
"province","pindorama_coastal_sea_zones_province","brazil_sea_zones_area","marine","Guanabara–Doce Atlantic Waters","indigenous bay name and hydronym / English","paired-water maritime construction","GEO-PROXY;https://www.britannica.com/place/Doce-River","medium","The Guanabara approaches and Doce mouth define the southeastern coast without the poetic later Pindorama label.","false"
"province","pingding_province","shanxi_area","land","Taiyuan Eastern-Valley Lands","Han Chinese commandery name / English","attested commandery-direction construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi/ens","high","The Yuci and eastern Shanxi valleys belonged to Han Taiyuan Commandery around AD 1.","false"
"province","pingle_province","guangxi_area","land","Cangwu Northern-Gui Valleys","Han Chinese commandery name / local hydronym / English","attested commandery-direction-river construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The upper Gui river country formed the northern reach of Han Cangwu Commandery.","false"
"province","pingliang_province","hexi_area","land","Anding Western-Uplands","Han Chinese commandery name / English","attested commandery-direction construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The eastern Gansu uplands around Pingliang belonged to western Han Anding Commandery.","false"
"province","pingyang_province","shanxi_area","land","Hedong Fen–Pingyang Lands","Han Chinese commandery and place-names / local hydronym / English","attested commandery-center-river construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi/ens","high","Pingyang and the middle Fen valley formed a major district of Han Hedong Commandery.","false"
"province","pingyue_province","guizhou_area","land","Zangke Eastern-Highland Lands","Han Chinese commandery name / English","attested commandery-direction-landform construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","The Kaili uplands lay on the eastern side of Han Zangke Commandery amid diverse highland communities.","false"
"province","pinsk_province","polesia_area","land","Zarubintsy Pina–Pripyat Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;RAS-ZAR","high","Zarubintsy communities occupied the Pina–Pripyat wetlands around AD 1 before medieval Pinsk.","false"
"province","pintigga_kooapudna_province_coast","southern_australia_high_sea_zones_area","marine","Karta–Pangkala Gulf Waters","indigenous island name and ethnonym / English","paired-local-anchor maritime construction","GEO-PROXY;https://www.britannica.com/place/Kangaroo-Island","medium","Karta and the Pangkala coastal country provide indigenous anchors for the two South Australian gulfs without colonial eponyms.","false"
"province","pinya_province","irrawady_area","land","Pyu Kyaukse Irrigated Lands","ancient ethnonym / local geographic name / English","people-irrigation-landscape construction","GEO-PROXY;https://whc.unesco.org/en/list/1444","medium","Pyu-linked settlement and early irrigation in the Kyaukse corridor predate the medieval Pinya capital.","false"
"province","pinzgau_province","salzburg_area","land","Ambisontes Upper-Salzach Lands","Latinized Celtic ethnonym / local hydronym / English","attested people-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.6&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The Ambisontes occupied Alpine valleys of the upper Salzach within Roman Noricum.","false"
"province","piquiri_province","parana_area","land","Itararé Tietê–Piquiri Woodlands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.britannica.com/place/Parana-River","medium","Itararé-associated southern highland traditions and riverine communities frame the Tietê–Piquiri interior around AD 1.","false"
"province","piracicaba_province","parana_area","land","Tietê–Piracicaba Horticultural Lands","indigenous hydronyms / archaeological English","paired-river subsistence construction","GEO-PROXY;SA-EXPANSIONS","medium","The two river corridors supported forest horticultural and foraging communities before colonial Paulista settlement.","false"
"province","piranga_province","pindorama_area","land","Doce–Piranga Ceramic Uplands","indigenous hydronyms / archaeological English","paired-river horizon construction","GEO-PROXY;SA-EXPANSIONS","medium","Early ceramic and horticultural communities in the upper Doce and Piranga basins replace colonial mining-town geography.","false"
"province","piray_province","pindorama_area","land","Paraíba–Piraí Atlantic-Forest Lands","indigenous hydronyms / English","paired-river ecology construction","GEO-PROXY;SA-EXPANSIONS","medium","The river corridors frame Atlantic-forest communities without projecting later Tupi categories or colonial names uniformly.","false"
"province","pirin_province","macedonia_area","land","Maedi–Dentheletae Strymon Uplands","Latinized Thracian ethnonyms / classical hydronym / English","attested peoples-river-landform construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.5&fromdoc=Perseus%3Atext%3A1999.01.0198","high","The Maedi and Dentheletae occupied the Strymon and Pirin–Rhodope approaches around AD 1.","false"
"province","pisa_province","tuscany_area","land","Pisae–Volaterrae Lands","Latin place-names / English","attested paired-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.2&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Roman Pisae and Volaterrae directly frame the Arno coast and Etruscan uplands.","false"
"province","pitcairn_province","pitcairn_area","land","Unpeopled Henderson–Ducie Isles","English island names","uninhabited paired-island construction","GEO-PROXY;https://whc.unesco.org/en/list/487/","medium","Settlement of the Pitcairn group postdates AD 1 so the remote islands receive a neutral physical frame.","false"
"province","pitchibourenik_province","jamesie_area","land","Laurel Eastmain–Rupert Shield Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Laurel-related communities occupied the Eastmain–Rupert shield corridor before later Cree local territorial labels.","false"
"province","pite_lappmark_province","norrland_area","land","Sámi Pite–Skellefte Riverlands","Sámi ethnonym / local hydronyms / English","people-paired-river construction","GEO-PROXY;ENC-NEEU","medium","Sámi hunting and exchange landscapes along the Pite and Skellefte rivers predate Swedish Lappmark administration.","false"
"province","piterka_province","lower_yik_area","land","Aorsi Yik–Lower-Volga Interfluve","Latinized Iranian ethnonym / local hydronyms / English","attested people-interfluve construction","GEO-PROXY;WIL-SAR","high","The steppe between the lower Ural and Volga belonged to the Aorsi and wider Sarmatian sphere around AD 1.","false"
"province","piumhi_province","pindorama_area","land","Upper-Grande–Paranaíba Horticultural Lands","indigenous hydronyms / archaeological English","paired-river subsistence construction","GEO-PROXY;SA-EXPANSIONS","medium","The upper Grande and Paranaíba valleys frame forest-savanna horticultural communities before colonial Minas geography.","false"
"province","pizhou_province","huaidong_area","land","Donghai Xiapi–Luoma Lands","Han Chinese commandery and place-names / local lake name / English","attested commandery-center-lake construction","GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens","high","Xiapi and Lake Luoma lay within Han Donghai Commandery around AD 1.","false"
"province","placentia_province","newfoundland_area","land","Cow-Head Placentia–Avalon Lands","archaeological name / local bay and peninsula names / English","horizon-paired-landmark construction","GEO-PROXY;https://www.heritage.nf.ca/articles/aboriginal/recent-indian.php","medium","Cow Head complex communities occupied Newfoundland around AD 1 before European Placentia and later Beothuk regional concentration.","false"
"province","plasencia_province","extremadura_area","land","Vettones Capera–Tagus Uplands","Latinized Iberian ethnonym / Latin place-name and hydronym / English","attested people-center-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+3.3&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The Vettones occupied the Capera and upper Tagus country before medieval Plasencia.","false"
"province","pleven_province","bulgaria_area","land","Oescus–Triballian Danube Lands","Latin place-name / Latinized Thracian ethnonym / English","attested center-people-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.5&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Roman Oescus and the former Triballian lower-Danube interior frame the Pleven footprint around AD 1.","false"
"province","plock_province","mazovia_area","land","Przeworsk Vistula–Wkra Lands","archaeological name / local hydronyms / English","horizon-paired-river construction","GEO-PROXY;UW-PRZ","high","Przeworsk communities occupied the middle Vistula and Wkra basin around AD 1 before medieval Płock.","false"
"province","ploermel_province","brittany_area","land","Veneti of the Oust–Vilaine","Latinized Gallic ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.4&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The inland Oust–Vilaine country belonged to the Armorican Veneti before medieval Ploërmel.","false"
"province","plzensko_province","bohemia_area","land","Marcomanni Mže–Radbuza Basin","Latinized Germanic ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The western Bohemian basin lay within Maroboduus's Marcomannic realm around AD 1.","false"
"province","pocumtuc_province","vermont_area","land","Middlesex Connecticut–Deerfield Lands","archaeological name / indigenous-derived hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Middlesex-period Woodland communities occupied the Connecticut–Deerfield corridor before historic Pocumtuck identity.","false"
"province","pocutia_province","red_ruthenia_area","land","Costoboci Prut–Carpathian Foothills","Latinized ancient ethnonym / local hydronym / English","attested people-river-landform construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.3&fromdoc=Perseus%3Atext%3A1999.01.0198","medium","The Prut and eastern Carpathian foothills lay near the Costobocian sphere around AD 1 before medieval Pokuttia.","false"
"province","podlasie_province","mazovia_area","land","Przeworsk–Zarubintsy Bug Lands","archaeological names / local hydronym / English","paired-horizon river-frontier construction","GEO-PROXY;UW-PRZ;RAS-ZAR","high","The Bug corridor formed an interaction frontier between Przeworsk and Zarubintsy communities around AD 1.","false"
