granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
province,jativa_province,valencia_area,land,Saetabis–Dianium Contestania,Latin civic names / Iberian region,attested-center regional construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-IBR,high,Saetabis and Dianium anchor the Contestanian interior and coast around AD 1.,false
province,java_coast_province,indonesia_coasts_area,marine,Southern Yavadvīpa Sea Lanes,Sanskrit island name / English,classical-island maritime construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;BELLINA-SHK,medium,The southern approaches are named from the early Sanskrit Java form rather than a modern sea-zone label.,false
province,jawf_province,hail_area,land,Dūma–Nafūd Caravan Lands,Arabic oasis and desert names,paired-oasis desert construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-ARAB,high,Dūmat al-Jandal and the Nafūd frame the northern Arabian caravan interior.,false
province,jazan_province,north_yemen_area,land,Sabaean Tihāma–Farasān Coast,South Arabian polity / local region names,polity-coast construction,installed:in_game/map_data/definitions.txt;STR-ARAB;OCD-HIM,high,The humid Red Sea piedmont and Farasān islands lay on the western margin of Sabaean Arabia.,false
province,jazz_coast,gulf_of_mexico_area,marine,Atchafalaya–Pearl Estuary Gulf Waters,local and translated hydronyms / English,paired-coastal-feature construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Gulf-of-Mexico,medium,The deltaic water sector uses river mouths rather than colonial island or opaque vanilla labels.,false
province,jebel_akhdar_province,cyrenaica_area,land,Kyrene–Barke Highland Interior,Greek civic names,paired-center upland construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;CAH-XI,high,Kyrene and Barke anchor the cultivated uplands behind the Cyrenaican coast.,false
province,jech_doab,punjab_area,land,Hydaspes–Akesines Doab,Greek classical hydronyms / Indic geographic term,paired-river construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;IRAN-GANDHARA,high,The tract lies between the classical Jhelum and Chenab river courses.,false
province,jeonju_province,honam_area,land,Geum–Mangyeong Mahan Lands,Korean hydronyms / confederacy name,paired-river polity construction,installed:in_game/map_data/definitions.txt;NAJU-MAHAN;NMK-SAMHAN,high,The two western river plains belong in the southern Mahan cultural sphere at AD 1.,false
province,jequitinhonha_province,pindorama_area,land,Jequitinhonha–Pardo Forest Lands,local hydronyms / English,paired-river biome construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SA-EXPANSIONS,medium,The adjacent Atlantic-draining basins define this forested eastern Brazilian footprint.,false
province,jhalavad,saurashtra_area,land,Little Rann–Eastern Saurāṣṭra,Sanskrit region / English landscape name,landform-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Kathiawar-Peninsula,medium,The Little Rann and eastern peninsula replace the much later Jhalavad dynastic label.,false
province,ji_parana_province,guapore_area,land,Ji-Paraná–Guaporé Forest Lands,local hydronyms / English,paired-river biome construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SA-EXPANSIONS,medium,The two river systems provide a durable frame for the southwestern Amazonian forest interior.,false
province,jiading_province,chuannan_area,land,Emei–Qianwei Southern Shu,Chinese mountain and Han commandery names,landmark-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Emei and the Han commandery of Qianwei locate the southern Sichuan basin.,false
province,jian_province,jiangxi_area,land,Luling–Gan Yuzhang Lands,Chinese Han county / hydronym / commandery,county-river commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Luling on the Gan corridor was part of Han Yuzhang Commandery.,false
province,jianchang_province,jiangxi_area,land,Fu–Southern Yuzhang Valleys,Chinese hydronym / Han commandery,river-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The Fu River valleys form the southern portion of Han Yuzhang Commandery.,false
province,jiangzhou_province,shanxi_area,land,Quwo–Hedong Plain,Chinese ancient center / Han commandery,center-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Quwo and the Fen-Yellow River plain anchor southern Hedong.,false
province,jianning_province,fujian_area,land,Wuyi–Northern Minyue Lands,Chinese mountain name / ancient polity,landmark-polity construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The Wuyi uplands occupied the northern interior of the Minyue sphere.,false
province,jianzhou_province,chuanxi_area,land,Zitong–Mian Shu Corridor,Chinese Han county and river names,county-river regional construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Zitong and the Mian valley define the northeastern approach to the Shu basin.,false
province,jianzhou_west_province,chuanxi_area,land,Tuo–Southeastern Shu Plain,Chinese hydronym / ancient region,river-region construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The Tuo River plain provides the period geographic frame east of the Chengdu heartland.,false
province,jiaozhou_province,haiyou_area,land,Jimo–Donglai Coast,Chinese ancient county / Han commandery,county-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Jimo anchored the southwestern margin of Han Donglai Commandery.,false
province,jiaxing_province,zhejiang_area,land,Haiyan–Kuaiji North Coast,Chinese Han county and commandery names,county-commandery coastal construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Haiyan places the northern coastal tract of Han Kuaiji Commandery.,false
province,jiazhou_province,hexi_area,land,Fugu–Shenmu Beidi March,Chinese local toponyms / Han commandery,paired-center frontier construction,installed:in_game/map_data/definitions.txt;BHR;CHG,medium,The upper Yellow River edge is framed as a northern march of Han Beidi Commandery.,false
province,jiezhou_province,longyou_area,land,Baima–Western Longxi Passes,Chinese ancient people and Han commandery,people-commandery geographic construction,installed:in_game/map_data/definitions.txt;BHR;CHG,medium,The Baima highland passages marked the western approaches of Longxi.,false
province,jinan_province,shandong_area,land,Licheng–Jinan of Qi,Chinese Han county and commandery names,county-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Licheng was the administrative center of Han Jinan within the old Qi heartland.,false
province,jindong_province,yunnan_area,land,Eastern Dian Highland Valleys,Chinese ancient polity / English,polity-landscape construction,installed:in_game/map_data/definitions.txt;BHR;CHG,medium,The valleys east of Dianchi are labeled by the period Dian sphere rather than later prefectures.,false
province,jing_province,wuling_area,land,Yuan–Wushui Wuling Lands,Chinese hydronyms / Han commandery,paired-river commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The Yuan and Wushui tributaries cross the southern portion of Han Wuling Commandery.,false
province,jingili_province,australian_northern_territory_area,land,Tanami–Warumungu Desert Lands,current traditional and desert names / English,paired-country landscape proxy,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://aiatsis.gov.au/explore/map-indigenous-australia,low,Traditional country and desert names give a playable frame without inventing an AD 1 state.,false
province,jingmen_province,hubei_area,land,Dangyang–Jianghan Chu Lands,Chinese ancient county / plain / polity,county-landscape polity construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Dangyang overlooks the Jianghan plain within the former Chu heartland.,false
province,jingning_province,hexi_area,land,Liupan–Anding Highlands,Chinese mountain / Han commandery,landmark-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The Liupan ranges form the upland spine of Han Anding Commandery.,false
province,jingzhou_beizhili_province,yannan_area,land,Hejian–Bohai Jizhou Plain,Chinese Han commanderies and province,paired-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The low plain between Hejian and Bohai belonged to Han Jizhou.,false
province,jingzhou_province,hubei_area,land,Jiangling–Yunmeng Chu Lands,Chinese Han county / ancient wetland / polity,center-landscape polity construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Jiangling and the Yunmeng wetlands anchor the lower Jianghan core of Chu.,false
province,jingzhou_shaanxi_province,hexi_area,land,Jing River–Western Anding Uplands,Chinese hydronym / Han commandery,river-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The Jing River uplands define western Han Anding without using a later prefecture name.,false
province,jinhua_province,zhejiang_area,land,Dongyang–Lanxi Kuaiji Hills,Chinese Han county and local hydronym,county-river commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Dongyang and the Lanxi basin locate the hilly interior of Han Kuaiji.,false
province,jining_province,shandong_area,land,Rencheng–Juye Shanyang Lands,Chinese Han county and commandery names,paired-county commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Rencheng and Juye lay within Han Shanyang Commandery.,false
province,jining_shanxi_province,datong_area,land,Daihai–Yunzhong Steppe,Chinese lake and Han commandery names,waterbody-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Daihai marks the steppe corridor north of Han Yunzhong.,false
province,jinju_province,yeongnam_area,land,Southern Byeonhan Coast,Korean confederacy name / English,polity-coastal construction,installed:in_game/map_data/definitions.txt;JINJU-BYEONHAN;NMK-SAMHAN,high,The Jinju and Geoje coast belonged to the southern Byeonhan sphere before later Gaya consolidation.,false
province,jinning_province,yunnan_area,land,Dianchi–Yizhou Heartland,Chinese lake and Han commandery names,waterbody-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The settled eastern shore of Dianchi formed the core of Han Yizhou in former Dian lands.,false
province,jinzhou_province,liaodong_area,land,Daling–Liaoxi Frontier,Chinese hydronym / Han commandery,river-commandery frontier construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The Daling River corridor lies on the western Liaodong peninsula approach in Han Liaoxi.,false
province,jiroft_province,kerman_area,land,Halil Rūd Carmania,local hydronym / Greek-Latin region,river-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE,high,The Halil valley was the fertile southeastern interior of classical Carmania.,false
province,jiujiang_province,jiangxi_area,land,Pengze–Poyang Yuzhang,Chinese Han county / lake / commandery,county-lake commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Pengze and the Poyang outlet occupied northern Han Yuzhang Commandery.,false
province,jizhou_province,beiping_area,land,Yuyang–Youbeiping March,Chinese Han commandery names,paired-commandery frontier construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The tract spans the meeting of Han Yuyang and Right Beiping commanderies.,false
province,jizhou_zhending_province,yannan_area,land,Xindu–Julu Jizhou Plain,Chinese Han commanderies and province,paired-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Xindu and Julu locate the central plain of Han Jizhou.,false
province,jizzakh_province,transoxiana_area,land,Northern Sogdian–Jaxartes Gate,Greek region and river names,region-river corridor construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE,medium,The Jizzakh corridor linked northern Sogdiana with the Jaxartes steppe without backdating a medieval province.,false
province,joara_province,north_carolina_area,land,Upper Yadkin–Catawba Woodland Lands,local hydronyms / archaeological term,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;NPS-HOPEWELL,medium,The river headwaters frame Middle Woodland settlement without projecting the later Joara chiefdom backward.,false
province,johor_province,malay_peninsula_area,land,Southern Golden-Chersonese Straits,Greek classical peninsula name / English,classical-geography construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;BELLINA-SHK,medium,The southern peninsula and straits are framed by the classical Golden Chersonese rather than later Johor or Malacca states.,false
province,jolof_province,jolof_area,land,Ferlo–Saloum Iron Lands,local region and hydronym / English,paired-landscape archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;MET-IRON,medium,The Ferlo and Saloum zones replace the much later Jolof imperial label at AD 1.,false
province,jororo_province,florida_area,land,Oklawaha–St Johns Woodland Lands,local hydronyms / archaeological term,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/topic/Woodland-cultures,medium,The central Florida waterways locate Woodland-period settlement without a later tribal province name.,false
province,juan_fernandez_province,juan_fernandez_area,land,Uninhabited Aconcagua Outer Isle,Spanish-derived regional proxy / English,settlement-status geographic construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Juan-Fernandez-Islands,high,The remote island was uninhabited in AD 1 and is named relationally to the adjacent continental latitude.,false
province,juan_fernandez_sea_zones_province,andes_sea_zones_area,marine,Aconcagua Outer-Ocean Waters,local valley name / English,continental-anchor maritime construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Juan-Fernandez-Islands,medium,The offshore waters use a continental anchor and avoid the sixteenth-century explorer name.,false
province,jubaland_province,southern_somalia_area,land,Juba–Tana Azanian Interior,local hydronyms / Greek classical region,paired-river classical construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PME-BARBARIA,high,The two river corridors form the inland hinterland of the Periplus-era Azanian coast.,false
province,jujuy_province,cuyo_area,land,Quebrada–Calchaquí Formative Lands,Spanish geographic term / local valley name / archaeological period,paired-valley archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;CWP-ANDES,medium,The high valleys supported Formative settlements at the opening date without implying a later ethnic state.,false
province,julfar_coastal_sea_zones_province,persian_gulf_sea_zones_area,marine,Omana–Hormuz Strait Waters,Greek classical place names,paired-classical maritime construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;OUP-GUL,high,The approaches between Omana and the Hormuz narrows formed the entrance to the classical Persian Gulf.,false
province,julfar_province,oman_area,land,Mleiha–Ed-Dur Gulf Oases,archaeological site names,paired-site archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;OUP-GUL,high,Mleiha and Ed-Dur anchor the late pre-Islamic oasis and coastal network of the modern Emirates footprint.,false
province,julich_province,rhineland_area,land,Ubii–Tungri of the Rur,Latin ethnonyms / local hydronym,paired-people river construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;TAC-GER,medium,The Rur basin lay between Ubian and Tungrian zones rather than within the medieval duchy of Jülich.,false
province,jundiai_province,pindorama_area,land,Tietê–Jundiaí Forest Lands,local hydronyms / English,paired-river biome construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SA-EXPANSIONS,medium,The two river basins define an Atlantic-forest interior without a colonial municipal label.,false
province,junzhou_province,hubei_area,land,Han River–Wudang Chu Lands,Chinese hydronym / mountain / ancient polity,river-landmark polity construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The middle Han River and Wudang ranges locate this northern Chu upland tract.,false
province,juruena_province,mato_grosso_area,land,Juruena–Teles Pires Forest Lands,local hydronyms / English,paired-river biome construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SA-EXPANSIONS,medium,The headwaters define the southern Amazonian forest footprint without a modern administrative name.,false
province,juzhou_province,haiyou_area,land,Ju–Yishui Donglai Lands,Chinese ancient county / hydronym / Han commandery,county-river commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Ju and the Yishui basin mark the southwestern inland edge of Han Donglai.,false
province,kaabu_province,gambia_area,land,Cacheu–Geba Estuary Lands,local hydronyms / English,paired-estuary construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;MET-IRON,medium,The estuaries provide a period-neutral frame and avoid backdating the medieval Kaabu polity.,false
province,kaarta_province,ghana_area,land,Nioro–Kolokani Sahel,local toponyms / English,paired-landmark landscape construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;MET-IRON,medium,The western Sahel corridor is named geographically rather than for the much later Kaarta state.,false
province,kab_koj_province,tezulutlan_area,land,Motagua–Izabal Maya Corridor,local hydronym and lake / cultural term,river-lake cultural construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SCI-MAY,high,The Motagua route and Lake Izabal linked eastern Maya highlands with the Caribbean lowlands.,false
province,kabikabi_province,australian_yalanji_area,land,Gugu Badhun–Kabi Country,current traditional names,paired-country continuity proxy,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://aiatsis.gov.au/explore/map-indigenous-australia,low,Traditional country names are retained as the least anachronistic regional proxy for an unrecoverable AD 1 nomenclature.,false
province,kabinda_province,west_kongo_area,land,Lower Kongo Atlantic Littoral,local hydronym / English,river-coast construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Congo-River,medium,The lower river and Atlantic coast replace later Cabinda and Loango political labels.,false
province,kabompo_province,viye_area,land,Upper Zambezi–Kabompo Woodlands,local hydronyms / English,paired-river biome construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/early-iron-age-in-zambiaregional-variants-and-some-tentative-conclusions/0301F984B30D1967F7AB21626D8F4038,medium,The two upper river systems define a wooded south-central African corridor at AD 1.,false
province,kabul_province,sistan_area,land,Kabura–Kapisa Paropamisos,Greek and Indo-Iranian ancient place names,paired-center classical-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;IRAN-GANDHARA,high,Kabura and Kapisa anchored the southeastern approaches of the classical Paropamisos.,false
province,kabylia_province,tunis_area,land,Sitifis–Numidian Tell,Latin civic name / ancient ethnonym,center-landscape construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE,medium,Sitifis and the Tell Atlas locate the eastern Numidian highlands without the later Kabylia label.,false
province,kachari_province,assam_area,land,Dhansiri–Dimapur Early-Iron Lands,local hydronym and toponym / archaeological period,paired-landmark archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://asiguwahaticircle.gov.in/excavation8.html,medium,The Dhansiri valley and Dimapur plateau form an early-iron geographic frame without backdating the Kachari kingdom.,false
province,kachen_province,armenia_area,land,Artsakh–Utik Highlands,Classical Armenian region names,paired-historic-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-CAUC,high,Artsakh and Utik are the ancient regional frames for the eastern Armenian highlands.,false
province,kadey_province,central_africa_area,land,Mambéré–Sangha Forest Lands,local hydronyms / English,paired-river biome construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://link.springer.com/article/10.1007/s10437-024-09576-7,low,The river basins provide a cautious forest-zone label where recoverable AD 1 names are absent.,false
province,kaesong_province,gyeonggi_area,land,Imjin–Han Mahan Lands,Korean hydronyms / confederacy name,paired-river polity construction,installed:in_game/map_data/definitions.txt;NAJU-MAHAN;NMK-SAMHAN,high,The Imjin and lower Han basin belonged to the northern Mahan sphere around AD 1.,false
province,kafiristan,upper_indus_area,land,Kunar–Nuristan Dardic Highlands,local hydronym and regional name / linguistic term,river-highland linguistic construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;IRAN-GANDHARA,medium,The Kunar highlands receive a geographic-linguistic label instead of the later exonym Kafiristan.,false
province,kafu_province,victoria_area,land,Mwitanzige–Kafu Urewe Corridor,local lake and river names / archaeological term,waterway archaeological construction,installed:in_game/map_data/definitions.txt;AZA-UREWE,high,Lake Mwitanzige and the Kafu drainage place this tract within the Urewe interaction corridor.,false
province,kafue_province,moshiko_area,land,Middle Kafue Early-Iron Woodlands,local hydronym / archaeological period,river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;AZA-UREWE,medium,The middle Kafue woodland is framed by early iron-using settlement rather than a later polity.,false
province,kaga_province,hokurikudou_area,land,Western Koshi Yayoi Coast,Japanese ancient region / archaeological period,region archaeological construction,installed:in_game/map_data/definitions.txt;ISIJ-YAY;JAA-YAY,medium,The coast belonged to the western Koshi sphere during the Yayoi period before Kaga province existed.,false
province,kahnuj_province,kerman_area,land,Southern Halil–Carmania Uplands,local hydronym / Greek-Latin region,river-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE,high,The uplands south of the Halil valley form the southeastern margin of classical Carmania.,false
province,kai_karoo_province,karoo_area,land,Gamka–Swartberg Hunter-Herder Lands,local hydronym and mountain name / English,paired-landscape subsistence construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;OUP-SOUTH-AFRICA,medium,The river and mountain corridor is framed for hunter-herder lifeways without a later colonial district name.,false
province,kai_province,toukaidou_area,land,Fuji–Kōfu Yayoi Uplands,Japanese mountain and basin names / archaeological period,landmark-basin archaeological construction,installed:in_game/map_data/definitions.txt;ISIJ-YAY;JAA-YAY,medium,The Fuji-facing Kōfu basin supported an eastern Yayoi upland zone before the formal Kai province.,false
province,kaialigamiut_coast_sea_zones_province,alaska_sea_zones_area,marine,Yukon–Kuskokwim Norton Waters,local hydronyms / archaeological tradition,paired-river maritime construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.nps.gov/articles/iyatayet.htm,medium,The delta waters are tied to the Norton tradition rather than a single later ethnonym.,false
province,kaialigamiut_province,western_arctic_area,land,Nunivak–Kuskokwim Norton Lands,local island and river names / archaeological tradition,paired-landmark archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.nps.gov/articles/iyatayet.htm,medium,Nunivak and the lower Kuskokwim frame a Norton-tradition landscape at AD 1.,false
province,kaifeng_province,henan_area,land,Chenliu–Yingchuan Zhongyuan,Chinese Han commanderies / classical region,paired-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,The installed footprint spans Han Chenliu and Yingchuan in the Central Plain.,false
province,kairiru_coastal_sea_zones_province,papua_sea_zones_area,marine,Kairiru–Karkar Island Waters,local island names / English,paired-island maritime construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/New-Guinea,medium,The named islands provide stable anchors for the north New Guinea coastal waters.,false
province,kairouan_province,tunis_area,land,Byzacena–Zeugitana Interior,Latin ancient regional names,paired-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE,high,The inland tract straddles the ancient Byzacena and Zeugitana transition without retaining post-Roman Kairouan.,false
province,kaizhou_province,hebei_area,land,Puyang–Dong Commandery,Chinese Han county and commandery names,center-commandery construction,installed:in_game/map_data/definitions.txt;BHR;CHG,high,Puyang anchored Han Dong Commandery on the lower Yellow River plain.,false
province,kajanaland_province,norrland_area,land,Oulujärvi–Kainuu Fenni Lands,Finnic lake and regional names / Latin ethnonym,waterbody-people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;TAC-GER,medium,The lake basin is framed as a Fenni hinterland without projecting medieval Swedish administration.,false
province,kakheti_province,georgia_area,land,Alazani–Mtkvari Iberia,local hydronyms / Greek-Latin polity name,paired-river polity construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-CAUC,high,The Alazani and Mtkvari valleys formed the eastern heartland of Caucasian Iberia.,false
province,kakol_kiej_province,tezulutlan_area,land,Atitlán–Xelajú Maya Highlands,local toponyms / cultural term,paired-landmark cultural construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SCI-MAY,high,Lake Atitlán and the Xelajú highland basin anchor this southern Maya zone.,false
province,kalaako_kaleap_province_coast,southern_australia_high_sea_zones_area,marine,Menang–Esperance Southern Waters,current traditional name / local coastal name,paired-coast continuity proxy,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://aiatsis.gov.au/explore/map-indigenous-australia,low,Traditional country and coastal geography provide the least anachronistic playable maritime frame.,false
province,kalaako_province,southwestern_australia_area,land,Ngadju–Galaagu Western Desert Lands,current traditional names / English,paired-country continuity proxy,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://aiatsis.gov.au/explore/map-indigenous-australia,low,Traditional country names replace a raw map key while avoiding invented AD 1 political boundaries.,false
province,kalahandi_garjat,orissa_area,land,Mahākāntāra–Kalinga Uplands,Sanskrit ancient regions,paired-historic-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Kalinga-ancient-state-India,high,The forested uplands formed Mahākāntāra on the interior margin of ancient Kalinga.,false
province,kalamazoo_province,michigan_area,land,Kalamazoo–Owashtanong Woodland Lands,local hydronyms / archaeological period,paired-river archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;NPS-HOPEWELL,medium,The two river basins frame Middle Woodland settlement around the lower Great Lakes.,false
province,kale_province,irrawady_area,land,Upper Chindwin–Pyu Frontier,local hydronym / ancient polity,river-polity frontier construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/topic/Pyu-people,medium,The upper Chindwin valley formed a northwestern frontier of the Pyu cultural sphere.,false
