design_tag,engine_tag,name,kind,technical_rank,government_context,presentation_class,display_rank,ruler_title,source,confidence,note
CHA,XAI,Characene,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;OCD;PLE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ELY,XAJ,Elymais,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PRS,PRS,Persis,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ATR,XAK,Media Atropatene,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ADI,ADI,Adiabene,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
OSR,OSR,Osroene,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GOR,XAM,Gordyene,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SKT,XAN,Sakastan,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MRG,MRG,Margiana,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.2;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ARM,XAO,Kingdom of Armenia,country,rank_kingdom,monarchy,kingdom,Kingdom,King/Queen,P8.2;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
IBR,IBR,Caucasian Iberia,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.2;OCD,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CLZ,CLZ,Colchis,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ALC,XAQ,Caucasian Albania,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.2;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
HAN,XAR,Western Han,country,rank_empire,monarchy,han_dynasty,Dynasty,Emperor/Empress,P8.3;BHR,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
XIO,XIO,Xiongnu Confederation,country,rank_kingdom,steppe_horde,confederation,Confederation,Paramount Leader/Paramount Leader,P8.3;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KHT,XAS,Khotan,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.3;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KUC,KUC,Kucha,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.3;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KAS,XAT,Kashgar,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.3;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
LOU,LOU,Loulan,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.3;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TUR,XAV,Turfan,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.3;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GOG,GOG,Goguryeo,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.3;SAM,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BUY,BUY,Buyeo,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.3;SAM,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MAH,XAW,Mahan,sop,rank_county,tribe,people,People,Leader/Leader,P8.3;SAM,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
JIN,JIN,Jinhan,sop,rank_county,tribe,people,People,Leader/Leader,P8.3;SAM,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BYE,BYE,Byeonhan,sop,rank_county,tribe,people,People,Leader/Leader,P8.3;SAM,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WAA,WAA,Wa Polities,sop,rank_county,tribe,polities,Lands,Leading House/Leading House,P8.3;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SAT,SAT,Satavahana,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.4;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ISK,XAX,Indo-Scythian Realm,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.4;CAH-XI;PLE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
IGR,XAY,Indo-Greek Rump,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.4;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
YUE,YUE,Yuezhi Confederation,country,rank_kingdom,tribe,confederation,Confederation,Paramount Leader/Paramount Leader,P8.4;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
YDH,YDH,Yaudheya,country,rank_kingdom,republic,realm,Realm,Ruler/Ruler,P8.4;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ARJ,ARJ,Arjunayana,country,rank_kingdom,republic,realm,Realm,Ruler/Ruler,BM-TRIBAL-COINS;P8.4,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KUN,XAZ,Kuninda,country,rank_kingdom,republic,realm,Realm,Ruler/Ruler,P8.4;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KAL,XBA,Kalinga,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.4;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CHE,XBB,Chera,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.4;PER,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CHL,XBC,Chola,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.4;PER;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PND,PND,Pandya Kingdom,country,rank_kingdom,monarchy,kingdom,Kingdom,King/Queen,P8.4;PER,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ANU,XBD,Anuradhapura,country,rank_kingdom,monarchy,city_state,City-State,First Magistrate/First Magistrate,P8.4;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KUS,XBE,Kush,country,rank_kingdom,monarchy,kingdom,Kingdom,King/Queen,P8.5;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AKS,AKS,Aksum,country,rank_kingdom,tribe,realm,Realm,Ruler/Ruler,P8.5;PER,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GAR,XBF,Garamantes,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.5;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BLM,XBG,Blemmyes,sop,rank_county,tribe,people,People,Leader/Leader,P8.5;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BEJ,XBH,Beja,sop,rank_county,tribe,people,People,Leader/Leader,P8.5;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DJN,DJN,Djenne-Djenno,sop,rank_county,republic,people,People,Leader/Leader,P8.5;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WAF,WAF,Kebbi River Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ZMP,ZMP,Zamfara Plateau Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KPC,KPC,Katsina Plain Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GTC,GTC,Gobir Tarka Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NSK,NSK,Nsukka-Lejja Ironworkers,sop,rank_county,tribe,people,People,Leader/Leader,HER-LEJJA;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
OUE,OUE,Lower Oueme Forest Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,OUP-BENIN;MET-IRON;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VIC,VIC,Volta-Cong Interfluve,sop,rank_county,tribe,people,People,Leader/Leader,JAR-WA-NETWORKS;MET-IRON;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BSW,BSW,Bosumtwi Forest Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,JAH-GHANA;JAR-WA-NETWORKS;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BNT,XDE,Ngovo Horizon,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,SCI-CONGO-RAINFOREST;NGOVO-GROUP;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
URW,URW,Urewe Horizon,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,JAH-BANTU-MOBILITY;AZA-UREWE;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KWL,KWL,Kwale Horizon,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,QI-EAFRICA;UC-MOMBASA;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
RUV,RUV,Ruvuma-Lurio Frontier,sop,rank_county,tribe,people,People,Leader/Leader,QI-EAFRICA;JAH-BANTU-MOBILITY;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
LMP,LMP,Limpopo Hunter-Herder Networks,sop,rank_county,tribe,people,People,Leader/Leader,OUP-SOUTH-AFRICA;JAH-BANTU-MOBILITY;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ZHF,ZHF,Zambezi Hunter-Herder Networks,sop,rank_county,tribe,people,People,Leader/Leader,OUP-SOUTH-AFRICA;JAH-BANTU-MOBILITY;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WDP,WDP,Wadai Plateau Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,MEGACHAD-WADAI;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BCH,XFR,Bauchi Plateau Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,OUP-NOK;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BAR,XDF,Guban Pastoralists,sop,rank_county,tribe,people,People,Leader/Leader,AJA-SOMALILAND;PME-BARBARIA;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AVA,XFN,Avalites,sop,rank_county,tribe,people,People,Leader/Leader,PME-BARBARIA;AJA-SOMALILAND;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MLA,MLA,Malao,sop,rank_county,tribe,people,People,Leader/Leader,PME-BARBARIA;AJA-SOMALILAND;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MUN,XFO,Mundu,sop,rank_county,tribe,people,People,Leader/Leader,PME-BARBARIA;AJA-SOMALILAND;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MOS,XFP,Mosyllon,sop,rank_county,tribe,people,People,Leader/Leader,PME-BARBARIA;AJA-SOMALILAND;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ARO,ARO,Aromata Emporion,sop,rank_county,tribe,people,People,Leader/Leader,PME-BARBARIA;AJA-SOMALILAND;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
OPO,OPO,Opone,sop,rank_county,tribe,people,People,Leader/Leader,PME-BARBARIA;AJA-SOMALILAND;UOA-PERIPLUS;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
HAU,XFQ,Haud Pastoralists,sop,rank_county,tribe,people,People,Leader/Leader,AJA-SOMALILAND;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AZA,AZA,Northern Azania,sop,rank_county,tribe,people,People,Leader/Leader,PME-BARBARIA;P8.5,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SAB,XBI,Saba,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.6;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
HIM,HIM,Himyar,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.6;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
QAT,QAT,Qataban,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.6;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
HAD,XBJ,Hadramawt,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.6;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KIN,KIN,Kindah,sop,rank_county,tribe,people,People,Leader/Leader,P8.6;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
THM,XEQ,Thamud,sop,rank_county,tribe,people,People,Leader/Leader,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AGR,AGR,Agraeans,sop,rank_county,tribe,people,People,Leader/Leader,STR-ARAB;PLN-ARAB,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GRH,GRH,Gerrha,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,OCD-GERRHA;THAJ-ARCH;PLN-ARAB,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
QTR,XER,Cataraei,sop,rank_county,tribe,people,People,Leader/Leader,PLN-ARAB;PTO-ARAB,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
OMN,OMN,Omanitae,sop,rank_county,tribe,people,People,Leader/Leader,PLN-ARAB;PLE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MCM,XBK,Marcomanni,country,rank_kingdom,tribe,kingdom,Kingdom,King/Queen,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CRU,CRU,Cherusci,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CHT,XBL,Chatti,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
FRI,XBM,Frisii,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BTV,BTV,Batavi,subject,rank_kingdom,tribe,client_kingdom,Client Kingdom,King/Queen,P8.7;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
LAN,XBN,Langobardi,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SEM,SEM,Semnones,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
HER,HER,Hermunduri,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
QUA,XBO,Quadi,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GUT,GUT,Gutones,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VAN,VAN,Vandili,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
RUG,RUG,Rugii,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BRG,XBP,Burgundiones,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ANG,XBQ,Angles,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SAX,XBR,Saxons,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
JUT,JUT,Jutes,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SUI,XBS,Suiones,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AES,AES,Aestii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;TAC-GER;OCD-GER,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WBB,WBB,West Balt Barrow Culture,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,PAN-WBB,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BPC,BPC,Brushed Pottery Culture,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,VU-BRUSH,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WSC,WSC,West Lithuanian Stone-Circle Culture,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,LIT-WLSC,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ETG,ETG,Early Tarand-Grave Horizon,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,UT-TARAND,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VEN,XBT,Venedi,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
FIN,XBU,Fenni,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;TAC-GER;OCD-GER,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CAT,XBV,Catuvellauni,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PTO-GEO-II2,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TRI,XBW,Trinovantes,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ICE,XBX,Iceni,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BRI,XBY,Brigantes,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ATB,XBZ,Atrebates,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SIL,XCA,Silures,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PLE;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ORD,XCB,Ordovices,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DUM,DUM,Dumnonii,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.7;CAH-XI;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BRT,XDJ,Cantiaci,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
REG,XES,Regni,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BLG,XET,Belgae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DUR,XEU,Durotriges,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DOB,DOB,Dobunni,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
COR,XEV,Corieltauvi,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CNV,XEW,Cornovii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PBI,PBI,Parisii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CRV,CRV,Carvetii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DEM,XEX,Demetae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DEC,XEY,Deceangli,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
