religion,source,confidence,choice_1,choice_2,choice_3,choice_4
antq_korean_muism,P11;CAH-XI,contested,mudang_rites|Mudang Rites|community|antq_advance_medical_relief.dds|Ritual specialists mediated healing fortune and household crisis.,mountain_spirits|Mountain Spirits|nature|antq_advance_beacon_networks.dds|Mountain powers guarded settlements routes and political centres.,ancestral_tables|Ancestral Tables|ancestor|antq_advance_municipal_accounting.dds|Household observance preserved descent obligation and remembered rank.,village_guardians|Village Guardians|community|antq_advance_fortified_towns.dds|Local guardian rites joined communal boundaries with seasonal safety.
antq_berber_religion,P11;CAH-XI,contested,ancestral_tombs|Ancestral Tombs|ancestor|antq_advance_late_antique_cities.dds|Monumental and local burials maintained claims of kin and memory.,mountain_sanctuaries|Mountain Sanctuaries|nature|antq_advance_frontier_kingdoms.dds|High places and caves focused cult beyond the coastal cities.,desert_oracles|Desert Oracles|learning|antq_advance_surveying_methods.dds|Divination guided movement conflict and relations with distant powers.,pasture_festivals|Pasture Festivals|prosperity|antq_advance_frontier_fairs.dds|Seasonal gathering linked herds exchange marriage and ritual.
antq_hellenic,P11;CAH-XI,secure,polis_cults|Polis Cults|community|antq_advance_civic_patronage.dds|Civic sacrifices festivals and sanctuaries expressed local membership.,oracular_consultation|Oracular Consultation|learning|antq_advance_philosophical_dialogue.dds|Communities and rulers sought interpreted answers at recognized sanctuaries.,mystery_initiation|Mystery Initiation|purity|antq_advance_doctrinal_debate.dds|Initiatory cults offered distinct ritual communities alongside civic worship.,hero_festivals|Hero Festivals|ancestor|antq_advance_athletic_festivals.dds|Games and offerings maintained the memory of founders and heroes.
antq_andean,P11;CAH-XI,secure,huaca_veneration|Huaca Veneration|ritual|antq_advance_regional_elites.dds|Places objects and ancestors could embody powerful sacred presence.,mountain_offerings|Mountain Offerings|nature|antq_advance_fortified_crossings.dds|Highland offerings related communities to peaks weather and movement.,ancestor_bundles|Ancestor Bundles|ancestor|antq_advance_portable_archives.dds|Curated ancestors sustained land claims and corporate memory.,irrigation_rites|Irrigation Rites|prosperity|antq_advance_riverine_trade.dds|Water ceremonies coordinated labor and fertility in arid valleys.
antq_north_american,P11;CAH-XI,contested,earthwork_ceremonies|Earthwork Ceremonies|community|antq_advance_wall_building.dds|Gatherings at earthworks linked exchange burial and public ritual.,seasonal_councils|Seasonal Councils|community|antq_advance_settlement_markets.dds|Periodic councils coordinated movement exchange and communal obligations.,clan_ancestors|Clan Ancestors|ancestor|antq_advance_migrations_society.dds|Descent groups carried memory duties and ritual identities.,vision_rites|Vision Rites|learning|antq_advance_migration_learning.dds|Individual and communal visions guided healing status and decision.
antq_nile_cushitic,P11;CAH-XI,contested,cattle_blessings|Cattle Blessings|prosperity|antq_advance_grain_convoys.dds|Herd rites joined subsistence kinship exchange and social value.,rainmakers|Rainmakers|nature|antq_advance_river_crossings.dds|Specialists addressed rainfall and seasonal uncertainty.,ancestor_shrines|Ancestor Shrines|ancestor|antq_advance_settlement_registers.dds|Lineage memory grounded rights obligations and settlement continuity.,age_set_rites|Age-Set Rites|martial|antq_advance_emergency_levies.dds|Initiation organized service responsibility and generational authority.
antq_theravada,P11;CAH-XI,secure,sangha_patronage|Sangha Patronage|prosperity|antq_advance_monastic_scriptoria.dds|Lay and royal gifts sustained monastic communities and learning.,stupa_veneration|Stupa Veneration|pilgrimage|antq_advance_monastic_libraries.dds|Relic monuments focused devotion movement and collective memory.,merit_making|Merit Making|community|antq_advance_public_philanthropy.dds|Giving observance and support for the sangha generated shared merit.,vinaya_discipline|Vinaya Discipline|purity|antq_advance_clerical_literacy.dds|Monastic discipline ordered communal life and institutional trust.
antq_austronesian_religion,P11;CAH-XI,contested,ancestor_houses|Ancestor Houses|ancestor|antq_advance_mixed_settlements.dds|Houses and heirlooms linked living communities with founding kin.,seafaring_omens|Seafaring Omens|learning|antq_advance_monsoon_navigation.dds|Navigators read weather animals stars and ritual signs before voyages.,island_sanctuaries|Island Sanctuaries|nature|antq_advance_regional_exchange.dds|Groves stones and headlands organized sacred island geography.,harvest_rites|Harvest Rites|prosperity|antq_advance_tax_in_kind.dds|Agricultural ceremonies synchronized labor storage and exchange.
antq_south_arabian_religion,P11;CAH-XI,secure,temple_confederacies|Temple Confederacies|community|antq_advance_market_regulation.dds|Major sanctuaries connected communities rulers and negotiated obligations.,incense_vows|Incense Vows|prosperity|antq_advance_indian_ocean_monsoons.dds|Aromatic offerings linked temple wealth to long-distance exchange.,irrigation_observance|Irrigation Observance|nature|antq_advance_red_sea_piloting.dds|Ritual obligations accompanied the maintenance of water and fields.,pilgrimage_sanctuaries|Pilgrimage Sanctuaries|pilgrimage|antq_advance_silk_road_caravanserais.dds|Periodic pilgrimage joined inland cult centres to caravan communities.
antq_judaism,P11;OCD,secure,temple_service|Temple Service|ritual|antq_advance_state_church.dds|Sacrifice and priestly service centred Second Temple public worship.,torah_study|Torah Study|learning|antq_advance_textual_criticism.dds|Study interpretation and teaching sustained law across communities.,pilgrimage_festivals|Pilgrimage Festivals|pilgrimage|antq_advance_legal_commentaries.dds|Festival journeys connected Judea with a far wider diaspora.,diaspora_synagogues|Diaspora Synagogues|community|antq_advance_merchant_diasporas.dds|Local assemblies supported prayer instruction charity and communal affairs.
antq_caribbean,P11;CAH-XI,contested,zemi_veneration|Zemi Veneration|ritual|antq_advance_regional_schools.dds|Sacred beings and their material presences mediated community welfare.,ancestor_caves|Ancestor Caves|ancestor|antq_advance_refugee_settlement.dds|Caves and remembered origins connected descent groups to place.,cohoba_divination|Cohoba Divination|learning|antq_advance_medical_compendia.dds|Specialized visionary practice informed healing and chiefly counsel.,cassava_ceremonies|Cassava Ceremonies|prosperity|antq_advance_grain_annona.dds|Cultivation processing and communal consumption structured seasonal life.
antq_early_christianity,P11;CAH-XI,secure,apostolic_teaching|Apostolic Teaching|learning|antq_advance_epistolary_networks.dds|Letters remembered teaching and traveling witnesses linked early assemblies.,household_assemblies|Household Assemblies|community|antq_advance_late_antique_communities.dds|Small urban and household gatherings sustained worship and mutual aid.,almsgiving|Almsgiving|prosperity|antq_advance_church_storehouses.dds|Collections supported poorer members travelers and neighboring communities.,martyr_witness|Martyr Witness|ritual|antq_advance_crisis_society.dds|Accounts of steadfast suffering strengthened communities under pressure.
antq_manichaeism,P11;CAH-XI,secure,elect_and_hearers|Elect and Hearers|community|antq_advance_religious_plurals.dds|Distinct obligations joined the ascetic Elect with supporting Hearers.,missionary_codices|Missionary Codices|learning|antq_advance_codex_manuscripts.dds|Illustrated and translated books carried teaching along trade routes.,fast_and_purity|Fast and Purity|purity|antq_advance_crisis_scholarly_preservation.dds|Dietary and fasting disciplines marked the release of light.,two_principles|The Two Principles|learning|antq_advance_orthodoxy_debates.dds|Teaching framed the cosmos through opposed principles of light and darkness.
antq_jainism,P11;CAH-XI,secure,ahimsa|Ahimsa|purity|antq_advance_plague_relief.dds|Nonviolence disciplined conduct toward humans animals and other life.,ascetic_orders|Ascetic Orders|learning|antq_advance_late_antique_schools.dds|Mendicant lineages preserved teaching discipline and debate.,lay_patronage|Lay Patronage|prosperity|antq_advance_scholarly_patronage.dds|Householders sustained teachers shrines travel and charitable activity.,fourfold_community|Fourfold Community|community|antq_advance_mixed_courts.dds|Monks nuns laymen and laywomen formed an interdependent community.
antq_daoism,P11;CAH-XI,secure,registers_of_the_people|Registers of the People|authority|antq_advance_tax_registers.dds|Celestial Masters communities recorded households and ritual obligations.,ritual_healing|Ritual Healing|purity|antq_advance_medical_schools.dds|Confession petitions talismans and communal rites addressed illness.,mountain_retreats|Mountain Retreats|nature|antq_advance_road_milestones.dds|Mountains sheltered reclusion revelation and the search for transcendence.,community_libations|Community Libations|community|antq_advance_public_post.dds|Periodic assemblies joined offerings instruction and communal discipline.
antq_bon,P11;CAH-XI,contested,royal_rites|Royal Rites|authority|antq_advance_dominate_statecraft.dds|Court ritual bound highland powers to emerging royal authority.,funerary_guides|Funerary Guides|ancestor|antq_advance_survival_of_texts.dds|Specialists guided the dead and protected relations between generations.,mountain_deities|Mountain Deities|nature|antq_advance_border_customs.dds|Peaks passes lakes and territorial powers ordered sacred geography.,ritual_divination|Ritual Divination|learning|antq_advance_mathematical_handbooks.dds|Diviners interpreted lots signs and difficult political choices.
antq_kemetic,P11;CAH-XI,secure,temple_processions|Temple Processions|ritual|antq_advance_urban_professions.dds|Divine images left temple precincts in public festival processions.,divine_kingship|Divine Kingship|authority|antq_advance_high_empire_administration.dds|Temple ideology related legitimate rule to cosmic maintenance.,funerary_cults|Funerary Cults|ancestor|antq_advance_late_antique_letters.dds|Offerings and commemorative practice maintained the blessed dead.,serapis_bridge|Serapis Bridge|community|antq_advance_cosmopolitan_cities.dds|Serapis and related cults connected Egyptian and Hellenic communities.
antq_aksumite_paganism,P11;CAH-XI,secure,royal_stelae|Royal Stelae|authority|antq_advance_provincial_elites.dds|Monuments joined royal memory territory and public cult.,mahrem_of_the_kings|Mahrem of the Kings|martial|antq_advance_military_bureaux.dds|The dynastic god Mahrem expressed royal victory and protection.,ancestor_feasts|Ancestor Feasts|ancestor|antq_advance_civic_recovery.dds|Commemorative gatherings sustained kinship and chiefly continuity.,red_sea_offerings|Red Sea Offerings|prosperity|antq_advance_eastern_mediterranean_routes.dds|Offerings accompanied maritime exchange linking Adulis with wider seas.
antq_punic,P11;CAH-XI,contested,tanit_and_baal_hammon|Tanit and Baal Hammon|ritual|antq_advance_provincial_citizenship.dds|Long-lived divine patrons anchored Punic communal identity.,votive_stelae|Votive Stelae|ancestor|antq_advance_municipal_charters.dds|Inscribed dedications recorded household and communal vows.,temple_guilds|Temple Guilds|prosperity|antq_advance_merchant_associations.dds|Cult personnel artisans and patrons sustained surviving sanctuaries.,maritime_vows|Maritime Vows|pilgrimage|antq_advance_principate_exchange.dds|Sailors and merchants promised gifts for protection and safe return.
antq_bantu_religion,P11;CAH-XI,contested,lineage_ancestors|Lineage Ancestors|ancestor|antq_advance_settled_foederati.dds|Remembered kin grounded authority inheritance and claims to land.,ironworking_specialists|Ironworking Specialists|prosperity|antq_advance_field_engineering.dds|Furnace expertise joined restricted knowledge craft and ritual.,rainmaking|Rainmaking|nature|antq_advance_state_annona_routes.dds|Ritual leadership addressed rainfall fertility and collective survival.,initiation_societies|Initiation Societies|community|antq_advance_regional_militias.dds|Initiation organized knowledge responsibility and adult belonging.
antq_siberian,P11;CAH-XI,contested,sky_rites|Sky Rites|authority|antq_advance_frontier_cavalry.dds|Open-sky offerings related mobile communities to overarching powers.,drum_journeys|Drum Journeys|learning|antq_advance_migration_warfare.dds|Rhythm and specialist performance mediated journeys among spirit worlds.,clan_spirits|Clan Spirits|ancestor|antq_advance_hospitality_of_barbarians.dds|Protective beings linked descent groups animals and territory.,hunting_observance|Hunting Observance|nature|antq_advance_cavalry_screening.dds|Ritual restraint governed relations with prey and dangerous landscapes.
antq_australian_dreaming,P11;CAH-XI,contested,ancestral_tracks|Ancestral Tracks|ancestor|antq_advance_migration_market_links.dds|Ancestral journeys joined story obligation and movement through country.,ceremonial_grounds|Ceremonial Grounds|community|antq_advance_frontier_market_towns.dds|Gathering places focused exchange initiation and collective performance.,kinship_law|Kinship Law|community|antq_advance_law_of_persons.dds|Kin categories ordered marriage responsibility ceremony and access.,seasonal_knowledge|Seasonal Knowledge|nature|antq_advance_supply_columns.dds|Detailed seasonal knowledge guided food gathering movement and ceremony.
antq_eastern_hill_traditions,OUP-NEINDIA;UCL-BHUTAN;P11,contested,ancestral_landscapes|Ancestral Landscapes|ancestor|antq_advance_interregional_oral_exchanges.dds|Performed memory linked descent communities to valleys forests stones and routes.,village_councils|Village Councils|community|antq_advance_village_elder_compacts.dds|Household representatives coordinated restitution access and collective labor.,seasonal_rounds|Seasonal Rounds|nature|antq_advance_seasonal_ecological_calendars.dds|Ecological knowledge ordered cultivation gathering movement and exchange.,highland_custodians|Highland Custodians|ritual|antq_advance_hillfort_household_speakers.dds|Local specialists guarded offerings remembered obligations and mediated communal crises.
antq_eastern_iranian_traditions,HAN-WR;IRAN-SOG-KANGJU;IRAN-ARIA;P11,contested,hearth_fire_custody|Hearth Fire Custody|ritual|antq_advance_household_oven_clusters.dds|Household fires focused offerings hospitality and the continuity of eastern Iranian communities.,river_and_canal_offerings|River and Canal Offerings|prosperity|antq_advance_riverside_hamlet_cooperation.dds|Communities joined ritual obligation to the waters sustaining farms orchards and towns.,caravan_oath_networks|Caravan Oath Networks|community|antq_advance_clientage_oath_networks.dds|Sworn protection and witnessed hospitality helped people and goods cross competing jurisdictions.,pasture_and_ancestor_rounds|Pasture and Ancestor Rounds|ancestor|antq_advance_remount_pasture_registers.dds|Seasonal movement linked herds remembered kin and rights to water and grazing.
antq_tarim_oasis_traditions,HAN-WR;HHS-WR;UNESCO-CA-NOMADS;P11,contested,oasis_water_custody|Oasis Water Custody|prosperity|antq_advance_oasis_tribute_stations.dds|Local custodians joined canal maintenance offerings and the survival of irrigated settlements.,route_hospitality|Route Hospitality|community|antq_advance_amber_route_waystations.dds|Guest protection and provisioning bound isolated oasis courts to long overland routes.,court_offerings_and_seals|Court Offerings and Seals|authority|antq_advance_western_regions_caravan_seals.dds|Court ritual and authenticated seals made local kingship legible to merchants and distant powers.,orchard_and_pasture_rounds|Orchard and Pasture Rounds|nature|antq_advance_seasonal_market_circuits.dds|Seasonal knowledge coordinated orchards fields flocks and exchange between basin and mountain.
antq_western_plateau_traditions,CAM-TIB-ARCH;OXF-SINO-TIB;ANT-TIB-HERDING;P11,contested,mountain_and_lake_custody|Mountain and Lake Custody|nature|antq_advance_navigational_star_lore.dds|Prominent peaks lakes and passes focused obligations to dangerous and sustaining landscapes.,ancestor_feast_rounds|Ancestor Feast Rounds|ancestor|antq_advance_lineage_feast_obligations.dds|Seasonal gatherings joined remembered kin herd wealth hospitality and claims to pasture.,highland_mortuary_custodians|Highland Mortuary Custodians|ritual|antq_advance_burial_community_custodians.dds|Local specialists coordinated burial offerings and communal duties without implying a uniform priesthood.,pasture_hospitality_oaths|Pasture Hospitality Oaths|community|antq_advance_intercommunity_oath_circles.dds|Witnessed hospitality and restitution helped mobile households share routes water and shelter.
antq_central_plateau_traditions,ANT-BANGGA;CAM-TIB-ARCH;P11,contested,barley_offering_cycles|Barley Offering Cycles|prosperity|antq_advance_communal_field_schedules.dds|Valley households linked grain cycles storage and offerings to collective subsistence.,household_hearth_custody|Household Hearth Custody|ritual|antq_advance_dispersed_household_compacts.dds|Domestic hearths focused hospitality memory protection and reciprocal obligation.,river_valley_compacts|River-Valley Compacts|community|antq_advance_intersettlement_marriage_networks.dds|Marriage hospitality and passage agreements connected otherwise independent valley settlements.,seasonal_herding_rounds|Seasonal Herding Rounds|nature|antq_advance_seasonal_round_councils.dds|Cultivation and herd movement were coordinated through changing valley and upland seasons.
antq_eastern_plateau_traditions,CAM-EAST-TIB;RAD-YUSHU;OXF-EAST-RIM;P11,contested,stone_cist_custodianship|Stone-Cist Custodianship|ancestor|antq_advance_monumental_precinct_stewardship.dds|Households maintained burial places and obligations without treating one tomb form as a single people.,bronze_exchange_oaths|Bronze Exchange Oaths|prosperity|antq_advance_bloomery_iron_barter.dds|Witnessed exchange tied metal livestock and distant prestige goods to local authority.,highland_passage_arbitration|Highland Passage Arbitration|community|antq_advance_river_portage_stewards.dds|Local mediators settled access restitution and safe passage along steep river corridors.,leading_house_mortuary_feasts|Leading-House Mortuary Feasts|authority|antq_advance_mortuary_community_feasts.dds|Unequal feasts and costly grave goods made highland status visible without proving centralized kingship.
antq_central_indian_traditions,CAM-CENTRAL-INDIA-MEGALITHS;INFLIB-EARLY-HISTORIC;P11,contested,ancestor_stone_custody|Ancestor-Stone Custody|ancestor|antq_advance_recitation_lineages.dds|Households maintained commemorative places and obligations without treating megalithic forms as one people or theology.,field_and_forest_rounds|Field and Forest Rounds|nature|antq_advance_seasonal_forest_clearings.dds|Seasonal knowledge coordinated cultivation grazing gathering and movement between valleys plateaus and forests.,ironworking_hearth_obligations|Ironworking Hearth Obligations|prosperity|antq_advance_metalworking_apprenticeships.dds|Specialist production linked fuel ore skill exchange and household obligations without inventing a uniform ritual guild.,river_passage_compacts|River Passage Compacts|community|antq_advance_river_portage_exchange.dds|Witnessed agreements coordinated ferries paths restitution and exchange along the Narmada Son and upper Mahanadi corridors.
antq_mainland_southeast_asian_traditions,CAM-SAH;UNESCO-JARS;ANT-NLAOS;CAM-SEA-IRON;CAM-MYANMAR-CHRON;P11,contested,mortuary_route_custody|Mortuary Route Custody|ancestor|antq_advance_ritual_poetry_lineages.dds|Communities maintained burial places paths and obligations without treating one jar or bead tradition as a single people or theology.,wet_rice_water_compacts|Wet-Rice Water Compacts|prosperity|antq_advance_agrimensor_field_books.dds|Seasonal agreements coordinated bunds channels fields and labor without inventing one centralized water authority.,river_passage_exchange|River Passage Exchange|community|antq_advance_dugout_crossing_craft.dds|Landing places boats baskets and witnessed exchange linked otherwise separate river and upland communities.,highland_iron_forest_obligations|Highland Iron and Forest Obligations|nature|antq_advance_forest_ambush_routes.dds|Charcoal ore forest access and specialist skill joined upland households without implying one ritual guild.
antq_amur_ussuri_traditions,NMJH-YIL;CAM-PROTOTUNGUSIC;RAD-RFE-IRON;RAD-SAKHALIN;P11,contested,seasonal_salmon_obligations|Seasonal Salmon Obligations|prosperity|antq_advance_coastal_hide_fairs.dds|Households coordinated river access drying stores and reciprocal shares without a centralized authority.,winter_pit_house_stores|Winter Pit-House Stores|community|antq_advance_state_granary_carriage.dds|Bark vessels fuel and household stores sustained cold-season communities without implying a state granary.,maritime_shore_compacts|Maritime Shore Compacts|nature|antq_advance_coastal_route_arbitration.dds|Witnessed understandings coordinated shore access fishing sea-mammal use and exchange without a uniform island polity.,forest_iron_exchange|Forest-Iron Exchange|authority|antq_advance_forest_steppe_envoys.dds|Iron charcoal millet forest products and specialist skill circulated without inventing one guild ethnicity or state.
antq_borneo_late_prehistoric_traditions,ANU-NIAH-METAL;ANTH-KAL-IRON;MYH-BUKIT-TENGKORAK;P11,contested,cave_mortuary_custody|Cave-Mortuary Custody|ancestor|antq_advance_ritual_exchange_journeys.dds|Households maintained burial places remains paths and reciprocal obligations without one organized theology.,river_portage_compacts|River-Portage Compacts|community|antq_advance_stilt_settlement_compacts.dds|Witnessed agreements coordinated canoes landing places carrying routes restitution and exchange between otherwise separate river communities.,maritime_pottery_exchange|Maritime Pottery Exchange|prosperity|antq_advance_shell_valuables_exchange.dds|Pottery shell obsidian beads and forest products moved through coastal exchange without a centralized port state.,iron_hearth_obligations|Iron-Hearth Obligations|authority|antq_advance_sahel_iron_exchange.dds|Ore charcoal furnaces specialist skill and exchange linked foothill households without inventing a uniform guild or ruling people.
