key,name,kind,copy_from,status,age,tags,gfx_tags,modifiers,combat,source,confidence,note
antq_roman_alae,Roman Alae,land,a_age_1_traditions_light_cavalry,regular,age_1_traditions,ROM,light_tag,movement_speed=0.18|flanking_ability=0.10,grasslands=0.05,P14;CAH-XI,secure,Bounded early-imperial auxiliary-cavalry role adapter; it does not reconstruct an ala name strength or provincial posting
antq_thureophoroi,Thureophoroi,land,a_age_1_traditions_light_infantry,regular,age_1_traditions,CLZ|BOS|ARM|CAP|COM|EME,light_tag|sword_tag,initiative=0.25|morale_damage_done=0.05,hills=0.05,P14;CAH-XI,contested,Hellenistic flexible-infantry adapter; regional availability is deliberately bounded
antq_hellenistic_phalanx,Hellenistic Phalanx,land,a_age_1_traditions_heavy_infantry,regular,age_1_traditions,BOS|CLZ,heavy_tag|sword_tag,combat_speed=-0.20|morale_damage_done=0.10,hills=-0.10|forest=-0.10,P14;CAH-XI,contested,Remnant phalanx adapter for the Black Sea Hellenistic courts rather than a universal classical unit
antq_warbands,Warbands,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,MCM|CRU|CHT|FRI|BTV|LAN|SEM|HER|QUA|GUT|VAN|RUG|BRG|ANG|SAX|JUT|GER|CAT|TRI|ICE|BRI|ATB|SIL|ORD|DUM|CAL|ULA|BRT,medium_tag|sword_tag,morale_damage_done=0.15|strength_damage_taken=0.05,forest=0.10|hills=0.05,P14;CAH-XI,secure,Germanic Celtic and Brittonic levy-warband adapter; it does not claim a uniform tactical doctrine
antq_han_crossbow_infantry,Han Crossbow Infantry,land,a_age_1_traditions_light_infantry,regular,age_1_traditions,HAN,archer_tag|light_tag,morale_damage_done=0.15|initiative=0.25,hills=0.05,P14;BHR;CAH-XI,secure,Western Han regular crossbow-infantry edge represented without inventing a specific unit establishment
antq_indian_longbowmen,Indian Longbowmen,land,a_age_1_traditions_light_infantry,regular,age_1_traditions,SAT|ISK|IGR|YDH|ARJ|KUN|KAL|CHE|CHL|PND|ANU,archer_tag|light_tag,morale_damage_done=0.10|initiative=0.20,hills=0.05,P14;CAH-XI,contested,Regional longbow infantry adapter for the Indian subcontinent and Lanka
antq_war_elephants,War Elephants,land,a_age_1_traditions_heavy_cavalry,regular,age_1_traditions,SAT|ISK|IGR|YDH|ARJ|KUN|KAL|CHE|CHL|PND|ANU,elephant_tag|medium_tag,morale_damage_done=0.20|strength_damage_taken=-0.05,jungle=0.20|coastal=-0.10,P14;CAH-XI,contested,War-elephant adapter restricted to South Asian courts; its exact local supply is later economy work
antq_nubian_archers,Nubian Archers,land,a_age_1_traditions_light_infantry,regular,age_1_traditions,KUS|AKS|BLM|BEJ,archer_tag|light_tag,initiative=0.30|morale_damage_done=0.10,desert=0.10,P14;CAH-XI,contested,Nile-valley and Horn archer adapter without claiming a single uniform ethnic establishment
antq_cataphracts,Cataphracts,land,a_age_1_traditions_heavy_cavalry,regular,age_1_traditions,PAR|ATR|SKT|ARM|ALA|SIR|AOR|ROX,medium_tag|heavy_tag,morale_damage_done=0.15|strength_damage_taken=-0.10|combat_speed=-0.20,grasslands=0.10|mountains=-0.10,P14;CAH-XI,secure,Iranian and Sarmatian heavy-lancer adapter; Roman adoption remains a later advance-era outcome
antq_parthian_horse_archers,Parthian Horse Archers,land,a_age_1_traditions_light_cavalry,regular,age_1_traditions,PAR|ATR|SKT|ARM|ALA|SIR|AOR|ROX,archer_tag|light_tag,movement_speed=0.25|flanking_ability=0.15|strength_damage_taken=0.04,grasslands=0.12|mountains=-0.08,P14;CAH-XI,secure,Iranian mounted-archery role adapter complementary to cataphracts; it does not fix a noble-house contingent or field-army composition
antq_steppe_horse_archers,Steppe Horse Archers,land,a_age_1_traditions_light_cavalry,regular,age_1_traditions,XIO|XIA|WHU|DNG|KNG|WSN|DAY|YUE,archer_tag|light_tag,movement_speed=0.30|flanking_ability=0.20|strength_damage_taken=0.05,grasslands=0.15|forest=-0.10,P14;CAH-XI,secure,Mounted-archery adapter for Xiongnu and adjacent steppe polities
antq_numidian_light_horse,Numidian Light Horse,land,a_age_1_traditions_light_cavalry,regular,age_1_traditions,MAU|GAR|BER,light_tag,movement_speed=0.30|flanking_ability=0.20,desert=0.10,P14;CAH-XI,contested,North African light-cavalry adapter without projecting Roman auxiliary organization onto independent courts
antq_camelry,Camelry,land,a_age_1_traditions_light_cavalry,regular,age_1_traditions,NAB|SAB|HIM|QAT|HAD|KIN|BED,light_tag,movement_speed=0.15|supply_weight=-0.10,desert=0.15,P14;CAH-XI,contested,Arabian camel-mounted adapter with intentionally broad regional availability
antq_british_chariots,British Chariots,land,a_age_1_traditions_light_cavalry,levy,age_1_traditions,CAT|TRI|ICE|BRI|ATB|SIL|ORD|DUM|BRT|REG|BLG|DUR|DOB|COR|CNV|PBI|DEM|DEC,light_tag,movement_speed=0.20|flanking_ability=0.10,grasslands=0.05|forest=-0.15,P14;CAH-XI;PTO-GEO-II2,contested,Obsolescent southern and western British chariot adapter rather than an assertion that every AD 1 community fielded the same force.
antq_germanic_horse,Germanic Light Horse,land,a_age_1_traditions_light_cavalry,levy,age_1_traditions,MCM|CRU|CHT|FRI|BTV|LAN|SEM|HER|QUA|GUT|VAN|RUG|BRG|ANG|SAX|JUT|GER|CAT|TRI|ICE|BRI|ATB|SIL|ORD|DUM|CAL|ULA|BRT,light_tag,movement_speed=0.16|flanking_ability=0.08,grasslands=0.05|forest=0.03,P14;CAH-XI;STR-GER;OCD-GER,contested,Bounded Germanic and Celtic light-horse levy adapter; it does not claim a uniform tribal cavalry doctrine equipment ratio or campaign formation
antq_comitatenses,Comitatenses,land,a_age_4_reformation_heavy_infantry,regular,age_4_reformation,ROM,heavy_tag|sword_tag,morale_damage_done=0.10|movement_speed=0.10,hills=0.05,P14;NOTITIA,contested,Late Roman mobile-field-army adapter reserved for the Dominate age
antq_limitanei,Limitanei,land,a_age_4_reformation_heavy_infantry,regular,age_4_reformation,ROM,heavy_tag|sword_tag,strength_damage_taken=-0.05|combat_speed=-0.10,river=0.10,P14;NOTITIA,contested,Late Roman frontier-force adapter reserved for the Dominate age
antq_balearic_slingers,Balearic Slingers,land,a_age_1_traditions_light_infantry,mercenary,age_1_traditions,ROM|MAU,light_tag,initiative=0.30|morale_damage_done=0.10,hills=0.05,P14;CAH-XI,secure,Era mercenary company adapter; availability is not a claim of permanent island sovereignty
antq_cretan_archers,Cretan Archers,land,a_age_1_traditions_light_infantry,mercenary,age_1_traditions,ROM|CLZ|BOS,archer_tag|light_tag,initiative=0.30|morale_damage_done=0.10,hills=0.10,P14;CAH-XI,secure,Era mercenary company adapter for Hellenic military labor markets
antq_germanic_bodyguards,Germanic Bodyguards,land,a_age_1_traditions_heavy_infantry,mercenary,age_1_traditions,ROM|PAR|MCM|SUE|CRU|CHT,medium_tag|sword_tag,strength_damage_taken=-0.05|morale_damage_done=0.10,forest=0.05,P14;CAH-XI,contested,Era mercenary-company adapter; it does not pre-script a named guard corps
antq_saka_horse,Saka Horse,land,a_age_1_traditions_light_cavalry,mercenary,age_1_traditions,ISK|YUE|KNG|WSN|DAY|PAR,archer_tag|light_tag,movement_speed=0.25|flanking_ability=0.15,grasslands=0.10,P14;CAH-XI,secure,Era mercenary-company adapter for Saka-style mounted archers
antq_galatian_swordsmen,Galatian Swordsmen,land,a_age_1_traditions_heavy_infantry,mercenary,age_1_traditions,ROM|BOS|CLZ|CAP|COM|ARM,medium_tag|sword_tag,morale_damage_done=0.10|strength_damage_taken=-0.03,hills=0.05,P14;CAH-XI,contested,Era mercenary-company adapter for Hellenistic and Roman military labor markets; it does not create a named Galatian regiment
antq_thracian_peltasts,Thracian Peltasts,land,a_age_1_traditions_light_infantry,mercenary,age_1_traditions,ROM|BOS|CLZ|CAP|COM|ARM,light_tag|sword_tag,initiative=0.20|morale_damage_done=0.05,hills=0.10,P14;CAH-XI,contested,Era light-infantry company adapter for Balkan and Hellenistic military labor markets without a fixed ethnic order of battle
antq_numidian_horse_company,Numidian Horse Company,land,a_age_1_traditions_light_cavalry,mercenary,age_1_traditions,ROM|MAU|GAR|BER,light_tag,movement_speed=0.25|flanking_ability=0.15,desert=0.10,P14;CAH-XI,contested,Era North African light-horse company adapter distinct from independent-court forces and without a named contract or roster
antq_local_watercraft,Local Watercraft,navy,n_age_1_traditions_light_ship,regular,age_1_traditions,ALL,,movement_speed=0.30|hull_size=-5,,P14;CAH-XI,contested,Small boats and rafts permit local water movement but do not imply transport service patrol organization or a state fleet.
antq_limited_coastal_transport,Limited Coastal Transport,navy,n_age_1_traditions_transport,regular,age_1_traditions,ALL,,transport_capacity=0.10|hull_size=-4,,P14;CAH-XI,contested,Ad hoc short-range carriage available only to coastal polities with enough ports or political capacity; not a permanent fleet.
antq_coastal_watch_craft,Coastal Watch Craft,navy,n_age_1_traditions_light_ship,regular,age_1_traditions,ALL,,movement_speed=0.35|hull_size=-4,,P14;CAH-XI,contested,Regularly mustered harbor craft able to escort and patrol a home littoral but not to sustain a state battle fleet.
antq_state_oared_squadron,State Oared Squadron,navy,n_age_1_traditions_galley,regular,age_1_traditions,ALL,,crew_size=0.01|hull_size=-2,,P14;CAH-XI,contested,A centrally supplied oared squadron representing durable state naval administration without asserting a single hull tradition.
antq_open_sea_merchantmen,Open-Sea Merchantmen,navy,n_age_1_traditions_transport,regular,age_1_traditions,ALL,,transport_capacity=0.30|hull_size=-2,,P14;PER;CAH-XI,contested,Long-distance seagoing carriage restricted to polities with documented imperial or monsoon-network capacity.
antq_liburnian,Liburnian,navy,n_age_1_traditions_galley,regular,age_1_traditions,ROM,mediterranean_galley_tag,movement_speed=0.50|hull_size=-2,,P14;CAH-XI,secure,Light Roman galley for ramming missile fire and boarding
antq_trireme,Trireme,navy,n_age_1_traditions_galley,regular,age_1_traditions,ROM|BOS|CLZ|JUD,mediterranean_galley_tag,hull_size=-1|crew_size=0.01,,P14;CAH-XI,secure,Oared Mediterranean warship for ramming missile fire and boarding
antq_quinquereme,Quinquereme,navy,n_age_1_traditions_galley,regular,age_1_traditions,ROM|MAU,mediterranean_galley_tag,hull_size=2|crew_size=0.03,,P14;CAH-XI,contested,Larger Hellenistic-Roman galley with heavy crews and deck artillery
antq_merchant_roundship,Merchant Roundship,navy,n_age_1_traditions_transport,regular,age_1_traditions,ROM|PAR|HAN|SAT|CHE|BOS|CLZ|OMN,,transport_capacity=0.35|hull_size=-2,,P14;CAH-XI,secure,Ancient merchant carrier for rivers coasts and established sea-lanes
antq_monsoon_dhow,Monsoon Dhow,navy,n_age_1_traditions_light_ship,regular,age_1_traditions,SAT|CHE|SAB|HIM|QAT|HAD|BAR,,movement_speed=0.50|hull_size=-2,,P14;PER;CAH-XI,contested,Indian-Ocean coastal and monsoon sailing vessel
antq_austronesian_outrigger,Austronesian Outrigger,navy,n_age_1_traditions_transport,levy,age_1_traditions,MAL|JAV|LZC|CXR|MBL|BCP|MDR|PNY|NGR|CBH|PLW|AGS|LNO|PCT|MTT|ZBG|SLU|NBR|RSW|KSB|NEB|SGK|MHK|KPM|WBC|CSB|BPR|TON|KBC|EMR|WCR,,movement_speed=0.75|hull_size=-5|transport_capacity=-0.10,,P14;CAH-XI,contested,Austronesian small-vessel adapter; no trans-Pacific discovery or oceanic class is implied
antq_roman_marines,Roman Marines,land,a_age_1_traditions_heavy_infantry,regular,age_1_traditions,ROM,medium_tag|sword_tag,morale_damage_done=0.08|strength_damage_taken=-0.03,coastal=0.10,P14;CAH-XI,contested,Bounded Roman naval-infantry role adapter without a named fleet detachment or roster
antq_roman_sagittarii,Roman Sagittarii,land,a_age_1_traditions_light_infantry,regular,age_1_traditions,ROM,archer_tag|light_tag,initiative=0.20|morale_damage_done=0.08,hills=0.05,P14;CAH-XI,contested,Bounded Roman auxiliary-archer role adapter without provincial posting or unit identity claims
antq_roman_scouts,Roman Exploratores,land,a_age_1_traditions_light_cavalry,regular,age_1_traditions,ROM,light_tag,movement_speed=0.22|flanking_ability=0.12,forest=0.05,P14;CAH-XI,contested,Bounded Roman reconnaissance-cavalry role adapter without a named explorator corps
antq_parthian_foot_archers,Parthian Foot Archers,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,PAR|ATR,archer_tag|light_tag,initiative=0.18|morale_damage_done=0.06,hills=0.05,P14;CAH-XI,contested,Bounded Arsacid infantry-archer role adapter without a field-order reconstruction
antq_parthian_noble_lancers,Parthian Noble Lancers,land,a_age_1_traditions_heavy_cavalry,regular,age_1_traditions,PAR|ATR,heavy_tag|medium_tag,morale_damage_done=0.12|strength_damage_taken=-0.06,grasslands=0.08,P14;CAH-XI,contested,Bounded noble-lancer role distinct from the general cataphract adapter and without a house contingent claim
antq_germanic_spearmen,Germanic Spearmen,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,MCM|CRU|CHT|FRI|BTV|LAN|SEM|HER|QUA|GUT|VAN|RUG|BRG|ANG|SAX|JUT|GER,medium_tag|sword_tag,morale_damage_done=0.08|strength_damage_taken=-0.02,forest=0.08,P14;CAH-XI;STR-GER,contested,Bounded spear-levy adapter without a uniform Germanic tactical doctrine or equipment ratio
antq_germanic_javelins,Germanic Javelin Levy,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,MCM|CRU|CHT|FRI|BTV|LAN|SEM|HER|QUA|GUT|VAN|RUG|BRG|ANG|SAX|JUT|GER,light_tag|sword_tag,initiative=0.18|movement_speed=0.08,forest=0.10,P14;CAH-XI;STR-GER,contested,Bounded skirmishing-levy adapter without a uniform tribal armament claim
antq_syrian_archers,Syrian Archer Company,land,a_age_1_traditions_light_infantry,mercenary,age_1_traditions,ROM|PAR|JUD,archer_tag|light_tag,initiative=0.24|morale_damage_done=0.08,hills=0.08,P14;CAH-XI,contested,Era archer-company adapter without a named Syrian regiment or client levy claim
antq_iberian_swordsmen,Iberian Swordsmen,land,a_age_1_traditions_heavy_infantry,mercenary,age_1_traditions,ROM|MAU,medium_tag|sword_tag,morale_damage_done=0.12|strength_damage_taken=-0.03,hills=0.06,P14;CAH-XI,contested,Era western-Mediterranean company adapter without a named Iberian contract or troop strength
antq_dacian_falxmen,Dacian Falxmen,land,a_age_1_traditions_heavy_infantry,mercenary,age_1_traditions,DAC|ROM|MCM,medium_tag|sword_tag,morale_damage_done=0.14|strength_damage_taken=0.04,hills=0.12,P14;CAH-XI,contested,Era Dacian weapon-role company adapter without a named royal or tribal contingent
antq_armenian_horse,Armenian Horse Company,land,a_age_1_traditions_light_cavalry,mercenary,age_1_traditions,ARM|PAR|ROM,light_tag,movement_speed=0.20|flanking_ability=0.12,mountains=0.08,P14;CAH-XI,contested,Era Armenian mounted-company adapter without a named nakharar house or deployment claim
antq_cilician_marines,Cilician Marine Company,land,a_age_1_traditions_light_infantry,mercenary,age_1_traditions,ROM|CLZ|BOS,light_tag|sword_tag,movement_speed=0.10|morale_damage_done=0.06,coastal=0.12,P14;CAH-XI,contested,Era coastal marine-company adapter without a pirate fleet or named contract claim
antq_nabataean_caravan_guards,Nabataean Caravan Guards,land,a_age_1_traditions_light_cavalry,regular,age_1_traditions,NAB,light_tag,movement_speed=0.12|supply_weight=-0.08,desert=0.10|hills=0.05,P8.1;P8.5;P14;NABATAEA-MAP;STR-ARAB,secure,"Mounted route guards adapt Nabataea's secure caravan and desert-water setting without claiming a uniform standing corps, equipment issue, or fixed establishment."
antq_north_arabian_camel_scouts,North Arabian Camel Scouts,land,a_age_1_traditions_light_cavalry,levy,age_1_traditions,THM|AGR|BED|KIN,light_tag,movement_speed=0.15|supply_weight=-0.10,desert=0.12,P8.5;P14;STR-ARAB;PTO-ARAB,contested,"A bounded mounted scouting adapter for dispersed northern and interior Arabian route communities; it does not impose one ethnic army or permanent camel corps."
antq_south_arabian_highland_levies,South Arabian Highland Levies,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,SAB|HIM|QAT|HAD,medium_tag|heavy_tag,morale_damage_taken=-0.04|movement_speed=-0.03,hills=0.10|mountains=0.08,P8.5;P14;UNESCO-SABA;UNESCO-QATABAN;HIMYAR-HIST,contested,"Highland and terrace-country musters receive a restrained infantry adapter without claiming identical weapons, drill, or mobilization across the South Arabian kingdoms."
antq_omanite_coastal_warbands,Omanite Coastal Warbands,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,OMN,light_tag|sword_tag,movement_speed=0.08|supply_weight=-0.05,coastal=0.10|desert=0.05,P8.6;P14;STR-ARAB;CAH-XI,contested,"A light coastal and oasis following for Omanite communities, bounded away from later naval institutions and any claim for standardized equipment or command."
antq_marcomannic_royal_retinue,Marcomannic Royal Retinue,land,a_age_1_traditions_heavy_infantry,regular,age_1_traditions,MCM,heavy_tag|medium_tag,morale_damage_done=0.10|strength_damage_taken=-0.04,forest=0.08|hills=0.05,P8.7;P14;STR-GER;TAC-ANN-II,contested,"A bounded royal-following adapter for Maroboduus's court without asserting a fixed guard establishment, standardized equipment, or permanent Germanic monarchy."
antq_batavian_auxiliary_cohort,Batavian Auxiliary Cohort,land,a_age_1_traditions_heavy_infantry,regular,age_1_traditions,BTV|ROM,medium_tag|heavy_tag,morale_damage_taken=-0.04|movement_speed=0.05,river=0.10|wetlands=0.08,P8.7;P14;TAC-BAT;CAH-XI,contested,"A bounded lower-Rhine auxiliary-service adapter without naming a permanent cohort, exact establishment, ethnic monopoly, or AD 1 deployment."
antq_semnonian_grove_muster,Semnonian Grove Muster,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,SEM,medium_tag|sword_tag,morale_damage_done=0.08|initiative=0.08,forest=0.12,P8.7;P14;TAC-GER;STR-GER,contested,"A district levy gathered under Semnonian sacred and assembly practice without turning the grove into a barracks or claiming uniform arms."
antq_aestian_amber_road_guards,Aestian Amber-Road Guards,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,AES,light_tag|archer_tag,movement_speed=0.10|supply_weight=-0.06,forest=0.10|coastal=0.06,P8.7;P14;TAC-GER;PAN-WBB;VU-BRUSH,contested,"A local escort adapter for plural Aestian shore and amber-route communities; it is not a unified state guard or reconstructed ethnic army."
antq_gothic_migrant_host,Gothic Migrant Host,land,a_age_1_traditions_heavy_infantry,levy,age_2_renaissance,GUT|VAN|RUG|BRG,medium_tag|heavy_tag,movement_speed=0.08|supply_weight=-0.08,forest=0.08|grasslands=0.06,P8.7;P14;STR-GER;CAH-XI,contested,"A migration-era host adapter for changing lower-Vistula and Pontic coalitions without scripting one inevitable route, conquest, or pan-Gothic army."
antq_alamannic_confederate_host,Alamannic Confederate Host,land,a_age_1_traditions_heavy_infantry,levy,age_3_discovery,CHT|HER|SEM|MCM,medium_tag|heavy_tag,morale_damage_done=0.10|movement_speed=0.05,forest=0.08|hills=0.08,P8.7;P14;OCD-ALE;CAH-XI,contested,"A post-AD-213 upper-Rhine confederate-host adapter whose tag access represents possible constituent continuities rather than retrojecting Alemanni into AD 1."
antq_frankish_rhine_warband,Frankish Rhine Warband,land,a_age_1_traditions_heavy_infantry,levy,age_3_discovery,BTV|FRI|CRU|CHT,medium_tag|sword_tag,morale_damage_done=0.10|strength_damage_taken=-0.03,river=0.10|forest=0.06,P8.7;P14;CAM-FRK;CAH-XI,contested,"A post-AD-250 lower-Rhine confederate-warband adapter without treating earlier Batavian, Frisian, Cheruscan, or Chattian polities as already Frankish."
antq_saxon_coastal_warband,Saxon Coastal Warband,land,a_age_1_traditions_light_infantry,levy,age_4_reformation,SAX|ANG|JUT|LAN,light_tag|sword_tag,movement_speed=0.12|supply_weight=-0.06,coastal=0.12|wetlands=0.06,P8.7;P14;STR-GER;CAH-XII,contested,"A late-Roman North Sea coastal-warband adapter, available only after AD 300 and not a claim for the later Adventus Saxonum outcome."
antq_mesopotamian_river_patrol,Mesopotamian River Patrol,navy,n_age_1_traditions_galley,regular,age_1_traditions,PAR|CHA|ELY|PRS,,movement_speed=0.35|hull_size=-3,,P8.2;P14;PER;CAH-XI,contested,"A shallow-draft oared patrol adapter for the Tigris-Euphrates corridor; it does not imply an Arsacid blue-water fleet or standardized hull."
antq_persian_gulf_patrol_craft,Persian Gulf Patrol Craft,navy,n_age_1_traditions_light_ship,regular,age_1_traditions,PAR|CHA|ELY|PRS|OMN|SAB|HIM|QAT|HAD,,movement_speed=0.45|hull_size=-3,,P8.2;P8.5;P14;PER;CAH-XI,contested,"A stitched-plank coastal patrol and escort adapter for Gulf ports and island passages without projecting later dhow rigs or a permanent state navy."
antq_mesopotamian_river_transport,Mesopotamian River Transport,navy,n_age_1_traditions_transport,regular,age_1_traditions,PAR|CHA|ELY|PRS,,transport_capacity=0.30|hull_size=-2,,P8.2;P14;PER;CAH-XI,secure,"A broad river cargo and troop-transport adapter for Mesopotamian waterways, distinct from an ocean-going merchant roundship."
antq_caspian_oared_boat,Caspian Oared Boat,navy,n_age_1_traditions_galley,regular,age_1_traditions,PAR|ATR|ALC|IBR|ARM,,movement_speed=0.40|hull_size=-4,,P8.2;P14;PER;CAH-XI,contested,"A compact oared coastal craft for Caspian shore movement and local patrol, not a Mediterranean trireme or a reconstructed royal squadron."
antq_spear_and_shield_infantry,Spear and Shield Infantry,land,a_age_1_traditions_heavy_infantry,regular,age_1_traditions,ALL,medium_tag|heavy_tag,morale_damage_taken=-0.02|movement_speed=-0.02,hills=0.02|forest=0.02,P14;CAH-XI,secure,"A universal ancient heavy-foot floor using broadly attested spear-and-shield equipment; regional specialists remain stronger and more distinctive."
antq_javelin_skirmishers,Javelin Skirmishers,land,a_age_1_traditions_light_infantry,regular,age_1_traditions,ALL,light_tag,initiative=0.10|movement_speed=0.06,hills=0.03|forest=0.03,P14;CAH-XI,secure,"A universal ancient light-foot floor for dispersed missile harassment without assigning one ethnic doctrine or equipment standard."
antq_bow_infantry,Bow Infantry,land,a_age_1_traditions_light_infantry,regular,age_1_traditions,ALL,archer_tag|light_tag,initiative=0.12|morale_damage_done=0.03,forest=0.02|hills=0.02,P14;CAH-XI,secure,"A conservative self-bow infantry floor available across the roster; composite bows and famous regional archers remain separate specialists."
antq_household_retainers,Household Retainers,land,a_age_1_traditions_heavy_infantry,regular,age_1_traditions,ALL,medium_tag|sword_tag,morale_damage_done=0.04|strength_damage_taken=-0.02,hills=0.02,P14;CAH-XI,contested,"A small prestige-bound heavy-foot role abstracting household service without claiming a uniform aristocratic institution across all polities."
antq_district_spear_muster,District Spear Muster,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,ALL,medium_tag|heavy_tag,morale_damage_taken=-0.01|movement_speed=-0.03,hills=0.02,P14;CAH-XI,contested,"A universal levy floor for locality-based spear musters; the district label is mechanical and does not impose Roman territorial administration."
antq_seasonal_skirmishers,Seasonal Skirmishers,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,ALL,light_tag,initiative=0.08|movement_speed=0.05,forest=0.03|hills=0.02,P14;CAH-XI,contested,"A universal levy floor for seasonal light-foot service using locally available missiles and shields."
antq_frontier_spear_company,Frontier Spear Company,land,a_age_1_traditions_heavy_infantry,mercenary,age_1_traditions,ALL,medium_tag|heavy_tag,morale_damage_taken=-0.02|supply_weight=-0.03,hills=0.03|river=0.03,P14;CAH-XI,contested,"A portable paid spear-company role representing military labor markets without inventing a named permanent regiment."
