overlord_design_tag,overlord_engine_tag,overlord_name,subject_design_tag,subject_engine_tag,subject_name,start_capital,installed_start_ownable,subject_type,base_loyalty_to_overlord,strength_vs_overlord,maritime_path_tolerance,expected_start_loyalty_min,expected_start_loyalty_max,autonomy,tribute,war_duty,relations,integration,source,confidence,note
HAN,XAR,Western Han,KUC,KUC,Kucha,kucha,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.3;CHG,secure,Kucha Western Regions tributary
HAN,XAR,Western Han,KAS,XAT,Kashgar,kashgar,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.3;CHG,secure,Kashgar Western Regions tributary
HAN,XAR,Western Han,LOU,LOU,Loulan,loulan,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.3;CHG,secure,Loulan Western Regions tributary
HAN,XAR,Western Han,TUR,XAV,Turfan,turpan,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.3;CHG,secure,Turfan Western Regions tributary
HAN,XAR,Western Han,GMU,GMU,Gumo,aksu,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR;IRAN-AKS,contested,Gumo Western Regions tributary with local kingship retained
HAN,XAR,Western Han,QIM,XGA,Qiemo,charchan,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR,contested,Qiemo Western Regions tributary with local kingship retained
HAN,XAR,Western Han,YQI,YQI,Yanqi,karasahr,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR;HHS-WR,contested,Yanqi Western Regions tributary with local kingship retained
HAN,XAR,Western Han,SHC,SHC,Shache,yarkand,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR;IRAN-YAR,contested,Shache Western Regions tributary with local kingship retained
HAN,XAR,Western Han,PUL,PUL,Puli,sarikol,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR,contested,Puli Western Regions tributary with local highland court retained
HAN,XAR,Western Han,FJS,FJS,Further Jushi,beshbalik,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR;HHS-WR,contested,Further Jushi Western Regions tributary with local kingship retained
HAN,XAR,Western Han,IWL,IWL,Yiwulu,hami,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR;IRAN-CT,contested,Yiwulu Western Regions tributary with local kingship retained
HAN,XAR,Western Han,DNH,DNH,Danhuan,urumqi,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,HAN-WR;HHS-WR,contested,Danhuan Western Regions tributary represented as a very small local state
KNG,XCI,Kangju,SOG,SOG,Sogdian Cities,samarkand,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,IRAN-SOG-KANGJU;HAN-WR,contested,Sogdian city polities within the wider Kangju confederational sphere
