key,name,home,source,confidence,note
antq_pompeian_sextus_court_line,Pompeian Sextus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Pompeian genealogy campaign office residence or career.
antq_appuleian_sextus_court_line,Appuleian Sextus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct an Appuleian genealogy campaign office residence or career.
antq_norbanian_flaccus_court_line,Norbanian Flaccus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Norbanian genealogy campaign office residence or career.
antq_junian_silanus_consul_15_court_line,Junian Silanus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_statilian_sisenna_court_line,Statilian Sisenna Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Statilian genealogy campaign office residence or career.
antq_scribonian_libo_court_line,Scribonian Libo Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Scribonian genealogy campaign office residence or career.
antq_vibian_rufus_court_line,Vibian Rufus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vibian genealogy campaign office residence or career.
antq_pomponian_graecinus_court_line,Pomponian Graecinus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Pomponian genealogy campaign office residence or career.
antq_pomponian_flaccus_court_line,Pomponian Flaccus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Pomponian genealogy campaign office residence or career.
antq_caelian_rufus_court_line,Caelian Rufus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Caelian genealogy campaign office residence or career.
antq_vibian_marsus_court_line,Vibian Marsus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vibian genealogy campaign office residence or career.
antq_voluseian_proculus_court_line,Voluseian Proculus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Voluseian genealogy campaign office residence or career.
antq_seian_tubero_court_line,Seian Tubero Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Seian genealogy campaign office residence or career.
antq_livineian_regulus_court_line,Livineian Regulus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Livineian genealogy campaign office residence or career.
antq_rubellian_blandus_court_line,Rubellian Blandus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Rubellian genealogy campaign office residence or career.
antq_vipstanian_gallus_court_line,Vipstanian Gallus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vipstanian genealogy campaign office residence or career.
antq_junian_torquatus_court_line,Junian Torquatus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_norbanian_balbus_court_line,Norbanian Balbus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Norbanian genealogy campaign office residence or career.
antq_petronian_publius_court_line,Petronian Publius Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Petronian genealogy campaign office residence or career.
antq_valerian_barbatus_court_line,Valerian Barbatus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Valerian genealogy campaign office residence or career.
antq_aurelian_cotta_court_line,Aurelian Cotta Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct an Aurelian genealogy campaign office residence or career.
antq_aemilian_scaurus_court_line,Aemilian Scaurus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct an Aemilian genealogy campaign office residence or career.
antq_tremellian_court_line,Tremellian Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Tremellian genealogy campaign office residence or career.
antq_haterian_agrippa_court_line,Haterian Agrippa Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Haterian genealogy campaign office residence or career.
antq_sulpician_galba_court_line,Sulpician Galba Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Sulpician genealogy campaign office residence or career.
antq_asinian_pollio_consul_23_court_line,Asinian Pollio Consul of 23 Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for the later Pollio homonym; it does not reconstruct an Asinian genealogy campaign office residence or career.
antq_antistian_vetus_court_line,Antistian Vetus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct an Antistian genealogy campaign office residence or career.
antq_stertinian_maximus_court_line,Stertinian Maximus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Stertinian genealogy campaign office residence or career.
antq_cornelian_cethegus_court_line,Cornelian Cethegus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_visellian_lucius_court_line,Visellian Lucius Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Visellian genealogy campaign office residence or career.
antq_calpurnian_aviola_court_line,Calpurnian Aviola Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Calpurnian genealogy campaign office residence or career.
antq_cornelian_lentulus_scipio_court_line,Cornelian Lentulus Scipio Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_cornelian_cossus_court_line,Cornelian Cossus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_petronian_gaius_court_line,Petronian Gaius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Petronian genealogy campaign office residence or career.
antq_cornelian_gaetulicus_court_line,Cornelian Gaetulicus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_calvisian_sabinus_court_line,Calvisian Sabinus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Calvisian genealogy campaign office residence or career.
antq_antistian_lucius_court_line,Antistian Lucius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct an Antistian genealogy campaign office residence or career.
antq_calpurnian_piso_consul_27_court_line,Calpurnian Piso Consul of 27 Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for the later Piso homonym; it does not reconstruct a Calpurnian genealogy campaign office residence or career.
antq_licinian_crassus_frugi_court_line,Licinian Crassus Frugi Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Licinian genealogy campaign office residence or career.
antq_cornelian_lentulus_suffect_27_court_line,Cornelian Lentulus Suffect of 27 Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_sallustian_crispus_court_line,Sallustian Crispus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Sallustian genealogy campaign office residence or career.
antq_junian_appius_court_line,Junian Appius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_silian_nerva_court_line,Silian Nerva Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Silian genealogy campaign office residence or career.
antq_junian_lucius_court_line,Junian Lucius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_vellaean_tutor_court_line,Vellaean Tutor Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vellaean genealogy campaign office residence or career.
antq_fufian_geminus_court_line,Fufian Geminus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for the later Fufius homonym; it does not reconstruct a Fufian genealogy campaign office residence or career.
antq_rubellian_lucius_court_line,Rubellian Lucius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Rubellian genealogy campaign office residence or career.
antq_nonian_lucius_court_line,Nonian Lucius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for the younger Nonius homonym; it does not reconstruct a Nonian genealogy campaign office residence or career.
antq_cassian_lucius_court_line,Cassian Lucius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for the later Cassius homonym; it does not reconstruct a Cassian genealogy campaign office residence or career.
antq_vinician_marcus_court_line,Vinician Marcus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Vinician genealogy campaign office residence or career.
antq_naevian_surdinus_court_line,Naevian Surdinus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Naevian genealogy campaign office residence or career.
antq_cassian_gaius_court_line,Cassian Gaius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Cassian genealogy campaign office residence or career.
antq_cornelian_faustus_court_line,Cornelian Faustus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_tedian_catullus_court_line,Tedian Catullus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Tedian genealogy campaign office residence or career.
antq_fulcinian_trio_court_line,Fulcinian Trio Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Fulcinian genealogy campaign office residence or career.
antq_memmian_regulus_court_line,Memmian Regulus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Memmian genealogy campaign office residence or career.
antq_domitian_ahenobarbus_court_line,Domitian Ahenobarbus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Domitian genealogy campaign office residence or career.
antq_arruntian_camillus_court_line,Arruntian Camillus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct an Arruntian genealogy campaign office residence or career.
antq_vitellian_aulus_court_line,Vitellian Aulus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vitellian genealogy campaign office residence or career.
antq_quinctilian_varus_court_line,Quinctilian Varus Court Line,rome,P8.1;BM-VAR,secure,Engine identity label for the documented Augustan official; it does not reconstruct the Quinctilii genealogy a campaign-start command or later Teutoburg outcome.
antq_valerian_messalla_court_line,Valerian Messalla Court Line,rome,P8.1;BM-MES,secure,Engine identity label for the documented Augustan general author and patron; it does not reconstruct a Valerian genealogy or a campaign-start office.
antq_livian_cultural_line,Livian Cultural Line,rome,P8.1;OCD-LIV,contested,Engine identity label for the source-qualified Augustan historian; it does not claim a Livian genealogy a court office or a fixed AD 1 residence.
antq_ovidian_cultural_line,Ovidian Cultural Line,rome,P8.1;AAP-OVID,contested,Engine identity label for the source-qualified Augustan poet; it does not claim an office a court appointment or later exile mechanics.
antq_strabonian_cultural_line,Strabonian Cultural Line,rome,P8.1;BRILL-STR,contested,Engine identity label for the source-qualified Greek geographer in the Roman world; it does not claim a Strabonian genealogy a permanent Roman residence or a government role.
antq_athenodoran_cultural_line,Athenodoran Cultural Line,rome,P8.1;OCD-ATH;EB-ATH,contested,Engine identity label for the source-qualified Stoic and Augustan adviser; it does not claim an AD 1 court office a permanent residence or a formal school.
antq_verrian_cultural_line,Verrian Cultural Line,rome,P8.1;SUET-VER,contested,Engine identity label for Augustus's named tutor of Gaius and Lucius; it does not reconstruct employment timing a court office or a wider genealogy.
antq_asinian_pollio_court_line,Asinian Pollio Court Line,rome,P8.1;OCD-POL;OCD-GAL,secure,Engine identity label for Gaius Asinius Pollio and his directly attested son Gaius Asinius Gallus; it does not reconstruct an Asinian genealogy a current office or a literary circle.
antq_vipsania_agrippina_court_line,Vipsania Agrippina Court Line,rome,P8.1;OCD-VIP,secure,Engine identity label for Vipsania Agrippina in Roman-world context; it does not reconstruct a Vipsanian genealogy marriage children or a current residence.
antq_calpurnian_piso_court_line,Calpurnian Piso Court Line,rome,P8.1;OCD-PISO,secure,Engine identity label for Lucius Calpurnius Piso in Roman-world context; it does not reconstruct a Calpurnian genealogy current office command or residence.
antq_sulpician_quirinius_court_line,Sulpician Quirinius Court Line,rome,P8.1;TAC-QUI,secure,Engine identity label for Publius Sulpicius Quirinius in Roman-world context; it does not reconstruct a Sulpician genealogy campaign governorship census or residence.
antq_antistian_labeo_court_line,Antistian Labeo Court Line,rome,P8.1;OCD-LAB;OUP-LAB,contested,Engine identity label for the source-qualified Augustan jurist; it does not reconstruct an Antistian genealogy a current legal office or a school system.
antq_ateian_capito_court_line,Ateian Capito Court Line,rome,P8.1;OCD-CAP,secure,Engine identity label for the source-qualified Roman jurist; it does not pre-script his AD 5 consulship later water office or a legal school.
antq_vipsanian_court_line,Vipsanian Court Line,rome,P8.1;SUET-JUL,secure,Engine family label for the three explicitly named children of Agrippa and Julia in the Augustan household; it records only that direct parentage and does not reconstruct a full Vipsanian genealogy or later adoption sequence.
antq_arruntian_court_line,Arruntian Court Line,rome,P8.1;TAC-LATER-COURT,secure,Engine identity label for Lucius Arruntius in Roman-world context; it does not reconstruct an Arruntian genealogy office or residence.
antq_manius_lepidus_court_line,Manius Lepidus Court Line,rome,P8.1;TAC-LATER-COURT,secure,Engine identity label for Manius Lepidus in Roman-world context; it does not reconstruct an Aemilian genealogy office or residence.
antq_haterian_court_line,Haterian Court Line,rome,P8.1;TAC-LATER-COURT,secure,Engine identity label for Quintus Haterius in Roman-world context; it does not reconstruct a Haterian genealogy office or residence.
antq_plancina_court_line,Plancina Court Line,rome,P8.1;TAC-LATER-COURT,secure,Engine identity label for Munatia Plancina in Roman-world context; it does not reconstruct a Munatian genealogy marriage office or residence.
antq_aelian_lamia_court_line,Aelian Lamia Court Line,rome,P8.1;TAC-LATER-COURT,secure,Engine identity label for Lucius Aelius Lamia in Roman-world context; it does not reconstruct an Aelian genealogy office or residence.
antq_cremutian_cordus_court_line,Cremutian Cordus Court Line,rome,P8.1;TAC-LATER-COURT,secure,Engine identity label for Cremutius Cordus in Roman-world context; it does not reconstruct a Cremutian genealogy office or residence.
antq_asinian_agrippa_court_line,Asinian Agrippa Court Line,rome,P8.1;TAC-LATER-COURT,secure,Engine identity label for Asinius Agrippa in Roman-world context; it does not assert kinship with the Pollio-Gallus court line or reconstruct a genealogy office or residence.
antq_han_liu_dynasty,House of Liu,jingzhao,P8.3;BHR,secure,Western Han imperial house at the Chang'an capital proxy.
antq_wang_clan,Wang Clan,jingzhao,P8.3;CTP-WM;CTP-WSH;CTP-WY,secure,Consort-kin clan label for Grand Empress Dowager Wang Wang Mang his named son Wang Yu and Wang Shun; it is neither the imperial House of Liu nor a reconstruction of the clan's full genealogy.
antq_wei_maternal_line,Wei Maternal Line,anxi_dingzhou,P8.3;CTP-WY;CTP-ZHONG,secure,Engine identity label for Emperor Ping's named mother and maternal uncles who were ordered to remain in Zhongshan; the installed Dingzhou anchor is a Lunu proxy and does not reconstruct a complete Wei genealogy or a Chang'an residence.
antq_kong_clan,Kong Clan,jingzhao,P8.3;CTP-KG,secure,Engine clan label for the senior Han court official Kong Guang; it records a personal identity at the Chang'an court rather than reconstructing a full Kong genealogy.
antq_zhen_court_line,Zhen Court Line,jingzhao,P8.3;CTP-HR,secure,Engine identity for Zhen Feng and his documented son Zhen Xun in the Han regency circle; it makes no claim that either was kin to Zhen Han or that it reconstructs a full Zhen genealogy.
antq_ping_court_line,Ping Court Line,jingzhao,P8.3;CTP-HR,secure,Engine personal-identity label for Ping Yan at the Chang'an court; it does not reconstruct a Ping genealogy.
antq_liu_xin_court_line,Liu Xin Court Line,jingzhao,P8.3;CTP-HR,secure,Engine identity for Liu Xin and his documented son Liu Fen at the Chang'an court; it makes no claim about their relationship to the ruling House of Liu or a full Liu genealogy.
