reform,profile,government,name,description,modifiers,source,confidence,note
antq_warband_retinue_kingship,tribal,tribe,Warband-Retinue Kingship,Shift authority toward gift-bound retainers and a ruler able to sustain repeated campaigns.,global_nobles_estate_power=0.15|global_tribes_estate_power=0.10|nobles_estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.15,P8.7;P13;CAH-XI,secure,Represents retinue consolidation without assuming later feudal vassalage.
antq_temple_endowment_court,sacral,monarchy,Temple-Endowment Court,"Govern through protected cult endowments, scribal custody, and ritual provisioning.",global_clergy_estate_power=0.20|global_crown_estate_power=0.05|clergy_estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.10,P8.4;P8.5;P11;P13,contested,A cross-regional sacral path whose local temple and monastic forms remain distinct.
antq_irrigation_palace,sacral,monarchy,Irrigation Palace,"Tie royal legitimacy to reservoirs, canal labor, granaries, and audited distributions.",global_peasants_estate_power=0.15|global_crown_estate_power=0.10|crown_estate_power_from_cabinet=0.20|set_cabinet_member_cost_modifier=-0.10,P8.4;P8.5;P13;CAH-XI,contested,"A gameplay adapter for court-waterwork relationships, not universal hydraulic despotism."
antq_petition_court,royal,monarchy,Petition Court,"Regularize witnessed petitions, sealed replies, and arbitration among court and urban houses.",global_burghers_estate_power=0.10|global_nobles_estate_power=0.05|estate_power_from_cabinet=0.20|set_cabinet_member_cost_modifier=-0.05,P8;P13;OCD,contested,A conservative royal-court path for regions lacking a narrower attested constitution.
antq_frontier_muster_monarchy,royal,monarchy,Frontier-Muster Monarchy,"Organize royal authority around fortress stores, retainer service, and route protection.",global_nobles_estate_power=0.15|global_tribes_estate_power=0.05|nobles_estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=0.10,P8;P13;CAH-XI,contested,A bounded frontier adapter rather than a claim of one transregional military monarchy.
antq_xiongnu_dual_wing_command,xiongnu,steppe_horde,Left and Right Wing Command,"Balance the chanyu's household with eastern and western command networks, lineage musters, and pasture arbitration.",global_tribes_estate_power=0.20|global_nobles_estate_power=0.10|tribes_estate_power_from_cabinet=0.40|replace_cabinet_member_cost_modifier=0.15,P8.3;P13;BHR;CAH-XI,secure,Models the securely reported wing structure without importing later decimal ranks or a fixed territorial bureaucracy.
antq_xiongnu_gift_circuit,xiongnu,steppe_horde,Chanyu Gift Circuit,"Concentrate envoys, hostages, prestige gifts, and frontier exchange around the chanyu's itinerant court.",global_crown_estate_power=0.15|global_burghers_estate_power=0.10|estate_power_from_cabinet=0.25|set_cabinet_member_cost_modifier=-0.05,P8.3;P13;BHR;SAM,contested,"Treats recorded gift and diplomatic exchange as political infrastructure, not a salaried central chancery."
antq_goguryeo_fortress_lineages,goguryeo,monarchy,Fortress-Lineage Kingship,"Broker royal commands through fortress communities, leading lineages, beacon obligations, and witnessed musters.",global_nobles_estate_power=0.15|global_tribes_estate_power=0.10|nobles_estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.10,P8.3;P13;CAH-XI,contested,Represents an early fortress and lineage polity without projecting the mature Three Kingdoms office hierarchy backward.
antq_goguryeo_granary_court,goguryeo,monarchy,Royal Granary Court,"Strengthen the royal household through millet stores, artisan obligations, route signals, and rotating fortress officers.",global_crown_estate_power=0.15|global_peasants_estate_power=0.10|crown_estate_power_from_cabinet=0.30|set_cabinet_member_cost_modifier=-0.10,P8.3;P13;CAH-XI,contested,A bounded centralizing path grounded in subsistence and fortified settlement rather than a recovered administrative code.
antq_kushite_dual_household,kushite,monarchy,Dual Royal Household,"Coordinate royal households, sealed tribute, provincial brokers, and desert-route dispatches around Meroe.",global_crown_estate_power=0.15|global_nobles_estate_power=0.10|estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.05,P8.5;P11;P13;CAH-XI,contested,Uses the attested prominence of royal women and rulers without claiming two equal sovereign offices in every reign.
antq_kushite_temple_domain,kushite,monarchy,Temple-Domain Stewardship,"Entrust cult storehouses, Nile contributions, metalwork returns, and provincial hospitality to protected stewards.",global_clergy_estate_power=0.20|global_burghers_estate_power=0.05|clergy_estate_power_from_cabinet=0.30|set_cabinet_member_cost_modifier=-0.05,P8.5;P11;P13;CAH-XI,contested,Combines attested cult and material contexts without inventing a uniform Meroitic temple bureaucracy.
antq_lankan_reservoir_kingship,lankan,monarchy,Reservoir Stewardship Kingship,"Ground royal legitimacy in reservoir accounts, labor rotations, elephant service, and regional petition circuits.",global_crown_estate_power=0.15|global_peasants_estate_power=0.15|crown_estate_power_from_cabinet=0.25|set_cabinet_member_cost_modifier=-0.10,P8.4;P11;P13,secure,Models securely important irrigation patronage while avoiding the claim of one centralized hydraulic administration.
antq_lankan_sangha_endowments,lankan,monarchy,Sangha Endowment Court,"Balance royal patronage, monastic endowments, port measures, and regional lineages through recorded grants.",global_clergy_estate_power=0.20|global_burghers_estate_power=0.10|clergy_estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=0.05,P8.4;P11;P13;BHR,secure,Represents early Buddhist patronage and donation practice without importing later monastic landholding arrangements wholesale.
antq_armenian_dynast_compact,armenian,monarchy,Highland Dynast Compact,"Entrust fortress commands, mounted service, pass security, and arbitration to leading highland houses under royal precedence.",global_nobles_estate_power=0.20|global_tribes_estate_power=0.05|nobles_estate_power_from_cabinet=0.35|replace_cabinet_member_cost_modifier=0.18,P8.2;P11;P13;CAH-XI;IRAN-ARM,contested,Dynastic and fortress bargaining is evidence-bounded; no single written Artaxiad compact or fixed rank order is claimed.
antq_armenian_royal_domain_court,armenian,monarchy,Artaxata Royal-Domain Court,"Strengthen royal domains, sealed accounts, pass couriers, and embassy coordination without erasing highland dynasts.",global_crown_estate_power=0.18|global_burghers_estate_power=0.07|crown_estate_power_from_cabinet=0.28|set_cabinet_member_cost_modifier=-0.07,P8.2;P11;P13;CAH-XI;IRAN-ARM,contested,"A centralizing gameplay branch grounded in royal-domain and route functions, not a recovered Artaxiad chancery."
antq_nabataean_water_stewardship,nabataean,monarchy,Cistern Stewardship Court,"Ground royal legitimacy in cisterns, channels, oasis labor, sanctuary stores, and predictable water compacts.",global_peasants_estate_power=0.15|global_crown_estate_power=0.10|crown_estate_power_from_cabinet=0.22|set_cabinet_member_cost_modifier=-0.08,P8.1;P8.5;P11;P13;OCD;PLE;NABATAEA-MAP,secure,"Water management is securely important, while this branch avoids claiming one centralized kingdom-wide hydraulic administration."
antq_nabataean_customs_court,nabataean,monarchy,Caravan Customs Court,"Empower caravan, merchant, and artisan houses through protected routes, stable measures, and reviewed customs schedules.",global_burghers_estate_power=0.20|global_nobles_estate_power=0.05|burghers_estate_power_from_cabinet=0.32|replace_cabinet_member_cost_modifier=0.10,P8.1;P8.5;P11;P13;OCD;PLE;NABATAEA-MAP,secure,The branch represents caravan and customs leverage without reducing the Nabataean kingdom to a modern commercial state.
antq_himyarite_irrigation_court,himyarite,monarchy,Highland Irrigation Court,"Coordinate terrace walls, dams, water release, storage, and seasonal repair through protected cultivating communities.",global_peasants_estate_power=0.18|global_crown_estate_power=0.10|crown_estate_power_from_cabinet=0.24|set_cabinet_member_cost_modifier=-0.08,P8.5;P8.6;P11;P13;CAH-XI;OCD-HIM;HIMYAR-HIST,contested,"A highland waterwork branch grounded in material context, not a claim for a uniform Himyarite hydraulic bureaucracy."
antq_himyarite_incense_route_court,himyarite,monarchy,Incense-Route Court,"Center royal coordination on incense assessment, protected inland routes, Red Sea dispatches, and port measures.",global_burghers_estate_power=0.18|global_nobles_estate_power=0.07|burghers_estate_power_from_cabinet=0.28|replace_cabinet_member_cost_modifier=0.08,P8.5;P8.6;P11;P13;CAH-XI;OUP-REDSEA,contested,"Incense and maritime exchange are securely relevant, while exact court offices and assessed shares remain unrecoverable."
antq_satavahana_guild_court,satavahana,monarchy,Guild and Caravan Court,"Regularize guild gifts, caravan passage, inspected measures, water access, and royal hospitality across Deccan routes.",global_burghers_estate_power=0.20|global_clergy_estate_power=0.05|burghers_estate_power_from_cabinet=0.30|set_cabinet_member_cost_modifier=-0.05,P8.4;P11;P13;CAH-XI,contested,Uses attested exchange and donation contexts without projecting later guild constitutions uniformly into AD 1.
antq_satavahana_maharathi_compact,satavahana,monarchy,Maharathi and Mahabhoja Compact,"Entrust regional service, elephant and mounted musters, route protection, and local arbitration to titled houses.",global_nobles_estate_power=0.20|global_tribes_estate_power=0.06|nobles_estate_power_from_cabinet=0.34|replace_cabinet_member_cost_modifier=0.16,P8.4;P11;P13;CAH-XI,contested,"Attested titles support a regional-house branch, but their precise AD 1 competence and hierarchy are not reconstructed."
antq_catuvellaunian_dynastic_mint_court,catuvellaunian,tribe,Dynastic Mint Court,"Center royal authority on witnessed weights, dies, prestige exchange, retinue gifts, and succession display at the oppida.",global_burghers_estate_power=0.15|global_nobles_estate_power=0.10|burghers_estate_power_from_cabinet=0.28|set_cabinet_member_cost_modifier=-0.05,P8.7;P11;P13;CAH-XI;BM-DRU,contested,"Coinage and dynastic display are securely relevant, while the branch avoids inventing a centralized mint bureaucracy or monetary economy."
antq_catuvellaunian_oppida_compact,catuvellaunian,tribe,Oppida Compact,"Coordinate stores, craft measures, sanctuary hearings, cultivating households, and Channel exchange among fortified settlement centers.",global_peasants_estate_power=0.10|global_tribes_estate_power=0.08|estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=0.08,P8.7;P11;P13;CAH-XI;BM-DRU,contested,"Oppida provide a defensible settlement framework, not proof of an equal federation, fixed franchise, or uniform administration."
antq_marcomannic_retinue_court,marcomannic,tribe,Maroboduus's Retinue Court,"Concentrate gifts, arms, intelligence, frontier envoys, and repeated campaign service around the royal following.",global_nobles_estate_power=0.20|global_tribes_estate_power=0.08|nobles_estate_power_from_cabinet=0.35|replace_cabinet_member_cost_modifier=0.18,P8.7;P11;P13;CAH-XI;TAC-GER,secure,The ruler's organized following is securely important; this path does not turn personal bonds into medieval vassalage or salaried office.
antq_marcomannic_allied_host_compact,marcomannic,tribe,Allied Host Compact,"Distribute settlement, wagon, warrior, provisioning, and frontier-watch obligations among negotiated allied kindreds.",global_tribes_estate_power=0.20|global_peasants_estate_power=0.06|tribes_estate_power_from_cabinet=0.32|replace_cabinet_member_cost_modifier=0.10,P8.7;P11;P13;CAH-XI;TAC-GER,contested,"The branch models negotiated host contributions without claiming a permanent federation, equal member peoples, or fixed territorial levies."
antq_sabaean_irrigation_court,sabaean,monarchy,Ma'rib Irrigation Court,"Ground royal legitimacy in dam masonry, canal clearing, measured releases, cultivation, and bounded seasonal labor.",global_peasants_estate_power=0.18|global_crown_estate_power=0.10|crown_estate_power_from_cabinet=0.24|set_cabinet_member_cost_modifier=-0.08,P8.5;P8.6;P11;P13;CAH-XI;UNESCO-SABA,secure,"The Ma'rib water system is secure, while the branch avoids hydraulic-despotism claims or a uniform kingdom-wide water bureaucracy."
antq_sabaean_sanctuary_route_court,sabaean,monarchy,Sanctuary and Incense-Route Court,"Balance sanctuary inventories, incense assessments, caravan water, protected passage, and Red Sea forwarding.",global_clergy_estate_power=0.14|global_burghers_estate_power=0.14|burghers_estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=0.06,P8.5;P8.6;P11;P13;CAH-XI;UNESCO-INCENSE,contested,"Sanctuary and incense-route contexts are securely important, while exact AD 1 court competences and assessed shares remain uncertain."
antq_mauretanian_urban_court,mauretanian,monarchy,Caesarea Urban Court,"Strengthen civic petitions, port returns, inspected craft measures, dynastic diplomacy, and accountable royal workshops.",global_burghers_estate_power=0.18|global_crown_estate_power=0.08|burghers_estate_power_from_cabinet=0.28|set_cabinet_member_cost_modifier=-0.06,P8.1;P8.5;P11;P13;CAH-XI;OCD;OCD-PTO,secure,Juba's court and urban patronage support the branch without implying that every community shared a Roman civic constitution.
antq_mauretanian_frontier_compact,mauretanian,monarchy,Mounted Frontier Compact,"Entrust mounted watch, guides, water access, regional musters, and border intelligence to negotiated frontier communities.",global_tribes_estate_power=0.16|global_nobles_estate_power=0.10|nobles_estate_power_from_cabinet=0.28|replace_cabinet_member_cost_modifier=0.12,P8.1;P8.5;P11;P13;CAH-XI,contested,Mounted frontier service is modeled conservatively without flattening diverse Mauretanian communities into a single tribal institution.
antq_judean_temple_court,judean,monarchy,Jerusalem Temple Court,"Give temple stores, priestly hearings, pilgrimage order, and sanctuary provisioning a larger place in ethnarchic government.",global_clergy_estate_power=0.18|global_burghers_estate_power=0.06|clergy_estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.10,P8.1;P11;P13;OCD;JOS-SAL,secure,"The Jerusalem temple establishment is securely central, while this branch does not treat priestly authority as a uniform civil bureaucracy."
antq_judean_toparchy_compact,judean,monarchy,Judean Toparchy Compact,"Work through regional assessment districts, cultivating communities, cistern upkeep, market peace, and witnessed local petitions.",global_peasants_estate_power=0.12|global_nobles_estate_power=0.08|estate_power_from_cabinet=0.25|set_cabinet_member_cost_modifier=-0.05,P8.1;P11;P13;OCD;JOS-SAL,contested,"Toparchic districts and local assessment are defensible, but their precise AD 1 competences and representative character remain uncertain."
antq_cappadocian_domain_court,cappadocian,monarchy,Cappadocian Domain Court,"Concentrate sealed accounts, royal estates, sanctuary inventories, and appointed custodians around Archelaus's household.",global_crown_estate_power=0.18|global_peasants_estate_power=0.08|crown_estate_power_from_cabinet=0.28|set_cabinet_member_cost_modifier=-0.07,P8.1;P11;P13;OCD;PLE,contested,"Royal-domain and sanctuary interests are historically grounded, while the exact reach of a centralized domain administration is not reconstructed."
antq_cappadocian_pass_compact,cappadocian,monarchy,Cappadocian Pass Compact,"Entrust caravan passage, highland watch, cavalry musters, and market safe-conducts to negotiated regional houses and towns.",global_burghers_estate_power=0.14|global_nobles_estate_power=0.10|burghers_estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=0.08,P8.1;P11;P13;OCD;PLE,contested,Cappadocia's routes and mounted households support this branch without implying a recovered fixed council or uniform pass law.
antq_thracian_dynastic_court,thracian,monarchy,Odrysian Dynastic Court,"Concentrate royal seals, succession hearings, retinue gifts, city diplomacy, and Roman embassies around the ruling house.",global_nobles_estate_power=0.20|global_burghers_estate_power=0.05|nobles_estate_power_from_cabinet=0.34|replace_cabinet_member_cost_modifier=0.16,P8.1;P11;P13;OCD;TAC-THR;MGL-THR,contested,"Dynastic fragmentation and Roman intervention are secure contexts, but the precise AD 1 court hierarchy and Pythodoris's role remain contested."
antq_thracian_mountain_host,thracian,monarchy,Thracian Mountain Host,"Distribute pass watch, horse service, timber and grain provisioning, sanctuary oaths, and frontier warning among regional communities.",global_tribes_estate_power=0.18|global_peasants_estate_power=0.08|tribes_estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.10,P8.1;P11;P13;OCD;TAC-THR;MGL-THR,contested,The branch models negotiated regional service without flattening Thracian peoples into a single tribe or inventing a permanent federal host.
antq_bosporan_polis_court,bosporan,monarchy,Bosporan Polis Court,"Give grain measures, harbor petitions, sanctuary inventories, and civic mediation greater weight in royal government.",global_burghers_estate_power=0.20|global_clergy_estate_power=0.05|burghers_estate_power_from_cabinet=0.30|set_cabinet_member_cost_modifier=-0.05,P8.1;P11;P13;OCD;PLE;ZAV-ASP,secure,"Greek poleis and grain ports securely structured Bosporan power, while their local constitutions and leverage varied."
antq_bosporan_steppe_compact,bosporan,monarchy,Bosporan Steppe Compact,"Broker mounted service, pasture access, frontier intelligence, claimant support, and strait defense with regional households.",global_tribes_estate_power=0.18|global_nobles_estate_power=0.10|tribes_estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.12,P8.1;P11;P13;OCD;PLE;ZAV-ASP,contested,"Mounted and steppe-frontier interests are defensible, but this path avoids inventing one ethnic bloc, fixed treaty, or recovered council."
antq_galilean_lake_court,galilean,monarchy,Galilean Lake Court,"Center tetrarchic administration on fisheries, landing places, market measures, storage, and road peace around the lake settlements.",global_burghers_estate_power=0.18|global_peasants_estate_power=0.08|burghers_estate_power_from_cabinet=0.30|set_cabinet_member_cost_modifier=-0.05,P8.1;P11;P13;OCD;JOS-SAL,contested,"Fisheries and market exchange are defensible functions, while one centralized lake administration or royal monopoly is not claimed."
antq_galilean_peraean_compact,galilean,monarchy,Galilean-Peraean Compact,"Work through regional houses, pastoral communities, water access, road service, and witnessed local assessment across the divided tetrarchy.",global_nobles_estate_power=0.14|global_tribes_estate_power=0.12|estate_power_from_cabinet=0.26|replace_cabinet_member_cost_modifier=0.08,P8.1;P11;P13;OCD;JOS-SAL,contested,"The geographical division and route obligations are secure contexts, but no representative compact or uniform Peraean institution is reconstructed."
antq_batanean_highland_court,batanean,monarchy,Batanean Highland Court,"Concentrate sealed grants, basalt settlement works, cistern returns, sanctuary inventories, and appointed route custodians around Philip's household.",global_crown_estate_power=0.16|global_clergy_estate_power=0.08|crown_estate_power_from_cabinet=0.26|set_cabinet_member_cost_modifier=-0.06,P8.1;P11;P13;OCD,contested,"Settlement, water, and sanctuary functions are grounded, while their concentration in a uniform tetrarchic administration remains a gameplay path."
antq_batanean_frontier_compact,batanean,monarchy,Batanean Frontier Compact,"Entrust highland watch, guides, horse service, pasture and water access, and restitution to negotiated northern communities.",global_tribes_estate_power=0.20|global_nobles_estate_power=0.08|tribes_estate_power_from_cabinet=0.32|replace_cabinet_member_cost_modifier=0.11,P8.1;P11;P13;OCD,contested,"The branch models highland and frontier service without inventing one Batanean ethnic bloc, fixed treaty, or permanent host."
antq_commagenean_sanctuary_court,commagenean,monarchy,Commagenean Sanctuary Court,"Give sanctuary inventories, dynastic display, hospitality, orchard gifts, and ritual custody greater weight in royal government.",global_clergy_estate_power=0.18|global_nobles_estate_power=0.10|clergy_estate_power_from_cabinet=0.30|replace_cabinet_member_cost_modifier=0.10,P8.1;P11;P13;OCD;BM-COM,secure,"Commagene's dynastic-sanctuary setting is secure, while this branch does not reconstruct a kingdom-wide priestly bureaucracy."
antq_commagenean_euphrates_compact,commagenean,monarchy,Euphrates Passage Compact,"Entrust ferry safety, stable weights, caravan passage, landing stores, and compensation to negotiated river and merchant houses.",global_burghers_estate_power=0.18|global_nobles_estate_power=0.08|burghers_estate_power_from_cabinet=0.28|set_cabinet_member_cost_modifier=-0.04,P8.1;P11;P13;OCD;BM-COM,contested,"Euphrates passage and exchange are secure contexts, but no complete Commagenean ferry code or merchant council is recovered."
antq_emesan_sanctuary_court,emesan,monarchy,Emesan Sanctuary Court,"Center dynastic legitimacy on sanctuary stores, ritual hospitality, offerings, lamps, textiles, and protected custodianship.",global_clergy_estate_power=0.20|global_crown_estate_power=0.06|clergy_estate_power_from_cabinet=0.32|replace_cabinet_member_cost_modifier=0.11,P8.1;P11;P13;OCD;PLE;LBD-EME,contested,"Emesa's sanctuary importance is defensible, while exact AD 1 priestly offices and their relationship to Iamblichus II remain unrecoverable."
antq_emesan_caravan_compact,emesan,monarchy,Orontes Caravan Compact,"Entrust route security, pack service, textile measures, water, escorts, and compensation to caravan and city houses.",global_burghers_estate_power=0.20|global_nobles_estate_power=0.07|burghers_estate_power_from_cabinet=0.30|set_cabinet_member_cost_modifier=-0.05,P8.1;P11;P13;OCD;PLE;LBD-EME,contested,Caravan and urban exchange support the branch without implying a surviving uniform customs code or permanent merchant constitution.
