tag,region,profile,profile_name,starting_laws,source,confidence,boundary
CHA,Iran,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
ELY,Iran,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
PRS,Iran,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
ATR,Iran,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
ADI,Mesopotamia,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
OSR,Mesopotamia,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
GOR,Mesopotamia,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
SKT,Iran,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
MRG,Central Asia,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
ARM,Caucasus,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
IBR,Caucasus,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
CLZ,Caucasus,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
ALC,Caucasus,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
HAN,China,han,Western Han,14,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
XIO,Steppe,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
KHT,Tarim,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
KUC,Tarim,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
KAS,Tarim,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
LOU,Tarim,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
TUR,Tarim,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
GOG,Korea,eastern,Eastern Maritime-and-Peninsular,14,P8.3;P8.4;P11;P13;CAH-XI,contested,"A low-resolution regional floor that avoids projecting later centralized Japanese, Korean, or Southeast Asian systems into AD 1."
BUY,Korea,eastern,Eastern Maritime-and-Peninsular,14,P8.3;P8.4;P11;P13;CAH-XI,contested,"A low-resolution regional floor that avoids projecting later centralized Japanese, Korean, or Southeast Asian systems into AD 1."
MAH,Korea,eastern,Eastern Maritime-and-Peninsular,14,P8.3;P8.4;P11;P13;CAH-XI,contested,"A low-resolution regional floor that avoids projecting later centralized Japanese, Korean, or Southeast Asian systems into AD 1."
JIN,Korea,eastern,Eastern Maritime-and-Peninsular,14,P8.3;P8.4;P11;P13;CAH-XI,contested,"A low-resolution regional floor that avoids projecting later centralized Japanese, Korean, or Southeast Asian systems into AD 1."
BYE,Korea,eastern,Eastern Maritime-and-Peninsular,14,P8.3;P8.4;P11;P13;CAH-XI,contested,"A low-resolution regional floor that avoids projecting later centralized Japanese, Korean, or Southeast Asian systems into AD 1."
WAA,Japan,eastern,Eastern Maritime-and-Peninsular,14,P8.3;P8.4;P11;P13;CAH-XI,contested,"A low-resolution regional floor that avoids projecting later centralized Japanese, Korean, or Southeast Asian systems into AD 1."
SAT,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
ISK,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
IGR,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
YUE,Central Asia,steppe,Inner Asian Confederation,14,P8.3;P11;P13;CAH-XI,contested,"Models confederative bargaining, tribute, pasture, and retinue obligations without projecting later steppe law codes."
YDH,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
ARJ,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
KUN,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
KAL,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
CHE,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
CHL,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
PND,India,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
ANU,Lanka,indic,Indic,14,P8.4;P11;P13;CAH-XI,contested,"Combines securely broad legal questions with locally variable royal, lineage, corporate, monastic, and village institutions."
KUS,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
AKS,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
GAR,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
BLM,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
BEJ,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
DJN,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
WAF,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
ZMP,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
KPC,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
GTC,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
NSK,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
OUE,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
VIC,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
BSW,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
BNT,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
URW,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
KWL,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
RUV,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
LMP,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
ZHF,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
WDP,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
BCH,West Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
BAR,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
AVA,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
MLA,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
MUN,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
MOS,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
ARO,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
OPO,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
HAU,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
AZA,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
SAB,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
HIM,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
QAT,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
HAD,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
KIN,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
THM,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
AGR,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
GRH,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
QTR,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
OMN,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
MCM,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
CRU,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
CHT,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
FRI,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
BTV,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
LAN,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
SEM,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
HER,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
QUA,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
GUT,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
VAN,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
RUG,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
BRG,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
ANG,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
SAX,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
JUT,Germania,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
SUI,Scandinavia,germanic,Germanic,14,P8.7;P11;P13;TAC-GER,contested,Uses Tacitus critically alongside archaeology and does not impose a single constitution on distinct peoples.
AES,Baltic,northern,Northern Forest-and-River,14,P8.7;P11;P13;ENC-NEEU,contested,"An archaeological gameplay frame for dispersed communities, not evidence for common ethnic states or written codes."
WBB,Baltic,northern,Northern Forest-and-River,14,P8.7;P11;P13;ENC-NEEU,contested,"An archaeological gameplay frame for dispersed communities, not evidence for common ethnic states or written codes."
BPC,Baltic,northern,Northern Forest-and-River,14,P8.7;P11;P13;ENC-NEEU,contested,"An archaeological gameplay frame for dispersed communities, not evidence for common ethnic states or written codes."
WSC,Baltic,northern,Northern Forest-and-River,14,P8.7;P11;P13;ENC-NEEU,contested,"An archaeological gameplay frame for dispersed communities, not evidence for common ethnic states or written codes."
ETG,Baltic,northern,Northern Forest-and-River,14,P8.7;P11;P13;ENC-NEEU,contested,"An archaeological gameplay frame for dispersed communities, not evidence for common ethnic states or written codes."
VEN,Eastern Europe,northern,Northern Forest-and-River,14,P8.7;P11;P13;ENC-NEEU,contested,"An archaeological gameplay frame for dispersed communities, not evidence for common ethnic states or written codes."
FIN,Finland,northern,Northern Forest-and-River,14,P8.7;P11;P13;ENC-NEEU,contested,"An archaeological gameplay frame for dispersed communities, not evidence for common ethnic states or written codes."
CAT,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
TRI,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
ICE,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
BRI,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
ATB,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
SIL,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
ORD,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DUM,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
BRT,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
REG,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
BLG,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DUR,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DOB,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
COR,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
CNV,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
PBI,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
CRV,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DEM,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DEC,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
VOT,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
SEL,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
NOV,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DAM,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
VCN,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
TAE,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
EPD,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
VAC,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DCT,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
CAE,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
CRE,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
CNA,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
LGB,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
SME,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
NCR,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
CAL,Britain,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
VNI,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
RHB,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
DAR,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
ERD,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
ULA,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
NAG,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
AUT,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
GAN,Ireland,celtic,Brittonic-Hibernian,14,P8.7;P11;P13;HE-HILLFORT;NMI-IRON-AGE,contested,Separates gameplay choices from later insular law tracts and from claims of a uniform druidic state.
