key,estate,name,description,modifiers,source,confidence,note
antq_channel_exchange_compacts,burghers_estate,Channel Exchange Compacts,Coastal households protect reciprocal exchange routes linking southern Britain with continental markets.,global_burghers_estate_power=0.05|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.7;P13;CAH-XI;CCI-EPP,contested,This represents cross-Channel exchange and elite brokerage without asserting a uniform customs regime merchant estate or Roman client treaty.
antq_hibernian_cattle_compacts,tribes_estate,Cattle Compacts,Kin groups regulate seasonal herding obligations and the redistribution of livestock wealth.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|global_pop_food_consumption=-0.01,P8.7;P13;NMI-IRON-AGE;DARCY-IRE,contested,This is a conservative pastoral gameplay adapter and does not project later written Irish law tracts or quantified herd systems into AD 1.
antq_hibernian_maritime_followings,tribes_estate,Maritime Followings,Coastal households provide crews for fishing exchange and opportunistic seaborne warfare.,global_tribes_estate_power=0.05|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|global_levy_size_modifier=0.05,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Ptolemy supports an island ring of coastal peoples but not a uniform raiding institution; the privilege deliberately combines subsistence exchange and bounded military mobility.
antq_hibernian_ritual_specialists,clergy_estate,Ritual Specialists,Local ritual experts mediate communal vows deposits and sacred obligations without a centralized hierarchy.,global_clergy_estate_power=0.10|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.7;P11;P13;NMI-IRON-AGE,contested,The clergy estate is a technical proxy for diverse ritual specialists; archaeological deposits do not establish a uniform druidic college or island-wide priesthood.
antq_germanic_assembly_acclamation,tribes_estate,Assembly Acclamation,Free households and leading lineages voice assent at armed public gatherings.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|monthly_towards_decentralization=societal_value_minor_monthly_move,P8.7;P13;TAC-GER,contested,Tacitus describes public deliberation but compresses diverse communities; this privilege models negotiated assent without inventing a uniform Germanic constitution.
antq_germanic_household_retainers,nobles_estate,Household Retainers,Leading households sustain sworn fighting companions through gifts hospitality and captured wealth.,global_nobles_estate_power=0.10|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|land_morale_modifier=0.025,P8.7;P13;TAC-GER,contested,The nobles estate is a technical proxy for unequal martial followings and does not imply feudal tenure hereditary peerage or one standardized comitatus.
antq_germanic_sacred_grove_custodians,clergy_estate,Sacred Grove Custodians,Local ritual specialists guard communal groves vows and divinatory obligations.,global_clergy_estate_power=0.10|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.7;P11;P13;TAC-GER,contested,Tacitus supports groves and divination but not a centralized priesthood; the clergy estate remains a bounded interface adapter.
antq_baltic_amber_route_brokers,burghers_estate,Amber-Route Brokers,Coastal and riverine households mediate the collection exchange and southward movement of amber.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.7;P13;PAN-WBB;TAC-GER,contested,The burghers estate is a technical proxy for exchange households; no urban merchant corporation customs regime or unified Aestian state is implied.
antq_baltic_hillfort_households,tribes_estate,Hillfort Households,Households maintain defended gathering places storage and seasonal community obligations.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|global_levy_size_modifier=0.05,P8.7;P13;VU-BRUSH,contested,Brushed Pottery hillfort evidence supports defended settlement systems but not one Baltic political constitution or permanent garrison.
antq_baltic_burial_custodians,clergy_estate,Burial Custodians,Kin and ritual specialists preserve local barrow stone-circle and tarand mortuary obligations.,global_clergy_estate_power=0.10|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.7;P11;P13;PAN-WBB;LIT-WLSC;UT-TARAND,contested,Material-culture boundaries and burial forms are gameplay frames rather than proof of fixed ethnic institutions or a shared priestly hierarchy.
antq_indo_scythian_satraps,nobles_estate,Regional Satraps,Regional military and court elites mediate Indo-Scythian royal authority.,global_nobles_estate_power=0.15|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|land_morale_modifier=0.025,P8.4;P13;CAH-XI;IRAN-AZES,contested,"The nobles estate is a technical proxy for heterogeneous regional satrapal and military elites, not a uniform feudal order."
antq_indo_greek_city_elites,burghers_estate,Hellenic City Elites,Urban elites sustain the last Indo-Greek royal court in the eastern Punjab.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.4;P13;CAH-XI;IRAN-IGR,contested,The burghers estate is a technical proxy for urban and courtly elites and does not classify the late Indo-Greek polity as a medieval town republic.
antq_ganasangha_council,nobles_estate,Clan Assembly,Leading warrior clans participate in the council that governs the ganasangha.,global_nobles_estate_power=0.10|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.4;P13;CAH-XI,contested,The nobles estate is a technical proxy for the leading clans and does not equate a ganasangha with a European hereditary nobility.
antq_lankan_monastic_patronage,clergy_estate,Monastic Patronage,Royal endowments sustain Theravada monastic communities and irrigation works.,global_clergy_estate_power=0.10|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.4;P11;P13;SRI-BHAT,contested,The clergy estate is a technical proxy for Buddhist monastic institutions and not a reconstruction of their exact fiscal or legal status.
antq_senatorial_land_exemption,nobles_estate,Senatorial Land Exemption,Senatorial landed wealth receives protected fiscal treatment.,global_nobles_estate_power=0.05|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|monthly_towards_aristocracy=societal_value_minor_monthly_move,P8.1;P13;OCD,secure,The nobles estate is a technical proxy for the senatorial aristocracy pending country-specific estate support.
antq_equestrian_service,nobles_estate,Equestrian Service,The equestrian order supplies officers and civil administrators to the Augustan state.,global_nobles_estate_power=0.04|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.1;P13;OCD-EQU,secure,The nobles estate is a technical proxy for Rome's second aristocratic order and does not merge equites with senators or recreate an exact office hierarchy.
antq_roman_priestly_colleges,clergy_estate,Priestly Colleges,Pontifical and augural colleges safeguard the public ritual on which Roman state life depends.,global_clergy_estate_power=0.10|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.1;P11;P13;MET-PRIEST,secure,The clergy estate is a technical proxy for public Roman priests and colleges rather than a Christian hierarchy or an exhaustive Roman cult constitution.
antq_annona_privilege,burghers_estate,Annona,Public grain provision stabilizes Rome's urban population.,global_burghers_estate_power=0.05|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|global_pop_food_consumption=-0.02,P8.1;P13;OCD,secure,The burghers estate is a technical proxy for the urban plebs receiving the annona.
antq_praetorian_donatives,nobles_estate,Praetorian Donatives,Regular donatives bind the imperial military household to the princeps.,global_crown_estate_power=0.12|global_nobles_estate_power=-0.04|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|land_morale_modifier=0.025,P8.1;P13;OCD,contested,The nobles estate is the documented technical fallback: the local estate registry has no safe country-specific attachment point; M10 owns the later legionary crisis interactions. The donative is an imperial hold on the guard so it contributes crown power rather than senatorial leverage. EU5 requires a power set on the attached estate so the small noble-power debit is that attachment rather than stacked senatorial grants.
antq_han_palace_bureau,burghers_estate,Palace Bureau,Palace personnel and clerks provide a court-centred administrative channel.,global_burghers_estate_power=0.05|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.3;P13;BHR,contested,The burghers estate is a technical proxy for a court-bureaucratic actor rather than a claim that eunuchs were burghers.
antq_wang_clan_regency,nobles_estate,Wang Clan Regency,The Grand Empress Dowager entrusts governance to Wang Mang and his regency circle during Emperor Ping's minority.,global_nobles_estate_power=0.10|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.3;P13;CTP-WM,contested,The nobles estate is a technical proxy for the documented affinal-regency network rather than a claim that Wang kin formed a hereditary European-style estate or a complete Han constitution.
antq_parthian_great_house_autonomy,nobles_estate,Great-House Autonomy,The great Iranian houses retain a substantial political role beside the Arsacid court.,global_nobles_estate_power=0.25|nobles_estate_target_satisfaction=medium_privilege_target_satisfaction|monthly_towards_decentralization=societal_value_monthly_move,P8.2;P13;CAH-XI;OCD,secure,The nobles estate represents the Suren and Karen type of great-house politics.
antq_client_royal_autonomy,nobles_estate,Client Royal Autonomy,A local royal court retains room to govern within an imperial patronage relationship.,global_nobles_estate_power=0.10|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|monthly_towards_decentralization=societal_value_minor_monthly_move,P8.1;P13;OCD,secure,The nobles estate is a technical proxy for the court elite of a Roman client kingdom.
antq_kushite_royal_court,nobles_estate,Kushite Royal Court,A royal court sustains the authority of the Kushite co-rulers.,global_nobles_estate_power=0.10|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.5;P13;CAH-XI;PLE,contested,The nobles estate is a technical proxy for the court and temple-connected elite rather than a claim of a European-style nobility.
antq_steppe_clan_autonomy,tribes_estate,Clan Autonomy,The constituent clans retain decisive influence within the Xiongnu confederation.,global_tribes_estate_power=0.25|tribes_estate_target_satisfaction=medium_privilege_target_satisfaction|monthly_towards_decentralization=societal_value_monthly_move,P8.3;P13;CAH-XI,secure,The tribes estate directly represents constituent confederation groups rather than an invented settled aristocracy.
antq_korean_royal_court,nobles_estate,Early Korean Royal Court,Royal authority in Goguryeo is supported by its leading political houses.,global_nobles_estate_power=0.10|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.3;P13;SAM,contested,The nobles estate is a technical court-elite proxy pending a dedicated early Korean institutional pass.
antq_tribal_elder_council,tribes_estate,Elder Council,Leading kin groups constrain and sustain the ruler of a tribal kingdom.,global_tribes_estate_power=0.20|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|monthly_towards_decentralization=societal_value_minor_monthly_move,P8.7;P13;CAH-XI,contested,The tribes estate is a technical representation of the leading kin groups rather than a complete reconstruction of Germanic or Brittonic assembly practice.
antq_brittonic_druidic_council,clergy_estate,Druidic Councils,Druidic religious specialists advise leading kin groups in the pre-conquest Brittonic polities.,global_clergy_estate_power=0.10|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.7;P13;CAH-XI;BM-DRU,contested,The clergy estate is a narrow technical proxy for religious specialists and not evidence for a single constitutional council across Britain or an inference about every Celtic society.
antq_parthian_subking_autonomy,nobles_estate,Sub-King Autonomy,A regional Iranian court retains substantial authority within the Arsacid political world.,global_nobles_estate_power=0.15|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|monthly_towards_decentralization=societal_value_minor_monthly_move,P8.2;P13;CAH-XI;OCD,contested,The nobles estate is a technical regional-court proxy for Media Atropatene and must not be read as a uniform satrapal constitution.
antq_border_court_autonomy,nobles_estate,Border-Court Autonomy,A frontier royal court balances local elites against stronger neighbouring powers.,global_nobles_estate_power=0.10|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.2;P13;OCD;CAH-XI,contested,The nobles estate is a technical proxy for a frontier court rather than a claim that Armenia and Osroene shared an institution.
antq_second_temple_priesthood,clergy_estate,Second Temple Priesthood,The Jerusalem priesthood retains religious and civic authority around the Temple.,global_clergy_estate_power=0.20|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.1;P11;P13;OCD,secure,The clergy estate is a technical proxy for the Temple priesthood and is not a claim of a Christian clerical hierarchy.
antq_regional_royal_court,nobles_estate,Regional Royal Court,Leading court figures support the authority of a regional monarch.,global_nobles_estate_power=0.05|nobles_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P13;CAH-XI,contested,The nobles estate is a generic technical court-elite proxy and does not reconstruct a uniform ancient aristocracy.
antq_chiefly_court,tribes_estate,Chiefly Court,Leading kin and local authorities sustain a developing chiefly polity.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.5;P13;PER,contested,The tribes estate is a technical proxy for chiefly authority and does not reconstruct an exact Aksumite political hierarchy.
antq_town_cluster_council,burghers_estate,Town-Cluster Council,Leading urban households coordinate the public life of a settled town cluster.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.5;P13;CAH-XI,contested,The burghers estate is a technical urban-community proxy and does not claim a documented Djenné-Djenno council constitution.
