profile,law,theme,category,law_name,law_description,option,stance,option_name,option_description,modifiers,estate_preferences,starting,source,confidence,boundary
roman,antq_s2_roman_land_law,land,socioeconomic,Roman Imperial Land Tenure and Agrarian Duty,"Defines access to land, agrarian dues, and collective maintenance within the Roman Imperial political sphere.",antq_s2_roman_land_mediated,mediated,Municipal Estate Stewardship,Leading estates organize cultivation efficiently while increasing aristocratic leverage.,global_monthly_food_modifier=0.025|global_nobles_estate_power=0.04|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_land_law,land,socioeconomic,Roman Imperial Land Tenure and Agrarian Duty,"Defines access to land, agrarian dues, and collective maintenance within the Roman Imperial political sphere.",antq_s2_roman_land_local,local,Provincial Communal Tenure,Communal tenure protects subsistence and local resilience while limiting direct control.,global_pop_food_consumption=-0.01|global_max_rural_control=-0.02|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_muster_law,muster,military,Roman Imperial Military Service and Muster,"Defines who serves, for how long, and through which public or household obligation within the Roman Imperial political sphere.",antq_s2_roman_muster_central,central,Censorial Registered Service,Registered service raises dependable forces but increases administrative and social pressure.,global_levy_size_modifier=0.075|global_levy_recruitment_speed_modifier=-0.05|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_muster_law,muster,military,Roman Imperial Military Service and Muster,"Defines who serves, for how long, and through which public or household obligation within the Roman Imperial political sphere.",antq_s2_roman_muster_mediated,mediated,Municipal Retinue Service,Elite retinues improve cohesion and morale while narrowing the military base.,land_morale_modifier=0.02|global_levy_size_modifier=-0.025|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_muster_law,muster,military,Roman Imperial Military Service and Muster,"Defines who serves, for how long, and through which public or household obligation within the Roman Imperial political sphere.",antq_s2_roman_muster_local,local,Provincial Community Muster,A broad seasonal muster supplies numbers quickly but sacrifices some battlefield efficiency.,global_levy_recruitment_speed_modifier=0.10|levy_combat_efficiency_modifier=-0.04|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_local_rule_law,local_rule,administrative,Roman Imperial Local and Provincial Rule,"Defines the balance among central officers, intermediary councils, and local communities within the Roman Imperial political sphere.",antq_s2_roman_local_rule_central,central,Censorial Appointed Officers,Appointed officers improve coordination and control but strengthen the center.,country_cabinet_efficiency=0.04|global_monthly_control=0.015|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_local_rule_law,local_rule,administrative,Roman Imperial Local and Provincial Rule,"Defines the balance among central officers, intermediary councils, and local communities within the Roman Imperial political sphere.",antq_s2_roman_local_rule_mediated,mediated,Municipal Mediated Councils,Intermediary councils improve cabinet throughput while preserving negotiated authority.,legislative_efficiency=0.04|stability_cost_efficiency=0.02|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,nobles_estate|burghers_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_local_rule_law,local_rule,administrative,Roman Imperial Local and Provincial Rule,"Defines the balance among central officers, intermediary councils, and local communities within the Roman Imperial political sphere.",antq_s2_roman_local_rule_local,local,Provincial Local Custody,Local custody lowers resistance and administrative reach together.,pop_join_rebel_threshold=-0.02|global_max_rural_control=-0.025|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_cult_law,cult,religious,Roman Imperial Public Cult and Ritual Custody,"Defines who maintains public rites, sanctuaries, vows, and tolerated local observances within the Roman Imperial political sphere.",antq_s2_roman_cult_central,central,Censorial Public Rite,"The central authority sponsors public rites, strengthening religious administration but narrowing plural practice.",global_pop_conversion_speed_modifier=0.08|tolerance_heathen=-1|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate|clergy_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_cult_law,cult,religious,Roman Imperial Public Cult and Ritual Custody,"Defines who maintains public rites, sanctuaries, vows, and tolerated local observances within the Roman Imperial political sphere.",antq_s2_roman_cult_mediated,mediated,Municipal Collegiate Custody,Recognized colleges and sanctuaries share ritual custody and stabilize elite bargains.,clergy_estate_target_satisfaction=small_permanent_target_satisfaction|stability_cost_efficiency=0.02|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,clergy_estate|nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_cult_law,cult,religious,Roman Imperial Public Cult and Ritual Custody,"Defines who maintains public rites, sanctuaries, vows, and tolerated local observances within the Roman Imperial political sphere.",antq_s2_roman_cult_local,local,Provincial Local Observance,Local observance broadens toleration while reducing the reach of an official cult.,tolerance_heathen=1|global_pop_conversion_speed_modifier=-0.05|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,tribes_estate|peasants_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_household_law,household,socioeconomic,Roman Imperial Household and Inheritance,"Defines household succession, guardianship, property transmission, and kin obligation within the Roman Imperial political sphere.",antq_s2_roman_household_central,central,Censorial Recorded Succession,Recorded succession eases state integration but places family affairs under official scrutiny.,global_integration_speed_modifier=0.035|monthly_towards_centralization=societal_value_minor_monthly_move|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_household_law,household,socioeconomic,Roman Imperial Household and Inheritance,"Defines household succession, guardianship, property transmission, and kin obligation within the Roman Imperial political sphere.",antq_s2_roman_household_mediated,mediated,Municipal Lineage Arbitration,"Lineages arbitrate inheritance disputes, preserving elite consent at a cost to central uniformity.",nobles_estate_target_satisfaction=tiny_permanent_target_satisfaction|global_monthly_control=-0.005|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,nobles_estate|tribes_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_household_law,household,socioeconomic,Roman Imperial Household and Inheritance,"Defines household succession, guardianship, property transmission, and kin obligation within the Roman Imperial political sphere.",antq_s2_roman_household_local,local,Provincial Household Custom,Household custom protects local practice and mobility while weakening predictable assessment.,global_pop_assimilation_speed_modifier=0.01|peasants_estate_max_tax=-0.015|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_commerce_law,commerce,socioeconomic,Roman Imperial Commerce and Market Conduct,"Defines safe conduct, tolls, market oversight, and the standing of merchants within the Roman Imperial political sphere.",antq_s2_roman_commerce_central,central,Censorial Public Toll Schedule,Published toll schedules improve route revenue and enforcement but privilege official channels.,global_trade_through_owned_territory_efficiency=0.06|global_monthly_control=0.01|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_commerce_law,commerce,socioeconomic,Roman Imperial Commerce and Market Conduct,"Defines safe conduct, tolls, market oversight, and the standing of merchants within the Roman Imperial political sphere.",antq_s2_roman_commerce_mediated,mediated,Municipal Merchant Arbitration,Merchant arbitration improves production and exchange while increasing urban political weight.,global_production_efficiency=0.03|global_burghers_estate_power=0.04|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,burghers_estate|nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_commerce_law,commerce,socioeconomic,Roman Imperial Commerce and Market Conduct,"Defines safe conduct, tolls, market oversight, and the standing of merchants within the Roman Imperial political sphere.",antq_s2_roman_commerce_local,local,Provincial Open Local Exchange,Open local exchange reduces barriers and strengthens communities at the expense of central receipts.,global_trade_through_owned_territory_efficiency=0.03|burghers_estate_max_tax=-0.02|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_coinage_law,coinage,socioeconomic,Roman Imperial Coinage and Standards,"Defines mint authority, accepted standards, weighed media, and seigniorage within the Roman Imperial political sphere.",antq_s2_roman_coinage_central,central,Censorial Official Standard,An official standard increases mint receipts but makes price stability depend on central restraint.,minting_income_factor=0.10|minting_inflation_threshold=-0.01|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_coinage_law,coinage,socioeconomic,Roman Imperial Coinage and Standards,"Defines mint authority, accepted standards, weighed media, and seigniorage within the Roman Imperial political sphere.",antq_s2_roman_coinage_mediated,mediated,Municipal Multiple Civic Issues,Several recognized issues support commerce while sharing monetary authority with urban elites.,minting_income_factor=0.06|global_burghers_estate_power=0.04|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,burghers_estate|nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_coinage_law,coinage,socioeconomic,Roman Imperial Coinage and Standards,"Defines mint authority, accepted standards, weighed media, and seigniorage within the Roman Imperial political sphere.",antq_s2_roman_coinage_local,local,Provincial Weighed Exchange,Weighed and customary exchange is flexible but yields less direct mint revenue.,minting_income_factor=0.025|stability_cost_efficiency=0.02|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,tribes_estate|peasants_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_courts_law,courts,administrative,Roman Imperial Courts and Petition,"Defines the hearing of disputes, appeals, testimony, and petitions within the Roman Imperial political sphere.",antq_s2_roman_courts_central,central,Censorial Central Appeal,A central appeal improves consistency and state control but increases administrative load.,legislative_efficiency=0.04|country_cabinet_efficiency=-0.015|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_courts_law,courts,administrative,Roman Imperial Courts and Petition,"Defines the hearing of disputes, appeals, testimony, and petitions within the Roman Imperial political sphere.",antq_s2_roman_courts_mediated,mediated,Municipal Collegiate Judgment,Collegiate judgment balances elite interests and lowers the political cost of legislation.,stability_cost_efficiency=0.035|global_nobles_estate_power=0.025|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,nobles_estate|clergy_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_courts_law,courts,administrative,Roman Imperial Courts and Petition,"Defines the hearing of disputes, appeals, testimony, and petitions within the Roman Imperial political sphere.",antq_s2_roman_courts_local,local,Provincial Local Composition,Local composition resolves disputes accessibly while limiting uniform precedent.,pop_join_rebel_threshold=-0.015|global_monthly_control=-0.01|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_offices_law,offices,administrative,Roman Imperial Offices and Appointment,"Defines appointment, tenure, replacement, and accountability in public office within the Roman Imperial political sphere.",antq_s2_roman_offices_central,central,Censorial Direct Appointment,Direct appointment makes staffing faster but concentrates office in the ruler's hands.,set_cabinet_member_cost_modifier=-0.10|global_crown_estate_power=0.04|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_offices_law,offices,administrative,Roman Imperial Offices and Appointment,"Defines appointment, tenure, replacement, and accountability in public office within the Roman Imperial political sphere.",antq_s2_roman_offices_mediated,mediated,Municipal Rotating Office,Rotation broadens access and improves deliberation while making replacement less predictable.,country_cabinet_efficiency=0.03|replace_cabinet_member_cost_modifier=-0.05|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,burghers_estate|tribes_estate|nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_offices_law,offices,administrative,Roman Imperial Offices and Appointment,"Defines appointment, tenure, replacement, and accountability in public office within the Roman Imperial political sphere.",antq_s2_roman_offices_local,local,Provincial Patron-Nominated Office,Patron nomination secures elite cooperation but makes office-holders costly to dislodge.,replace_cabinet_member_cost_modifier=0.15|global_nobles_estate_power=0.04|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,nobles_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_migration_law,migration,administrative,Roman Imperial Migration and Settlement,"Defines the admission, relocation, patronage, and settlement of mobile households within the Roman Imperial political sphere.",antq_s2_roman_migration_central,central,Censorial Directed Settlement,Directed settlement accelerates incorporation and control but privileges central priorities.,global_pop_assimilation_speed_modifier=0.02|global_monthly_control=0.01|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_migration_law,migration,administrative,Roman Imperial Migration and Settlement,"Defines the admission, relocation, patronage, and settlement of mobile households within the Roman Imperial political sphere.",antq_s2_roman_migration_mediated,mediated,Municipal Sponsored Communities,"Recognized communities sponsor newcomers, balancing integration with corporate autonomy.",global_integration_speed_modifier=0.025|global_burghers_estate_power=0.025|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,burghers_estate|tribes_estate|nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_migration_law,migration,administrative,Roman Imperial Migration and Settlement,"Defines the admission, relocation, patronage, and settlement of mobile households within the Roman Imperial political sphere.",antq_s2_roman_migration_local,local,Provincial Negotiated Passage,Negotiated passage reduces cultural friction while leaving migration weakly supervised.,tolerance_heathen=1|global_pop_assimilation_speed_modifier=-0.01|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_external_law,external,administrative,"Roman Imperial Envoys, Clients, and External Compacts","Defines envoys, tributary obligations, client rulers, hostages, and negotiated peace within the Roman Imperial political sphere.",antq_s2_roman_external_central,central,Censorial Central Envoys,Central envoys improve diplomatic standing but demand sustained court resources.,diplomatic_reputation=1|country_cabinet_efficiency=-0.01|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_external_law,external,administrative,"Roman Imperial Envoys, Clients, and External Compacts","Defines envoys, tributary obligations, client rulers, hostages, and negotiated peace within the Roman Imperial political sphere.",antq_s2_roman_external_mediated,mediated,Municipal Client Mediation,Client mediation strengthens subordinate loyalty while empowering intermediary rulers.,subject_loyalty=5|global_nobles_estate_power=0.03|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,nobles_estate|tribes_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_external_law,external,administrative,"Roman Imperial Envoys, Clients, and External Compacts","Defines envoys, tributary obligations, client rulers, hostages, and negotiated peace within the Roman Imperial political sphere.",antq_s2_roman_external_local,local,Provincial Reciprocal Compacts,Reciprocal compacts broaden diplomatic capacity but bind the center to negotiated obligations.,diplomatic_capacity_modifier=0.05|monthly_towards_outward=societal_value_minor_monthly_move|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,burghers_estate|tribes_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
han,antq_s2_han_status_law,status,socioeconomic,Western Han Status and Incorporation,Defines who receives protected public standing and how outsiders enter it within the Western Han political sphere.,antq_s2_han_status_central,central,Imperial Secretariat Status Register,A central register defines protected status efficiently but concentrates political authority.,global_integration_speed_modifier=0.06|global_pop_assimilation_speed_modifier=0.01|global_monthly_control=0.02|global_crown_estate_power=0.02,crown_estate,no,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_status_law,status,socioeconomic,Western Han Status and Incorporation,Defines who receives protected public standing and how outsiders enter it within the Western Han political sphere.,antq_s2_han_status_mediated,mediated,Commandery Graduated Standing,"Recognized communities mediate several grades of status, trading speed for accommodation.",global_integration_speed_modifier=0.03|pop_join_rebel_threshold=-0.01|country_cabinet_efficiency=0.02|global_nobles_estate_power=0.02,nobles_estate|burghers_estate,yes,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_status_law,status,socioeconomic,Western Han Status and Incorporation,Defines who receives protected public standing and how outsiders enter it within the Western Han political sphere.,antq_s2_han_status_local,local,County Local Admission,"Local bodies admit households flexibly, easing friction while weakening uniform administration.",global_pop_assimilation_speed_modifier=0.025|global_monthly_control=-0.01|peasants_estate_target_satisfaction=tiny_permanent_target_satisfaction|global_peasants_estate_power=0.02,peasants_estate|tribes_estate,no,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_dependent_labor_law,dependent_labor,socioeconomic,Western Han Dependent Labor and Manumission,"Defines the obligations, sale, protection, and release of dependent laborers within the Western Han political sphere.",antq_s2_han_dependent_labor_central,central,Imperial Secretariat Recorded Obligations,"Officials record dependent obligations and taxable releases, improving oversight at social cost.",peasants_estate_max_tax=0.03|pop_join_rebel_threshold=0.01|global_monthly_control=0.02|global_crown_estate_power=0.02,crown_estate|nobles_estate,no,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_dependent_labor_law,dependent_labor,socioeconomic,Western Han Dependent Labor and Manumission,"Defines the obligations, sale, protection, and release of dependent laborers within the Western Han political sphere.",antq_s2_han_dependent_labor_mediated,mediated,Commandery Protected Manumission,Protected routes to release improve incorporation while reducing elite extraction.,global_pop_assimilation_speed_modifier=0.02|nobles_estate_max_tax=-0.02|country_cabinet_efficiency=0.02|global_nobles_estate_power=0.02,peasants_estate|burghers_estate|nobles_estate,yes,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_dependent_labor_law,dependent_labor,socioeconomic,Western Han Dependent Labor and Manumission,"Defines the obligations, sale, protection, and release of dependent laborers within the Western Han political sphere.",antq_s2_han_dependent_labor_local,local,County Household Dependence,"Households regulate dependency locally, lowering provisioning burdens but entrenching private power.",global_pop_food_consumption=-0.01|peasants_estate_max_tax=0.02|peasants_estate_target_satisfaction=tiny_permanent_target_satisfaction|global_peasants_estate_power=0.02,nobles_estate|tribes_estate|peasants_estate,no,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_revenue_law,revenue,administrative,Western Han Revenue and Assessment,Defines how communities are assessed and how public obligations are collected within the Western Han political sphere.,antq_s2_han_revenue_central,central,Imperial Secretariat Assessed Registers,Regular assessment improves extraction and control but enlarges the central administrative burden.,peasants_estate_max_tax=0.04|global_monthly_control=0.015|global_monthly_control=0.02|global_crown_estate_power=0.02,crown_estate,no,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_revenue_law,revenue,administrative,Western Han Revenue and Assessment,Defines how communities are assessed and how public obligations are collected within the Western Han political sphere.,antq_s2_han_revenue_mediated,mediated,Commandery Negotiated Quotas,"Councils bargain fixed contributions, supporting legitimacy at the expense of maximum revenue.",burghers_estate_max_tax=0.025|stability_cost_efficiency=0.025|country_cabinet_efficiency=0.02|global_nobles_estate_power=0.02,burghers_estate|nobles_estate,yes,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
han,antq_s2_han_revenue_law,revenue,administrative,Western Han Revenue and Assessment,Defines how communities are assessed and how public obligations are collected within the Western Han political sphere.,antq_s2_han_revenue_local,local,County In-Kind Contributions,"Communities meet obligations in kind, sustaining production while leaving more local discretion.",global_production_efficiency=0.025|monthly_towards_decentralization=societal_value_minor_monthly_move|peasants_estate_target_satisfaction=tiny_permanent_target_satisfaction|global_peasants_estate_power=0.02,peasants_estate|tribes_estate,no,P8.3;P11;P13;BHR;CTP-WM,secure,Uses Western Han commandery-county and court institutions without backdating later examination systems.
